,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,two_strikes,full_count,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vCH (sc),Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vSI,vCU,SI_ba,FF_ba,CU_ba,CH_ba,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,vSC (sc),SC%,wSC/C,ST_ba,SC_ba,FC_ba,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba
0,2023-05-25,718035,Groundout,field_out,True,665487,663623,Fernando Tatis Jr.,Jake Irvin,0,0,0,d65503f3-8634-443a-8449-b2ab36eecb8f,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-05-25,718035,Strikeout,strikeout,True,630105,663623,Jake Cronenworth,Jake Irvin,0,0,0,9fb5f50b-7331-4a6a-bf14-8d82826e5a4d,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-05-25,718035,Walk,walk,False,665742,663623,Juan Soto,Jake Irvin,0,0,0,921ab9c1-72f4-42a1-82c2-cf7a96470c9b,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-05-25,718035,Strikeout,strikeout,True,593428,663623,Xander Bogaerts,Jake Irvin,0,0,0,a38e2b1c-5e29-4bad-8070-83f9b4ce6f7c,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-05-25,718035,Single,single,False,657041,605483,Lane Thomas,Blake Snell,0,0,1,d4966e77-0c2c-4330-9690-397f1c24ccd4,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
5,2023-05-25,718035,Strikeout,strikeout,True,671277,605483,Luis García Jr.,Blake Snell,0,0,1,d73bdf41-d5a9-4fde-ab8f-5a3470b26141,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
6,2023-05-25,718035,Single,single,False,608841,605483,Joey Meneses,Blake Snell,0,0,1,fa99f369-4e7a-4a61-b0ec-d2c328d6d7bd,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
7,2023-05-25,718035,Flyout,field_out,True,600869,605483,Jeimer Candelario,Blake Snell,0,0,0,933f308f-15fa-4062-bcec-6af93b53bbe7,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
8,2023-05-25,718035,Flyout,field_out,True,656448,605483,Stone Garrett,Blake Snell,0,0,0,8c85eb72-953c-48e3-9ec8-cadfba0ac3e8,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
9,2023-05-25,718035,Strikeout,strikeout,True,572761,663623,Matt Carpenter,Jake Irvin,0,0,0,68cd000c-7fe7-428a-ad70-9c94a413e5fa,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023-05-25,718035,Lineout,field_out,True,596059,663623,Rougned Odor,Jake Irvin,1,0,0,b9aae90b-40a8-412b-b5c4-b5061716c186,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2023-05-25,718035,Single,single,False,641525,663623,Brandon Dixon,Jake Irvin,0,0,0,797c1bcb-29a5-4e11-aba1-50a5bd3e7992,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023-05-25,718035,Home Run,home_run,False,663757,663623,Trent Grisham,Jake Irvin,0,0,1,f38363fc-c100-45c6-a5de-e34b0ec90321,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2023-05-25,718035,Strikeout,strikeout,True,664954,663623,Brett Sullivan,Jake Irvin,0,0,0,6d1194dd-d00f-426b-ab86-9024516e8aa0,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023-05-25,718035,Groundout,field_out,True,642086,605483,Dominic Smith,Blake Snell,1,0,0,1c5915eb-dc87-4c0e-b11b-5af16b23684d,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
15,2023-05-25,718035,Pop Out,field_out,True,669743,605483,Alex Call,Blake Snell,0,0,0,4bdadcd8-a9e3-4354-b5be-bebb31a68af9,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
16,2023-05-25,718035,Walk,walk,False,656180,605483,Riley Adams,Blake Snell,0,0,0,7f2f9124-ba3b-41fd-b6e1-609c8b7e2167,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
17,2023-05-25,718035,Lineout,field_out,True,682928,605483,CJ Abrams,Blake Snell,0,0,0,0e78bae7-811b-4052-9091-9ea9a1a8efe3,605483.0,blakesnell,Snell,Left,Blake Snell,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.38799999999999996,0.168,0.309,0.326,86.7,72.0,103.0,106.0,106.0,102.0,110.0,120.0,91.0,96.0,,,,,0.486,0.198,0.184,0.07,,2.55,2.65,95.5,,81.0,,0.255,0.079,0.185,107.0,91.0,94.0,0.131,0.68,88.4,0.123,,,,,,,,,,,,,,,,,,,
18,2023-05-25,718035,Walk,walk,False,665487,663623,Fernando Tatis Jr.,Jake Irvin,0,0,0,de94e147-266e-460d-bf7d-b8ecca810ab2,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,4.61,5.13,121.0,101.0,99.0,98.0,0.8390000000000001,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.42700000000000005,87.8,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,0.287,0.35600000000000004,0.306,0.051,-0.01,-0.75,0.08,1.21,94.5,93.9,80.9,0.348,0.208,0.197,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
