date,time,series,result,opponent,team,location,weather,temp,opposingPitcherId,oppRuns,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,hits,atBats,stolenBases,rbi,leftOnBase,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,oppStarterIP,oppStarterH,oppStarterR,oppStarterER,oppStarterBB,oppStarterK,oppStarterHR,oppStarterP,oppStarterS,oppStarterERA,teamPitcherId,teamPitcherName,teamStarterIP,teamStarterER,teamStarterK,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,wFS/C,wSL/C,vFS,vSL,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,vKN (sc),KN%,wKN/C
2024/09/19,6:50 PM.,49,W,BOS,TB,home,Dome.,72,678394,0,2,0,0,0,10,2,7,29,2,2,14,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,,,,74.0,108.0,101.0,103.0,100.0,101.0,,,,0.403,0.048,,,0.269,0.25,,-0.24,,0.15,95.6,,87.6,95.7,,0.309,0.44,0.111,,,,0.177,0.354,0.369,0.12,0.16,0.218,,,,5.2,5,1,1,2,7,0,101,62,4.49,641793,Zack Littell,7.0,0,7,114.0,98.0,110.0,,,,,0.28,,-0.58,,86.8,,,,,,,,,,0.268,0.401,0.343,,,,,,,,,,,,
2024/09/20,6:51 PM.,50,W,TOR,TB,home,Dome.,72,621244,0,1,2,0,1,9,1,6,29,0,1,13,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,111.0,102.0,106.0,82.0,99.0,92.0,85.0,103.0,95.0,84.0,108.0,99.0,0.337,0.183,0.035,0.286,0.16,-1.26,-1.83,1.02,0.28,0.88,94.1,91.4,84.8,93.4,83.2,0.268,0.366,0.125,0.188,0.404,0.31,0.171,0.364,0.269,0.305,0.558,0.189,0.36,0.48,0.123,6.0,6,1,1,1,6,1,97,73,3.38,641302,Tyler Alexander,4.1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/21,4:10 PM.,50,W,TOR,TB,home,Dome.,72,684320,2,3,0,0,1,6,4,7,28,1,3,16,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,,,,97.0,95.0,100.0,86.0,93.0,87.0,84.0,94.0,92.0,,,,0.108,0.409,,0.105,,-0.12,,2.98,-2.85,,93.9,,,93.4,78.3,0.167,0.167,0.149,,,,,,,0.255,0.439,0.22,,,,4.0,4,3,3,3,3,1,81,50,4.41,671737,Taj Bradley,5.0,1,4,120.0,104.0,111.0,85.0,102.0,102.0,0.096,0.282,-1.17,0.67,88.9,84.6,0.348,0.739,0.25,,,,0.194,0.306,0.215,0.213,0.36,0.335,,,,,,,,,,,,
2024/09/22,1:40 PM.,50,W,TOR,TB,home,Dome.,72,621114,3,4,2,0,2,12,1,7,29,0,4,6,621114,ryanburr,Burr,Right,Ryan Burr,TOR,4.13,3.56,32.2,99.0,98.0,102.0,0.694,12.95,3.31,7.99,1.1,0.72,0.225,0.45,0.138,0.4,0.375,,,,,,,79.0,94.0,91.0,,,,,,,,0.395,,,,-0.36,,,,,94.1,,,,,,,,,,,,,,0.256,0.465,0.224,,,,1.1,1,0,0,0,3,0,28,16,3.56,669358,Shane Baz,6.0,1,6,111.0,102.0,108.0,,,,,0.605,,0.6,,85.4,,,,,,,,,,0.214,0.369,0.368,,,,,,,,,,,,
2024/09/24,1:59 PM.,51,L,DET,TB,away,Overcast.,68,669373,2,1,0,0,1,10,1,3,29,0,1,3,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,,,,0.205,0.332,,,0.271,1.84,,1.25,,1.13,96.8,,86.3,96.6,,0.207,0.305,0.16,,,,0.216,0.322,0.461,0.197,0.286,0.277,,,,7.0,2,0,0,1,7,0,103,71,2.39,686752,Ryan Pepiot,5.0,2,6,111.0,99.0,103.0,,,,,0.149,,0.78,,88.7,0.158,0.316,0.175,,,,,,,0.169,0.364,0.346,95.0,91.0,101.0,,0.042,,1.26,,78.5,,,
2024/09/25,6:40 PM.,51,L,DET,TB,away,Cloudy.,75,672456,7,1,0,0,1,7,3,7,34,0,1,17,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,,,,92.0,100.0,96.0,90.0,101.0,97.0,,,,0.078,0.421,,,0.109,-0.19,,1.09,,-2.78,94.8,,86.0,94.1,,0.32,0.32,0.038,,,,0.289,0.474,0.329,0.27,0.486,0.18,,,,2.2,4,1,1,2,2,1,55,32,4.81,641793,Zack Littell,4.2,3,7,110.0,99.0,104.0,,,,,0.28,,0.02,,83.5,0.269,0.615,0.224,,,,,,,0.235,0.391,0.259,95.0,102.0,111.0,,0.112,,-3.94,,78.8,,,
2024/09/26,1:10 PM.,51,L,DET,TB,away,Cloudy.,72,681857,4,3,1,1,0,9,0,7,34,0,2,9,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,,,,0.205,0.234,,0.06,0.223,-0.39,,1.85,-3.32,-0.05,94.2,,86.5,94.2,79.0,0.284,0.385,0.076,,,,0.222,0.344,0.429,0.277,0.386,0.101,,,,4.0,4,2,2,0,3,0,72,47,3.53,641302,Tyler Alexander,5.0,0,6,111.0,97.0,103.0,,,,,0.278,,2.08,,84.8,0.304,0.652,0.295,,,,,,,0.143,0.194,0.455,,,,,,,,,,,,
2024/09/27,7:10 PM.,52,W,BOS,TB,away,Partly Cloudy.,72,601713,1,2,1,0,0,7,3,5,30,0,2,6,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,118.0,104.0,104.0,122.0,105.0,108.0,,,,104.0,96.0,82.0,,0.486,0.059,0.163,,0.73,-4.63,,0.61,,93.9,88.3,,,80.0,,,,,,,,,,0.239,0.399,0.218,0.394,0.879,0.211,6.2,4,2,2,1,6,0,100,67,4.14,671737,Taj Bradley,6.0,0,7,155.0,103.0,111.0,,,,,0.291,,-0.1,,82.6,0.167,0.4,0.206,0.224,0.436,0.35,,,,0.143,0.393,0.326,,,,,,,,,,,,
2024/09/28,4:11 PM.,52,W,BOS,TB,away,Sunny.,71,676710,2,7,0,0,1,10,4,10,37,0,7,24,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,,,,109.0,109.0,112.0,,,,114.0,104.0,104.0,,0.337,0.32,,,-0.43,0.55,,,,92.6,87.5,,,,,,,,,,,,,0.255,0.5,0.198,0.216,0.418,0.265,4.1,5,6,6,4,6,1,86,52,4.36,669358,Shane Baz,6.0,2,7,100.0,99.0,102.0,87.0,102.0,106.0,0.086,0.185,0.47,-0.56,82.4,80.8,0.143,0.171,0.219,0.222,0.437,0.263,0.192,0.26,0.404,,,,98.0,97.0,99.0,,0.072,,1.14,,77.3,,,
2024/09/29,3:06 PM.,52,L,BOS,TB,away,Cloudy.,69,682990,3,1,0,0,0,5,1,8,34,0,1,18,682990,quinnpriester,Priester,Right,Quinn Priester,- - -,4.71,4.43,49.2,100.0,94.0,98.0,0.793,5.98,2.54,10.15,1.27,2.41,0.164,0.456,0.158,0.316,0.425,87.0,91.0,92.0,98.0,99.0,101.0,59.0,103.0,93.0,99.0,100.0,94.0,,,,0.302,0.144,,0.145,0.129,-1.72,,0.06,-1.2,1.51,93.0,,88.5,93.1,80.6,0.29,0.493,0.132,,,,0.161,0.194,0.212,0.4,0.4,0.186,,,,5.0,4,1,1,1,2,0,89,58,4.71,686752,Ryan Pepiot,4.0,1,5,108.0,103.0,106.0,,,,,0.279,,-0.99,,87.1,0.375,0.5,0.438,,,,,,,0.246,0.443,0.254,,,,,,,,,,,,
