date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,KC%,wFA/C,wFC/C,wKC/C,vFA,vFC,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,FO%,wFO/C,vFO,vKN (sc),KN%,wKN/C
2024-03-28,745687,Strikeout,strikeout,True,680869,669456,Zack Gelof,Shane Bieber,0,c9e96b45-1b26-4237-9058-29b9b568509a,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,,,,120.0,103.0,108.0,,0.247,0.133,,6.64,-1.66,89.0,,85.3,,,,0.125,0.188,0.64,0.375,0.5,0.417,92.0,103.0,95.0,138.0,91.0,91.0,75.0,107.0,102.0,0.416,0.096,0.108,0.61,2.93,-1.71,92.0,86.6,82.8,0.308,0.462,0.167,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Groundout,field_out,True,680869,669456,Zack Gelof,Shane Bieber,0,bbf70b9e-3dd0-4bba-aa73-876f8411f4d5,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,,,,120.0,103.0,108.0,,0.247,0.133,,6.64,-1.66,89.0,,85.3,,,,0.125,0.188,0.64,0.375,0.5,0.417,92.0,103.0,95.0,138.0,91.0,91.0,75.0,107.0,102.0,0.416,0.096,0.108,0.61,2.93,-1.71,92.0,86.6,82.8,0.308,0.462,0.167,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Strikeout,strikeout,True,680869,669456,Zack Gelof,Shane Bieber,0,ffd31384-afcf-48b9-9a02-0645df61041f,669456.0,shanebieber,Bieber,Right,Shane Bieber,CLE,0.0,2.64,12.0,102.0,98.0,100.0,0.646,15.0,0.75,7.5,0.0,3.0,0.25,0.333,0.167,0.375,0.386,60.0,101.0,105.0,,,,120.0,103.0,108.0,,0.247,0.133,,6.64,-1.66,89.0,,85.3,,,,0.125,0.188,0.64,0.375,0.5,0.417,92.0,103.0,95.0,138.0,91.0,91.0,75.0,107.0,102.0,0.416,0.096,0.108,0.61,2.93,-1.71,92.0,86.6,82.8,0.308,0.462,0.167,0.25,0.25,0.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745687,Groundout,field_out,True,680869,680704,Zack Gelof,Nick Sandlin,0,6bc6eb48-cef5-4962-92d4-869f54441eb8,680704.0,nicksandlin,Sandlin,Right,Nick Sandlin,CLE,3.63,3.77,34.2,93.0,89.0,92.0,0.646,9.87,3.89,5.71,1.3,0.71,0.198,0.407,0.163,0.349,0.374,,,,86.0,83.0,79.0,111.0,90.0,99.0,0.112,0.394,,-4.63,-0.32,,,92.3,79.1,0.333,0.722,0.074,0.214,0.429,0.452,,,,89.0,97.0,94.0,,,,,,,0.282,,,0.62,,,92.5,,,0.188,0.313,0.197,,,,,,,,,,,,,51.0,97.0,84.0,0.212,5.5,84.5,0.034,0.034,0.538,,,,,,,,,,,,
2024-03-29,745682,Groundout,field_out,True,680869,671106,Zack Gelof,Logan Allen,0,98bebf32-3447-4398-99c0-7dd0a3f8c3f0,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Strikeout,strikeout,True,680869,671106,Zack Gelof,Logan Allen,0,2d28c2d8-a215-4ed6-8e47-41f5a58a337b,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Strikeout,strikeout,True,680869,671106,Zack Gelof,Logan Allen,0,05b4d593-40c2-4d10-8762-b18c2ff5b501,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Walk,walk,False,680869,605130,Zack Gelof,Scott Barlow,1,8cbb85b1-375e-4a2c-a1be-3aaeaeb6e3a8,605130.0,scottbarlow,"Barlow, S",Right,Scott Barlow,CLE,3.52,3.61,38.1,91.0,115.0,93.0,0.648,12.68,5.4,7.28,0.94,1.83,0.169,0.551,0.191,0.247,0.333,,,,98.0,93.0,93.0,124.0,86.0,90.0,0.099,0.489,,-2.08,1.33,,,91.7,81.2,0.5,0.667,0.316,0.141,0.203,0.424,,,,80.0,89.0,83.0,,,,,,,0.202,,,-0.48,,,91.7,,,0.36,0.52,0.204,,,,0.175,0.425,0.444,149.0,103.0,108.0,0.209,-1.56,77.5,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Double,double,False,680869,676440,Zack Gelof,Tanner Bibee,0,9d54d5b9-37fc-44bd-b56d-6c8ad2a43553,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,,,,116.0,104.0,112.0,0.001,0.27,0.171,-3.42,1.69,1.17,82.4,92.5,86.2,,,,0.128,0.223,0.355,0.212,0.353,0.276,94.0,103.0,99.0,,,,,,,0.44,,,-1.35,,,94.6,,,0.305,0.524,0.214,,,,0.186,0.4,0.241,119.0,111.0,113.0,0.118,-0.54,81.5,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Single,single,False,680869,676440,Zack Gelof,Tanner Bibee,0,5838c922-d348-4219-b510-5220ef490ee8,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,,,,116.0,104.0,112.0,0.001,0.27,0.171,-3.42,1.69,1.17,82.4,92.5,86.2,,,,0.128,0.223,0.355,0.212,0.353,0.276,94.0,103.0,99.0,,,,,,,0.44,,,-1.35,,,94.6,,,0.305,0.524,0.214,,,,0.186,0.4,0.241,119.0,111.0,113.0,0.118,-0.54,81.5,,,,,,,,,,,,,,,,,,,,,
