date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,wFA/C,wFC/C,wSL/C,wCU/C,vFA,vFC,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-06-12,746948,Flyout,field_out,True,665561,601713,Rafael Marchán,Nick Pivetta,0,8dae5ce8-be51-4d5e-9161-a3205c038aca,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,3.87,3.56,81.1,106.0,135.0,109.0,0.773,10.62,2.32,7.52,1.44,0.67,0.248,0.386,0.124,0.376,0.465,111.0,106.0,107.0,129.0,107.0,111.0,152.0,102.0,107.0,111.0,100.0,87.0,0.485,0.078,0.281,0.155,1.51,-6.7,0.51,0.97,94.3,88.4,83.0,80.1,0.204,0.354,0.213,0.333,0.583,0.345,0.414,0.966,0.19,0.172,0.31,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-12,746948,Strikeout,strikeout,True,665561,601713,Rafael Marchán,Nick Pivetta,0,8174a729-f4b1-4736-9e07-bd752bf51096,601713.0,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,3.87,3.56,81.1,106.0,135.0,109.0,0.773,10.62,2.32,7.52,1.44,0.67,0.248,0.386,0.124,0.376,0.465,111.0,106.0,107.0,129.0,107.0,111.0,152.0,102.0,107.0,111.0,100.0,87.0,0.485,0.078,0.281,0.155,1.51,-6.7,0.51,0.97,94.3,88.4,83.0,80.1,0.204,0.354,0.213,0.333,0.583,0.345,0.414,0.966,0.19,0.172,0.31,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-12,746948,Groundout,field_out,True,665561,677161,Rafael Marchán,Zack Kelly,0,80ec5285-0d2c-4919-a2f4-a0230e29610e,677161.0,zackkelly,"Kelly, Z",Right,Zack Kelly,BOS,1.96,3.12,36.2,102.0,109.0,106.0,0.738,10.06,3.93,4.91,0.98,1.62,0.225,0.393,0.191,0.225,0.44,,,,107.0,97.0,93.0,129.0,104.0,115.0,89.0,105.0,107.0,0.317,0.189,0.255,,-0.36,2.03,2.66,,96.2,90.2,82.3,,0.195,0.268,0.19,0.111,0.222,0.385,0.192,0.308,0.271,,,,107.0,105.0,112.0,,,,,0.239,,1.3,83.4,,,,,0.111,0.259,0.29,,,,,,,,,,,,,,,,,,,,,
2024-06-12,746948,Groundout,field_out,True,665561,686580,Rafael Marchán,Justin Slaten,0,027f151f-92da-4059-aadf-1699a3aafc71,686580.0,justinslaten,Slaten,Right,Justin Slaten,BOS,3.38,2.96,42.2,100.0,105.0,101.0,0.716,9.49,1.9,7.38,0.42,1.58,0.181,0.44,0.181,0.328,0.415,153.0,107.0,116.0,111.0,100.0,105.0,113.0,97.0,102.0,89.0,100.0,95.0,0.275,0.392,0.273,0.06,1.62,2.42,-0.26,-0.28,96.3,91.2,83.9,83.7,0.147,0.147,0.268,0.264,0.415,0.406,0.222,0.302,0.248,0.222,0.222,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,747025,Groundout,field_out,True,665561,680694,Rafael Marchán,Kyle Bradish,0,e15da3fb-3287-41b6-9458-b33b3167c1c3,680694.0,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.75,2.66,39.1,101.0,113.0,105.0,0.745,12.13,3.43,6.18,0.46,1.79,0.297,0.396,0.297,0.209,0.432,124.0,104.0,110.0,99.0,96.0,94.0,157.0,100.0,115.0,,,,0.132,,0.298,0.171,-1.14,,1.3,-0.49,94.4,,88.2,84.0,0.364,0.545,0.261,0.171,0.244,0.34,,,,0.227,0.5,0.283,25.0,111.0,62.0,83.0,103.0,100.0,0.395,0.004,1.52,13.9,92.0,95.3,0.159,0.232,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,747025,Home Run,home_run,False,665561,680694,Rafael Marchán,Kyle Bradish,0,c6d6d560-91be-4d8d-a634-0ec91cb743bf,680694.0,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.75,2.66,39.1,101.0,113.0,105.0,0.745,12.13,3.43,6.18,0.46,1.79,0.297,0.396,0.297,0.209,0.432,124.0,104.0,110.0,99.0,96.0,94.0,157.0,100.0,115.0,,,,0.132,,0.298,0.171,-1.14,,1.3,-0.49,94.4,,88.2,84.0,0.364,0.545,0.261,0.171,0.244,0.34,,,,0.227,0.5,0.283,25.0,111.0,62.0,83.0,103.0,100.0,0.395,0.004,1.52,13.9,92.0,95.3,0.159,0.232,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,747025,Strikeout,strikeout,True,665561,669211,Rafael Marchán,Keegan Akin,0,14bd3502-98ce-4562-be0b-7590c3e32666,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.55,2.72,50.2,102.0,111.0,105.0,0.703,10.84,2.84,6.39,1.07,0.75,0.278,0.397,0.183,0.294,0.461,,,,110.0,101.0,104.0,115.0,105.0,110.0,,,,0.572,,0.331,,0.72,,0.67,,93.8,,85.2,,0.216,0.414,0.308,0.163,0.306,0.324,,,,,,,106.0,98.0,99.0,,,,,0.097,,1.7,85.1,,,,,0.174,0.174,0.314,,,,,,,,,,,,,,,,,,,,,
2024-06-14,747025,Strikeout,strikeout,True,665561,666974,Rafael Marchán,Yennier Cano,0,1a379c81-1577-4f69-a981-505007874101,666974.0,yenniercano,Cano,Right,Yennier Cano,BAL,2.79,3.91,38.2,106.0,116.0,106.0,0.723,8.84,4.42,7.45,1.16,3.45,0.137,0.48,0.167,0.363,0.393,,,,59.0,107.0,97.0,145.0,96.0,111.0,,,,0.115,,0.107,,2.39,,-3.54,,96.5,,87.0,,0.077,0.077,0.406,0.3,0.9,0.526,,,,,,,137.0,115.0,108.0,112.0,103.0,106.0,0.498,0.279,0.62,0.32,90.7,95.8,0.288,0.409,0.244,0.176,0.294,0.317,,,,,,,,,,,,,,,,,,,,,
2024-06-17,745567,Single,single,False,665561,681190,Rafael Marchán,Randy Vásquez,0,a8d5542f-0c19-4e76-8701-f70932d045ae,681190.0,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.57,6.3,63.0,102.0,107.0,100.0,0.833,6.14,2.14,11.86,1.57,1.12,0.177,0.4,0.186,0.335,0.429,127.0,103.0,106.0,92.0,103.0,99.0,138.0,99.0,108.0,104.0,99.0,94.0,0.319,0.106,0.104,0.196,-0.51,1.09,-1.05,0.58,94.3,90.2,82.5,82.3,0.319,0.493,0.227,0.276,0.483,0.25,0.308,0.423,0.197,0.186,0.349,0.237,98.0,100.0,98.0,103.0,102.0,96.0,0.146,0.128,-2.74,-4.57,88.5,94.2,0.423,0.615,0.115,0.405,0.73,0.118,,,,,,,,,,,,,,,,,,,,,
2024-06-17,745567,Single,single,False,665561,681190,Rafael Marchán,Randy Vásquez,1,68b90276-487b-4a96-bb28-324c2b2620ad,681190.0,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.57,6.3,63.0,102.0,107.0,100.0,0.833,6.14,2.14,11.86,1.57,1.12,0.177,0.4,0.186,0.335,0.429,127.0,103.0,106.0,92.0,103.0,99.0,138.0,99.0,108.0,104.0,99.0,94.0,0.319,0.106,0.104,0.196,-0.51,1.09,-1.05,0.58,94.3,90.2,82.5,82.3,0.319,0.493,0.227,0.276,0.483,0.25,0.308,0.423,0.197,0.186,0.349,0.237,98.0,100.0,98.0,103.0,102.0,96.0,0.146,0.128,-2.74,-4.57,88.5,94.2,0.423,0.615,0.115,0.405,0.73,0.118,,,,,,,,,,,,,,,,,,,,,
2024-06-17,745567,Single,single,False,665561,670970,Rafael Marchán,Adrian Morejon,0,64ef4d7e-38e6-4ba9-8604-931b967146b4,670970.0,adrianmorejon,Morejon,Left,Adrian Morejon,SDP,2.23,2.72,40.1,107.0,122.0,113.0,0.736,9.6,2.68,8.03,0.22,1.54,0.306,0.369,0.243,0.306,0.468,,,,126.0,102.0,108.0,122.0,112.0,119.0,,,,0.288,,0.377,,-0.51,,0.27,,96.9,,85.6,,0.3,0.45,0.26,0.375,0.75,0.167,,,,,,,,,,124.0,103.0,110.0,0.294,,2.34,,,97.5,0.261,0.304,0.159,,,,77.0,102.0,106.0,0.041,3.79,86.5,0.0,0.0,0.75,,,,,,,,,,,,
2024-06-17,745567,Single,single,False,665561,666745,Rafael Marchán,Jhony Brito,1,acdd6bcb-18a3-4b79-9208-9748afbd08d6,666745.0,jhonybrito,Brito,Right,Jhony Brito,SDP,4.35,4.02,41.1,99.0,89.0,98.0,0.841,5.66,1.96,10.45,0.87,1.31,0.275,0.303,0.183,0.303,0.446,,,,76.0,99.0,90.0,94.0,89.0,97.0,,,,0.265,,0.119,,0.62,,-2.91,,96.3,,86.0,,0.216,0.405,0.164,0.6,0.6,0.143,,,,0.333,0.333,0.0,89.0,104.0,105.0,98.0,99.0,99.0,0.242,0.351,-1.03,1.47,89.8,96.2,0.375,0.458,0.088,0.234,0.328,0.271,,,,,,,,,,123.0,82.0,110.0,0.023,-0.28,81.4,,,,,,
2024-06-19,745561,Double Play,double_play,True,665561,663362,Rafael Marchán,Matt Waldron,1,d9666e75-29c0-40c3-b536-36a715cf2a59,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,,,,57.0,107.0,92.0,113.0,101.0,106.0,82.0,96.0,88.0,0.202,0.062,0.206,,0.35,1.49,0.59,,90.7,87.0,79.1,,0.247,0.419,0.208,0.228,0.443,0.186,0.208,0.292,0.145,,,,,,,74.0,107.0,101.0,0.134,,0.78,,,90.0,0.288,0.411,0.067,,,,,,,,,,,,,,,,,,,77.6,0.395,-0.13,0.21,0.325,0.272
2024-06-19,745561,Groundout,field_out,True,665561,663362,Rafael Marchán,Matt Waldron,0,8e020451-1396-4892-b5dd-55cd9bad29c5,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,,,,57.0,107.0,92.0,113.0,101.0,106.0,82.0,96.0,88.0,0.202,0.062,0.206,,0.35,1.49,0.59,,90.7,87.0,79.1,,0.247,0.419,0.208,0.228,0.443,0.186,0.208,0.292,0.145,,,,,,,74.0,107.0,101.0,0.134,,0.78,,,90.0,0.288,0.411,0.067,,,,,,,,,,,,,,,,,,,77.6,0.395,-0.13,0.21,0.325,0.272
