date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2024/09/29,12:09 PM.,LAA,TEX,away,Sunny.,75,686799,LF,5,1,1,0,0,0,0,1,0,0,2,.253,.325,.415,.740,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.184,0.03,-1.87,0.89,,-1.06,-3.35,96.3,88.3,95.8,,85.0,0.167,0.5,0.364,,,,0.286,0.411,0.121,0.333,0.444,0.067,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,6:41 PM.,LAA,TEX,away,Clear.,71,656288,LF,4,2,1,0,0,1,1,0,1,1,3,.253,.326,.417,.743,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,75.0,96.0,96.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.376,0.24,0.107,0.267,-0.85,-6.83,-0.91,-0.86,0.48,93.4,88.6,93.0,87.7,80.6,0.251,0.529,0.147,0.284,0.444,0.331,0.429,0.857,0.0,0.259,0.387,0.288,0.271,0.438,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,LAA,TEX,away,Partly Cloudy.,69,672282,LF,4,1,1,0,0,1,2,0,0,1,1,.253,.325,.412,.737,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.146,0.142,-0.56,,-0.44,-3.5,-1.18,93.8,84.7,,86.2,75.0,0.278,0.508,0.253,0.22,0.39,0.368,,,,0.351,0.544,0.319,0.37,0.804,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,12:37 PM.,OAK,TEX,away,Sunny.,67,669372,LF,2,1,1,0,0,0,0,1,2,0,1,.253,.326,.407,.733,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,,,,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,0.511,0.035,0.309,,0.146,1.23,-0.98,2.3,,-0.36,92.2,87.0,92.9,85.3,,0.0,0.0,0.333,0.158,0.237,0.355,0.319,0.472,0.205,0.389,0.556,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/25,6:40 PM.,OAK,TEX,away,Partly Cloudy.,64,669620,LF,5,1,2,0,0,1,2,1,0,1,2,.252,.323,.407,.730,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,79.0,112.0,110.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,0.023,0.469,,0.206,0.123,2.37,-1.21,,1.0,-3.63,92.2,86.4,92.0,,76.4,0.225,0.325,0.165,,,,,,,0.357,0.571,0.227,0.2,0.2,0.385,102.0,107.0,103.0,0.18,-2.37,88.1,0.385,0.615,0.308,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/24,6:40 PM.,OAK,TEX,away,Partly Cloudy.,69,687765,LF,4,1,0,0,0,0,0,0,1,2,4,.251,.322,.401,.723,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,0.146,,0.326,0.121,0.011,,-1.41,0.01,-0.82,-7.88,,88.4,91.9,84.3,80.4,,,,0.278,0.493,0.276,0.338,0.403,0.16,0.571,0.857,0.0,0.196,0.351,0.31,99.0,100.0,96.0,0.396,-0.41,90.7,0.278,0.472,0.176,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:37 PM.,SEA,TEX,home,Roof Closed.,74,693433,LF,4,1,1,0,0,1,3,0,0,1,1,.253,.323,.404,.727,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,0.23,0.489,0.187,,0.094,1.44,1.85,1.23,,0.0,94.8,89.6,94.7,84.2,,0.218,0.355,0.273,0.265,0.529,0.241,0.234,0.315,0.097,0.186,0.373,0.207,,,,,,,,,,,,,0.1,0.1,0.417,,,,,,,,,,,,,,,,,,,,,
2024/09/21,6:07 PM.,SEA,TEX,home,Roof Closed.,74,676106,LF,4,1,2,0,0,0,0,1,1,0,1,.253,.324,.399,.723,676106,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.94,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,,,,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,,0.211,0.6,-1.17,-3.11,,0.03,93.4,86.5,93.2,84.1,,0.253,0.443,0.226,0.3,0.6,0.317,0.323,0.538,0.149,0.185,0.323,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/20,7:07 PM.,SEA,TEX,home,Roof Closed.,74,669923,LF,4,0,0,0,0,0,0,0,0,1,1,.251,.321,.398,.719,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,,0.46,1.5,1.28,,,96.0,,96.0,87.2,,0.221,0.458,0.291,0.226,0.316,0.271,0.263,0.354,0.105,,,,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,114.0,110.0,113.0,0.082,-1.95,83.4,73.9,0.0,-3.5,,,
2024/09/19,1:37 PM.,TOR,TEX,home,Roof Closed.,74,592332,LF,3,0,0,0,0,0,0,0,0,1,0,.253,.324,.402,.726,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.71,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,,,,,,,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,0.054,0.528,0.084,,,0.43,-3.21,-1.21,,,93.9,,93.3,82.7,,0.277,0.466,0.175,0.268,0.439,0.266,0.316,0.579,0.117,,,,,,,,,,,,,,,,,,,88.0,108.0,106.0,0.334,0.51,86.0,0.169,0.262,0.335,,,,,,,,,,,,
2024/09/18,7:08 PM.,TOR,TEX,home,Roof Closed.,74,670102,LF,3,1,1,0,0,0,0,0,0,2,1,.254,.326,.404,.730,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,,,,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,0.029,0.513,0.092,0.182,,2.21,1.45,-1.47,-1.71,,92.9,,90.3,81.7,73.5,0.174,0.371,0.185,0.25,0.583,0.436,0.182,0.455,0.067,,,,0.308,0.558,0.243,,,,,,,,,,,,,109.0,105.0,110.0,0.184,1.44,83.8,0.169,0.169,0.225,,,,,,,,,,,,
2024/09/17,7:09 PM.,TOR,TEX,home,Roof Closed.,74,605135,LF,4,3,3,2,0,1,2,0,2,0,3,.254,.324,.405,.729,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,75.0,87.0,84.0,101.0,91.0,102.0,64.0,103.0,94.0,96.0,101.0,97.0,120.0,96.0,106.0,0.407,0.045,0.118,0.137,0.053,-1.6,-0.08,-0.88,-0.09,-2.29,92.6,84.5,92.5,77.2,71.0,0.242,0.394,0.25,0.375,0.781,0.096,0.327,0.423,0.128,0.321,0.607,0.158,0.221,0.351,0.292,79.0,101.0,91.0,0.197,0.44,89.6,0.188,0.316,0.268,0.154,0.231,0.458,87.0,90.0,86.0,0.043,-2.64,84.1,0.303,0.364,0.167,,,,,,,,,,,,
2024/09/15,1:12 PM.,SEA,TEX,away,Cloudy.,58,669923,LF,3,0,0,0,0,0,0,0,0,1,0,.249,.318,.391,.709,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,0.236,0.339,0.237,,,0.46,1.5,1.28,,,96.0,,96.0,87.2,,0.221,0.458,0.291,0.226,0.316,0.271,0.263,0.354,0.105,,,,0.333,0.439,0.286,97.0,99.0,93.0,0.004,0.79,92.3,,,,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,114.0,110.0,113.0,0.082,-1.95,83.4,73.9,0.0,-3.5,,,
2024/09/14,6:40 PM.,SEA,TEX,away,Roof Closed.,57,669302,LF,3,0,1,1,0,0,0,1,1,0,0,.251,.320,.393,.713,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,0.015,0.308,0.32,0.118,,1.41,0.32,1.72,0.81,,96.6,,95.5,88.4,83.2,0.204,0.383,0.193,0.21,0.375,0.368,0.286,0.286,0.05,,,,0.181,0.301,0.354,116.0,104.0,103.0,0.106,0.14,92.3,0.247,0.483,0.272,,,,99.0,96.0,104.0,0.134,1.18,84.5,0.101,0.162,0.506,,,,,,,,,,,,
2024/09/13,7:11 PM.,SEA,TEX,away,Roof Closed.,61,676106,LF,3,2,1,0,0,1,1,0,2,1,2,.251,.319,.391,.710,676106,emersonhancock,Hancock,Right,Emerson Hancock,SEA,4.75,5.94,60.2,102.0,86.0,98.0,0.809,5.79,2.82,9.2,1.78,0.82,0.272,0.411,0.198,0.317,0.436,86.0,108.0,105.0,,,,76.0,103.0,94.0,90.0,100.0,94.0,97.0,94.0,95.0,0.298,0.326,0.165,,0.211,0.6,-1.17,-3.11,,0.03,93.4,86.5,93.2,84.1,,0.253,0.443,0.226,0.3,0.6,0.317,0.323,0.538,0.149,0.185,0.323,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/12,6:42 PM.,SEA,TEX,away,Partly Cloudy.,69,682243,LF,4,1,1,1,0,0,0,0,0,1,0,.250,.316,.385,.701,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,,,,124.0,102.0,106.0,100.0,102.0,99.0,122.0,96.0,101.0,0.171,0.423,0.168,,,1.53,1.55,-0.21,,,95.2,,94.7,84.5,,0.184,0.348,0.266,0.243,0.568,0.261,0.248,0.358,0.092,,,,0.231,0.308,0.378,93.0,80.0,85.0,0.023,0.14,92.1,0.25,0.333,0.207,0.24,0.4,0.188,95.0,107.0,111.0,0.171,1.51,84.4,0.148,0.225,0.29,92.0,104.0,111.0,0.044,-0.4,85.0,,,,,,
2024/09/11,12:41 PM.,AZ,TEX,away,Roof Closed.,78,518876,LF,5,1,2,0,0,0,0,0,0,1,1,.250,.316,.384,.700,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,116.0,108.0,107.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,0.147,0.197,0.118,0.077,0.21,-0.76,-3.28,-0.18,-1.78,4.47,91.9,88.4,92.3,85.6,82.2,0.26,0.54,0.204,0.273,0.455,0.394,0.378,0.644,0.086,0.099,0.099,0.315,0.25,0.55,0.205,95.0,103.0,98.0,0.252,0.01,90.3,0.276,0.5,0.109,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/10,6:41 PM.,AZ,TEX,away,Roof Closed.,78,668678,LF,4,0,2,0,0,0,0,2,0,1,1,.248,.315,.384,.699,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.65,3.97,148.0,101.0,101.0,101.0,0.761,9.49,3.28,8.09,0.79,1.38,0.231,0.396,0.133,0.351,0.348,88.0,107.0,98.0,,,,101.0,95.0,96.0,132.0,80.0,80.0,107.0,102.0,102.0,0.001,0.463,0.087,,0.14,-0.55,-1.02,-0.56,,0.43,93.7,86.6,94.7,87.0,,0.28,0.46,0.133,0.31,0.476,0.337,,,,0.27,0.382,0.265,0.148,0.23,0.392,89.0,87.0,79.0,0.031,-0.78,90.3,0.25,0.625,0.36,,,,,,,,,,,,,107.0,108.0,112.0,0.277,2.29,81.0,,,,,,
