date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2023-09-30,6:37 PM.,MIA,PIT,home,Cloudy.,75,608638,PH,1,0,0,0,0,0,0,0,0,1,0,0.25,0.302,0.475,0.777,608638,jtchargois,Chargois,Right,JT Chargois,MIA,3.61,3.63,42.1,99.0,108.0,102.0,0.803,7.44,3.83,7.44,0.64,1.81,0.244,0.395,0.193,0.277,0.413,,,,83.0,92.0,92.0,104.0,98.0,96.0,118.0,101.0,111.0,,,,0.506,0.078,0.415,,,0.34,1.23,0.1,,,95.8,,96.3,86.3,,0.206,0.338,0.302,0.25,0.421,0.096,,,,0.286,0.286,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,6:07 PM.,PHI,PIT,away,Cloudy.,62,554430,RF,4,0,0,0,0,0,0,0,0,0,2,0.253,0.306,0.481,0.787,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,,,,0.18,0.435,0.123,,0.004,1.69,1.62,0.36,,-6.22,95.8,90.8,95.2,84.4,,0.198,0.36,0.392,0.252,0.308,0.192,0.264,0.473,0.33,0.199,0.333,0.314,,,,116.0,105.0,114.0,96.0,102.0,102.0,0.144,0.115,-0.63,-1.61,90.9,81.4,0.27,0.426,0.228,,,,,,,,,,,,,,,,,,
2023-09-24,1:41 PM.,CIN,PIT,away,Sunny.,77,682227,RF,3,0,0,0,0,0,0,0,1,0,0,0.267,0.321,0.507,0.828,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,,,,,0.372,0.102,,0.165,-0.15,,-1.33,,-0.51,92.8,84.0,,81.7,,0.0,0.0,0.273,,,,0.333,0.6,0.143,0.269,0.433,0.171,0.183,0.39,0.3989999999999999,98.0,96.0,103.0,106.0,102.0,98.0,0.298,0.064,1.71,-1.75,89.3,73.1,0.252,0.433,0.185,,,,,,,,,,,,,,,,,,
2023-09-22,6:41 PM.,CIN,PIT,away,Partly Cloudy.,80,671096,LF,3,0,1,1,0,0,1,0,1,0,1,0.278,0.325,0.528,0.853,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,72.0,96.0,91.0,81.0,99.0,91.0,,,,106.0,107.0,113.0,,,,,0.501,0.165,,0.163,-0.02,,1.61,,0.99,92.7,86.6,,82.9,,0.174,0.304,0.29,,,,0.367,0.65,0.26,0.249,0.459,0.198,0.203,0.27,0.3939999999999999,99.0,103.0,103.0,,,,,0.171,,-2.27,,80.9,,,,,,,,,,,,,,,,,,,,,
2023-09-21,6:40 PM.,CHC,PIT,away,Cloudy.,69,543294,RF,4,0,3,1,0,0,3,1,0,1,1,0.275,0.315,0.522,0.837,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,,,,0.349,0.205,,,0.411,-1.61,0.04,,,1.43,87.8,80.7,87.5,,,,,,0.318,0.46,0.08,0.25,0.25,0.4379999999999999,0.38,0.658,0.1119999999999999,0.18,0.279,0.324,97.0,79.0,84.0,,,,,0.035,,0.0,,73.3,,,,,,,,,,,,,,,,,,,,,
2023-09-19,8:05 PM.,CHC,PIT,away,Overcast.,64,665871,PH,1,0,0,0,0,0,0,0,0,1,1,0.246,0.29,0.492,0.782,665871,javierassad,Assad,Right,Javier Assad,CHC,3.05,4.64,109.1,99.0,92.0,94.0,0.825,7.74,3.38,7.66,1.07,1.36,0.283,0.334,0.18,0.331,0.412,58.0,94.0,87.0,82.0,97.0,90.0,87.0,103.0,93.0,103.0,100.0,103.0,,,,0.306,0.194,0.135,,0.04,-0.9,2.18,0.28,,-3.27,93.1,85.0,92.7,80.6,,0.163,0.265,0.457,0.214,0.324,0.142,0.25,0.55,0.258,0.313,0.484,0.193,0.357,0.571,0.292,92.0,89.0,86.0,103.0,99.0,95.0,0.274,0.051,0.48,-3.14,89.1,76.5,0.218,0.418,0.18,,,,,,,,,,,,,,,,,,
2023-09-17,1:51 PM.,NYY,PIT,home,Rain.,62,607074,RF,3,1,1,0,0,1,1,0,0,0,1,0.25,0.294,0.5,0.794,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,6.85,5.34,64.1,97.0,111.0,100.0,0.764,8.95,3.92,9.09,2.1,0.52,0.212,0.402,0.116,0.381,0.429,84.0,67.0,81.0,106.0,101.0,100.0,,,,126.0,95.0,104.0,,,,,0.603,0.29,,0.043,-1.05,,-0.06,,0.96,95.3,85.5,,85.4,,0.2,0.347,0.372,,,,0.375,1.25,0.211,0.294,0.55,0.217,0.0,0.0,0.421,102.0,92.0,96.0,,,,,0.065,,-3.96,,79.7,,,,,,,,,,,,,,,,,,,,,
2023-09-15,6:37 PM.,NYY,PIT,home,Clear.,70,543037,DH,3,1,1,0,0,0,0,0,1,0,4,0.246,0.292,0.459,0.751,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,2.63,3.48,209.0,104.0,121.0,109.0,0.765,9.56,2.07,6.76,0.86,1.01,0.243,0.366,0.151,0.311,0.425,72.0,100.0,96.0,125.0,104.0,108.0,,,,136.0,105.0,114.0,114.0,103.0,113.0,,0.53,0.208,0.121,0.071,1.66,,1.69,0.94,-0.54,96.7,89.1,,89.1,82.9,0.186,0.251,0.327,,,,0.215,0.269,0.244,0.201,0.332,0.228,0.235,0.51,0.286,,,,107.0,103.0,102.0,0.07,,0.61,,92.7,,0.262,0.377,0.311,,,,,,,,,,,,,,,,,,
2023-09-12,6:36 PM.,WSH,PIT,home,Cloudy.,66,672851,DH,4,1,1,0,0,0,1,1,1,0,3,0.241,0.279,0.466,0.745,672851,joanadon,Adon,Right,Joan Adon,WSN,6.45,5.59,51.2,98.0,89.0,93.0,0.802,8.36,4.18,10.45,1.39,1.0,0.242,0.406,0.145,0.406,0.411,86.0,98.0,102.0,79.0,101.0,90.0,89.0,89.0,79.0,98.0,93.0,93.0,,,,0.136,0.395,0.113,,0.152,0.26,-1.28,-2.74,,0.68,94.5,88.1,94.2,87.3,,0.318,0.455,0.286,0.314,0.629,0.0139999999999999,0.315,0.63,0.253,0.288,0.411,0.221,0.148,0.222,0.3389999999999999,104.0,101.0,102.0,,,,,0.205,,-3.51,,80.8,,,,,,,,,,,,,,,,,,,,,
2023-09-11,6:37 PM.,WSH,PIT,home,Clear.,77,571578,DH,4,1,1,1,0,0,0,0,0,1,1,0.241,0.268,0.481,0.749,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,65.0,103.0,88.0,86.0,102.0,93.0,84.0,99.0,100.0,,,,0.417,0.169,0.35,,0.064,-0.69,-0.89,-0.51,,-2.07,91.8,81.2,92.1,80.5,,0.233,0.461,0.397,0.32,0.463,0.074,,,,0.327,0.541,0.121,0.29,0.645,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
