date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-09-24,1:35 PM.,ATL,WSH,home,Rain.,67,642216,C,3,0,1,1,0,0,0,0,0,1,5,0.308,0.357,0.5,0.857,642216,allanwinans,Winans,Right,Allan Winans,ATL,5.29,4.24,32.1,104.0,77.0,97.0,0.771,9.46,2.23,10.3,1.39,1.19,0.227,0.474,0.103,0.381,0.449,71.0,107.0,93.0,86.0,104.0,108.0,,,,0.225,,0.245,-1.11,,-1.04,90.0,,78.8,0.25,0.583,0.133,,,,0.267,0.5,0.364,78.0,107.0,101.0,,,,74.0,97.0,86.0,,,,0.253,,,0.277,,-1.36,,0.71,,82.9,89.6,,0.387,0.581,0.113,0.25,0.341,0.311,,,,,,,,,,,,,,,,,,
2023-09-21,7:05 PM.,ATL,WSH,home,Partly Cloudy.,75,608331,C,4,0,2,0,0,0,1,0,0,1,1,0.304,0.36,0.478,0.838,608331,maxfried,Fried,Left,Max Fried,ATL,2.55,2.73,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.393,0.147,0.242,0.379,90.0,98.0,99.0,105.0,98.0,105.0,,,,0.332,,0.11,0.71,,-0.19,94.0,,83.6,0.291,0.418,0.177,,,,0.4,0.9,0.275,89.0,101.0,106.0,114.0,98.0,106.0,79.0,98.0,88.0,,,,0.117,0.044,0.231,0.165,1.44,-0.71,2.64,1.75,87.5,86.2,93.5,74.2,0.302,0.395,0.2319999999999999,0.232,0.286,0.377,0.091,0.364,0.19,0.109,0.109,0.391,,,,,,,,,,,,
2023-09-19,7:05 PM.,CWS,WSH,home,Clear.,74,570632,C,3,0,0,0,0,0,0,0,0,1,3,0.263,0.333,0.474,0.807,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,90.0,95.0,88.0,101.0,103.0,105.0,,,,0.217,,0.253,-4.06,,-0.94,95.4,,86.2,0.351,1.0,0.075,,,,0.214,0.452,0.36,61.0,98.0,82.0,,,,107.0,98.0,98.0,,,,0.288,,,0.243,,-1.62,,-0.46,,87.4,95.0,,0.339,0.589,0.171,0.22,0.39,0.258,,,,,,,,,,,,,,,,,,
2023-09-17,1:11 PM.,MIL,WSH,away,Partly Cloudy.,67,605540,C,4,0,1,1,0,0,0,0,0,2,2,0.313,0.389,0.563,0.952,605540,brandonwoodruff,Woodruff,Right,Brandon Woodruff,MIL,2.28,2.82,67.0,107.0,114.0,110.0,0.749,9.94,2.01,5.37,1.21,0.81,0.236,0.416,0.168,0.298,0.474,125.0,112.0,115.0,108.0,107.0,108.0,,,,0.41,,0.095,0.95,,-0.33,95.8,,86.9,0.177,0.385,0.314,,,,0.278,0.611,0.268,111.0,104.0,118.0,89.0,103.0,105.0,108.0,100.0,96.0,,,,0.22,,0.079,0.197,,2.76,-0.01,3.2,,85.8,95.0,82.9,0.193,0.281,0.124,0.098,0.118,0.38,,,,0.182,0.455,0.409,,,,,,,,,,,,
2023-09-13,6:36 PM.,PIT,WSH,away,Partly Cloudy.,70,681882,C,3,1,1,0,0,1,1,0,0,0,2,0.333,0.429,0.583,1.012,681882,colinselby,Selby,Right,Colin Selby,PIT,9.0,5.52,24.0,93.0,114.0,97.0,0.714,11.25,5.63,10.88,1.5,1.74,0.232,0.449,0.188,0.333,0.391,100.0,53.0,53.0,127.0,85.0,94.0,,,,0.002,,0.364,-5.8,,0.01,97.4,,88.4,,,,,,,0.192,0.423,0.418,,,,109.0,104.0,111.0,106.0,97.0,95.0,,,,0.462,,0.172,,,-1.24,-0.52,,,,96.6,82.7,0.395,0.535,0.163,,,,,,,0.241,0.31,0.342,,,,,,,,,,,,
2023-09-10,1:35 PM.,LAD,WSH,home,Cloudy.,80,642232,C,3,0,1,0,0,0,2,0,1,0,2,0.333,0.455,0.333,0.788,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,,,,,,,,,,0.308,,,0.59,,,87.0,,,0.283,0.37,0.127,,,,,,,61.0,105.0,94.0,102.0,98.0,108.0,76.0,108.0,89.0,77.0,106.0,93.0,0.002,0.248,0.26,0.182,1.48,1.21,-0.24,-2.4,84.2,78.5,88.2,71.9,,,,0.329,0.6,0.2769999999999999,0.289,0.378,0.121,0.208,0.386,0.382,,,,,,,,,,,,
2023-09-05,7:04 PM.,NYM,WSH,home,Partly Cloudy.,92,500779,C,0,0,0,0,0,0,1,0,1,0,0,0.333,0.429,0.333,0.762,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,81.0,101.0,95.0,,,,,,,0.242,,,-2.28,,,90.2,,,0.391,0.594,0.217,,,,,,,65.0,102.0,91.0,96.0,106.0,102.0,78.0,99.0,91.0,,,,0.323,,0.253,0.181,,3.29,1.45,-1.18,,85.8,90.4,77.2,0.196,0.25,0.135,0.276,0.379,0.296,,,,0.214,0.268,0.2689999999999999,0.211,0.368,0.207,,,,,,,,,
2023-09-03,1:36 PM.,MIA,WSH,home,Sunny.,91,645261,C,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.666,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,111.0,111.0,107.0,116.0,103.0,110.0,,,,0.213,,0.201,-0.27,,0.72,98.0,,89.9,0.253,0.448,0.267,,,,0.227,0.364,0.352,108.0,104.0,107.0,134.0,99.0,105.0,115.0,106.0,108.0,,,,0.29,,0.022,0.273,,1.72,-0.52,-0.43,,91.1,97.6,86.1,0.237,0.366,0.124,0.282,0.401,0.299,,,,0.308,0.308,0.182,,,,,,,,,,,,
2023-09-02,4:05 PM.,MIA,WSH,home,Sunny.,84,456501,C,2,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.666,456501,johnnycueto,Cueto,Right,Johnny Cueto,MIA,6.02,5.13,52.1,107.0,84.0,103.0,0.831,6.71,2.58,8.77,2.92,0.7,0.298,0.472,0.161,0.323,0.408,87.0,116.0,112.0,88.0,95.0,96.0,,,,0.346,,0.234,-0.03,,-1.92,92.2,,86.1,0.242,0.53,0.245,,,,0.27,0.73,0.154,73.0,106.0,102.0,120.0,47.0,56.0,89.0,103.0,100.0,69.0,90.0,66.0,0.196,0.028,0.004,0.192,0.08,2.47,-3.06,-3.11,88.1,84.1,92.2,76.0,0.244,0.4,0.035,0.286,0.595,0.278,0.222,0.333,0.1,,,,,,,,,,,,,,,
2023-08-28,7:08 PM.,TOR,WSH,away,Clear.,68,592332,PH,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,110.0,104.0,105.0,89.0,89.0,94.0,105.0,108.0,109.0,0.509,0.384,0.108,1.13,0.3,-0.97,94.7,86.3,83.6,0.243,0.409,0.172,0.201,0.307,0.432,0.348,0.565,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
