date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2023-09-30,6:16 PM.,STL,CIN,away,Clear.,86,680723,3B,5,2,4,1,0,1,3,0,0,0,0,0.318,0.37,0.455,0.825,680723,drewrom,Rom,Left,Drew Rom,STL,8.02,6.2,33.2,98.0,81.0,91.0,0.863,8.55,5.08,13.63,1.87,0.9,0.252,0.395,0.126,0.429,0.464,,,,,,,81.0,105.0,98.0,64.0,98.0,87.0,97.0,88.0,89.0,,,,0.241,0.443,,0.237,,,-2.41,,-2.11,-2.48,,,90.6,,,87.4,79.4,,,,,0.333,0.633,0.212,0.351,0.568,0.091,,,,,,,0.289,0.632,0.172,85.0,83.0,71.0,0.079,-5.66,83.6,0.467,0.6,0.2689999999999999,,,,,,,,,,,,
2023-09-29,7:15 PM.,STL,CIN,away,Clear.,80,663765,3B,5,1,2,0,0,1,2,0,0,0,1,0.295,0.351,0.4,0.751,663765,jakewoodford,Woodford,Right,Jake Woodford,STL,6.23,7.04,47.2,99.0,90.0,96.0,0.863,5.48,4.15,11.52,2.08,1.79,0.167,0.429,0.119,0.363,0.433,61.0,88.0,72.0,88.0,95.0,97.0,82.0,93.0,85.0,87.0,104.0,98.0,104.0,101.0,105.0,94.0,107.0,104.0,0.502,0.068,0.056,0.232,0.101,0.041,-10.74,-2.62,-0.6,-0.99,-3.61,-0.23,92.4,89.8,86.2,92.0,81.7,76.3,0.167,0.167,0.182,0.571,1.357,0.296,0.299,0.536,0.11,0.455,0.727,0.2,0.5,0.625,0.1669999999999999,0.241,0.448,0.186,,,,,,,,,,,,,,,,,,,,,
2023-09-27,6:12 PM.,CLE,CIN,away,Cloudy.,71,669456,3B,4,0,1,0,0,0,0,0,0,1,0,0.29,0.349,0.37,0.719,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,59.0,93.0,85.0,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,0.352,0.269,0.207,,0.035,0.87,0.43,,0.84,,-4.04,91.3,86.5,87.2,,84.6,,0.5,0.571,0.083,0.257,0.434,0.093,,,,0.237,0.368,0.3229999999999999,0.316,0.465,0.293,0.18,0.331,0.326,,,,,,,,,,,,,155.0,104.0,109.0,0.137,-1.29,82.5,,,
2023-09-26,6:10 PM.,CLE,CIN,away,Cloudy.,68,608337,3B,4,1,1,0,0,0,0,0,1,2,2,0.292,0.352,0.375,0.727,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,,,,0.419,,0.282,0.015,0.283,-0.85,,,-0.25,-3.72,-0.2,93.1,,80.9,,84.0,77.9,0.209,0.442,0.352,0.262,0.546,0.2,,,,0.5,0.5,0.2,,,,0.236,0.438,0.345,,,,,,,,,,,,,,,,,,,,,
2023-09-23,6:41 PM.,PIT,CIN,home,Clear.,75,663559,3B,4,0,1,0,0,0,0,0,0,0,1,0.293,0.35,0.38,0.73,663559,baileyfalter,Falter,Left,Bailey Falter,- - -,5.36,4.93,80.2,104.0,76.0,97.0,0.844,6.69,2.23,10.49,1.9,1.06,0.247,0.408,0.157,0.307,0.474,59.0,92.0,77.0,87.0,108.0,105.0,72.0,105.0,96.0,77.0,103.0,92.0,77.0,105.0,100.0,,,,0.072,0.444,,0.189,0.225,0.046,-0.08,,-1.63,-1.91,-0.85,-0.8,90.7,,84.6,90.7,84.5,76.5,0.273,0.364,0.3329999999999999,0.305,0.435,0.156,0.333,0.571,0.133,0.267,0.493,0.209,,,,0.288,0.746,0.1989999999999999,,,,0.024,3.65,85.0,0.0,0.0,0.3329999999999999,,,,,,,,,,,,
2023-09-22,6:41 PM.,PIT,CIN,home,Partly Cloudy.,80,656578,3B,5,0,1,0,0,0,1,0,0,2,5,0.295,0.354,0.386,0.74,656578,andrejackson,Jackson,Right,Andre Jackson,- - -,4.99,5.37,61.1,101.0,93.0,97.0,0.782,8.36,3.23,7.63,1.61,0.91,0.267,0.449,0.125,0.415,0.429,85.0,106.0,100.0,96.0,93.0,93.0,99.0,98.0,94.0,,,,90.0,101.0,103.0,,,,,0.446,,0.17,0.065,0.32,0.74,,,1.4,1.88,-1.7,94.9,,86.9,,87.1,81.5,0.273,0.566,0.297,0.222,0.367,0.191,,,,0.067,0.067,0.3229999999999999,,,,0.148,0.296,0.206,,,,,,,,,,,,,,,,,,,,,
2023-09-20,12:36 PM.,MIN,CIN,home,Sunny.,78,641927,SS,4,0,1,0,0,0,0,0,0,1,1,0.301,0.363,0.398,0.761,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,100.0,108.0,106.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,0.457,,0.196,0.067,0.28,0.75,,,-0.7,1.44,1.08,91.3,,83.7,,81.0,77.5,0.226,0.35,0.298,0.232,0.425,0.2769999999999999,,,,0.194,0.306,0.161,,,,0.255,0.48,0.3289999999999999,,,,,,,,,,,,,,,,,,,,,
2023-09-19,6:41 PM.,MIN,CIN,home,Clear.,75,628317,2B,0,0,0,0,0,0,0,0,0,0,0,0.304,0.368,0.405,0.773,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,,,,94.0,96.0,95.0,76.0,102.0,91.0,73.0,107.0,96.0,105.0,99.0,103.0,,,,0.064,0.274,,0.306,0.036,,0.35,,-0.88,-0.07,-2.4,,91.0,,,90.3,81.6,76.4,,,,0.275,0.451,0.251,0.385,0.538,0.128,0.333,0.667,0.063,,,,0.206,0.471,0.288,138.0,107.0,112.0,0.319,1.6,84.1,0.182,0.263,0.35,,,,,,,,,,,,
2023-09-18,6:41 PM.,MIN,CIN,home,Partly Cloudy.,72,657746,3B,3,1,1,0,0,0,1,0,1,0,1,0.304,0.368,0.405,0.773,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,,,,0.569,,0.159,,,0.89,,,-2.12,,,92.3,,,,80.3,,,,,0.24,0.457,0.287,,,,,,,,,,0.32,0.56,0.241,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213,,,,,,,,,,,,
2023-09-17,1:42 PM.,NYM,CIN,away,Sunny.,77,500779,3B,4,0,1,0,0,0,1,0,0,0,1,0.303,0.361,0.408,0.769,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,78.0,99.0,91.0,,,,,,,0.323,0.242,,,0.253,0.181,-2.28,,3.29,,1.45,-1.18,90.2,,85.8,90.4,,77.2,0.276,0.379,0.296,0.391,0.594,0.217,0.196,0.25,0.135,0.214,0.268,0.2689999999999999,,,,,,,,,,,,,,,,0.211,0.368,0.207,,,,,,,,,
