date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2023-09-13,7:07 PM.,TOR,TEX,away,Partly Cloudy.,65,579328,RF,3,3,2,0,0,1,2,0,2,0,0,0.241,0.334,0.409,0.743,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.097,0.05,,1.11,-1.83,95.1,88.7,,88.7,,,,0.225,0.396,0.302,0.254,0.508,0.193,,,,,,,,,,,,,0.284,0.463,0.307,0.27,0.412,0.268,,,,98.0,103.0,105.0,0.193,0.24,83.1,,,,,,,,,,,,,,,,,,
2023-09-12,7:07 PM.,TOR,TEX,away,Roof Closed.,68,547943,RF,3,1,1,0,0,1,2,0,1,2,2,0.237,0.328,0.397,0.725,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,0.095,0.317,,0.228,-0.51,3.34,,-2.1,88.6,78.1,87.7,,0.133,0.133,0.091,,,,0.276,0.448,0.25,,,,92.0,107.0,97.0,0.189,,1.27,,85.1,,0.286,0.429,0.352,0.265,0.633,0.119,0.238,0.357,0.207,88.0,111.0,105.0,0.171,-1.45,68.9,,,,,,,,,,,,,,,,,,
2023-09-11,7:08 PM.,TOR,TEX,away,Clear.,72,605135,RF,3,1,2,0,0,0,1,0,0,0,0,0.236,0.326,0.388,0.714,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,74.0,106.0,98.0,92.0,104.0,98.0,106.0,93.0,102.0,0.393,0.093,0.136,0.065,-3.9,2.11,-0.72,1.71,92.4,84.1,91.9,75.6,0.22,0.336,0.144,0.227,0.636,0.191,0.189,0.351,0.1009999999999999,,,,95.0,105.0,102.0,0.153,,-1.13,,87.8,,0.192,0.295,0.318,0.333,0.652,0.206,0.274,0.496,0.253,93.0,92.0,100.0,0.126,0.67,70.7,0.033,-3.07,82.6,0.375,0.563,0.226,78.0,84.0,84.0,,,,,,,,,
2023-09-10,1:38 PM.,OAK,TEX,home,Roof Closed.,74,665622,RF,4,0,1,1,0,0,2,0,0,0,2,0.232,0.324,0.386,0.71,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.238,0.087,-0.35,-0.8,-0.8,1.25,96.1,87.3,95.5,85.3,0.313,0.406,0.141,0.233,0.456,0.484,0.256,0.282,0.304,,,,,,,,,,,,,0.146,0.366,0.308,0.272,0.494,0.121,,,,99.0,96.0,98.0,0.117,-0.73,79.6,,,,,,,,,,,,,,,,,,
2023-09-09,6:09 PM.,OAK,TEX,home,Roof Closed.,74,656794,RF,1,2,0,0,0,0,0,0,3,1,0,0.232,0.325,0.384,0.709,656794,seannewcomb,"Newcomb, S",Left,Sean Newcomb,OAK,3.0,3.98,15.0,98.0,85.0,96.0,0.824,10.2,5.4,4.8,0.6,1.08,0.455,0.242,0.212,0.242,0.418,70.0,97.0,104.0,73.0,103.0,96.0,78.0,104.0,101.0,,,,0.068,0.518,,0.029,1.81,9.99,,-2.63,93.4,84.6,92.4,,0.0,0.0,0.1669999999999999,,,,,,,,,,86.0,88.0,93.0,0.011,,2.37,,89.8,,0.143,0.286,0.273,0.154,0.308,0.216,,,,105.0,91.0,96.0,0.375,-0.07,80.6,,,,,,,,,,0.2,0.2,0.2,,,,,,
2023-09-06,7:07 PM.,HOU,TEX,home,Roof Closed.,74,434378,RF,3,0,0,0,0,0,0,0,0,0,0,0.232,0.321,0.385,0.706,434378,justinverlander,Verlander,Right,Justin Verlander,- - -,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.232,0.438,0.168,0.307,0.433,102.0,107.0,113.0,97.0,100.0,100.0,,,,127.0,112.0,111.0,,0.5,0.253,0.047,0.89,,0.97,-0.23,94.3,85.2,,86.9,,,,0.201,0.325,0.292,0.214,0.286,0.286,,,,,,,,,,,,,0.241,0.328,0.244,0.235,0.417,0.181,,,,105.0,103.0,106.0,0.2,0.43,78.2,,,,,,,,,,,,,,,,,,
2023-09-05,7:09 PM.,HOU,TEX,home,Roof Closed.,74,664285,LF,2,0,0,0,0,0,0,0,1,0,3,0.235,0.323,0.389,0.712,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.45,4.33,198.0,98.0,106.0,100.0,0.752,9.09,2.59,7.55,0.86,2.13,0.246,0.443,0.109,0.374,0.445,96.0,98.0,94.0,98.0,-63.0,-49.0,97.0,98.0,96.0,,,,0.468,0.001,0.087,0.157,-16.35,0.93,-0.32,0.73,95.7,90.1,95.3,84.7,0.274,0.455,0.126,0.189,0.405,0.4379999999999999,0.231,0.342,0.311,,,,99.0,99.0,95.0,0.034,,0.45,,89.1,,0.158,0.211,0.402,,,,0.182,0.182,0.435,118.0,98.0,106.0,0.253,1.07,80.2,,,,,,,,,,,,,,,,,,
2023-09-04,3:08 PM.,HOU,TEX,home,Roof Closed.,74,641585,LF,2,0,0,0,0,0,0,0,1,2,1,0.236,0.323,0.392,0.715,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,75.0,102.0,112.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,,0.431,0.091,0.152,-0.26,,-2.09,2.51,93.0,81.8,,80.1,,,,0.25,0.533,0.298,0.183,0.237,0.308,,,,116.0,108.0,103.0,0.189,,0.33,,86.8,,0.145,0.273,0.422,0.308,0.481,0.106,0.317,0.446,0.22,116.0,98.0,100.0,0.137,0.16,76.0,,,,,,,,,,,,,,,,,,
2023-09-03,1:38 PM.,MIN,TEX,home,Roof Closed.,74,628317,LF,3,0,0,0,0,0,0,0,1,1,3,0.238,0.323,0.394,0.717,628317,kentamaeda,Maeda,Right,Kenta Maeda,MIN,4.23,3.74,104.1,103.0,105.0,102.0,0.735,10.09,2.42,8.11,1.47,0.69,0.225,0.389,0.1,0.336,0.399,,,,76.0,102.0,91.0,73.0,107.0,96.0,105.0,99.0,103.0,0.064,0.274,0.306,,0.35,-0.88,-0.07,,91.0,,90.3,81.6,0.385,0.538,0.128,0.206,0.471,0.288,,,,,,,,,,,,,,,,0.333,0.667,0.063,0.275,0.451,0.251,,,,94.0,96.0,95.0,0.036,-2.4,76.4,0.319,1.6,84.1,0.182,0.263,0.35,138.0,107.0,112.0,,,,,,,,,
2023-09-02,6:16 PM.,MIN,TEX,home,Roof Closed.,74,572971,LF,4,1,3,1,0,0,1,0,0,0,0,0.24,0.324,0.398,0.722,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIN,5.97,5.59,37.2,98.0,74.0,94.0,0.799,5.97,4.3,10.75,0.72,2.23,0.213,0.504,0.189,0.315,0.333,74.0,110.0,108.0,,,,64.0,92.0,86.0,64.0,94.0,95.0,0.347,,0.129,0.271,,0.39,0.06,-0.58,,80.3,87.4,78.3,0.245,0.367,0.084,0.222,0.278,0.441,0.327,0.473,0.196,,,,92.0,94.0,90.0,0.254,,-2.63,,84.8,,,,,,,,0.379,0.69,0.246,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,7:07 PM.,MIN,TEX,home,Roof Closed.,74,657746,LF,3,0,1,1,0,0,0,0,0,0,0,0.233,0.32,0.39,0.71,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,0.569,0.159,,0.89,,-2.12,,92.3,,,80.3,,,,0.32,0.56,0.241,,,,,,,,,,,,,,,,,,,0.24,0.457,0.287,,,,,,,,,,0.272,-0.3,83.9,0.242,0.415,0.213,91.0,104.0,102.0,,,,,,,,,
2023-08-29,7:11 PM.,NYM,TEX,away,Cloudy.,76,500779,LF,2,0,1,0,0,0,0,0,1,0,1,0.232,0.32,0.387,0.707,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,81.0,101.0,95.0,78.0,99.0,91.0,,,,0.323,0.242,,0.181,-2.28,3.29,,-1.18,90.2,85.8,90.4,,0.196,0.25,0.135,,,,0.276,0.379,0.296,,,,,,,,,,,,,0.214,0.268,0.2689999999999999,0.391,0.594,0.217,,,,96.0,106.0,102.0,0.253,1.45,77.2,,,,,,,,,,0.211,0.368,0.207,,,,,,
2023-08-28,7:12 PM.,NYM,TEX,away,Cloudy.,73,656731,DH,4,0,0,0,0,0,1,0,0,2,4,0.231,0.317,0.386,0.703,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,86.0,95.0,89.0,,,,96.0,103.0,106.0,,0.557,0.206,0.149,-0.4,,-1.04,-0.09,94.9,87.9,,84.4,,,,0.264,0.445,0.311,0.264,0.396,0.241,,,,,,,,,,,,,0.167,0.167,0.354,0.314,0.494,0.184,,,,101.0,91.0,96.0,0.086,-0.05,77.2,0.002,5.58,86.1,,,,116.0,83.0,118.0,,,,,,,,,
2023-08-27,1:12 PM.,MIN,TEX,away,Partly Cloudy.,71,641927,LF,2,1,1,0,0,0,0,0,2,0,0,0.234,0.32,0.392,0.712,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,94.0,106.0,105.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,0.457,0.196,0.28,0.75,,-0.7,1.08,91.3,83.7,,81.0,,,,0.255,0.48,0.3289999999999999,0.226,0.35,0.298,,,,,,,,,,,,,0.194,0.306,0.161,0.232,0.425,0.2769999999999999,,,,100.0,108.0,106.0,0.067,1.44,77.5,,,,,,,,,,,,,,,,,,
2023-08-26,6:16 PM.,MIN,TEX,away,Overcast.,72,657746,DH,3,1,1,1,0,0,1,0,1,1,0,0.232,0.315,0.391,0.706,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,102.0,112.0,108.0,,,,102.0,88.0,94.0,,0.569,0.159,,0.89,,-2.12,,92.3,,,80.3,,,,0.32,0.56,0.241,,,,,,,,,,,,,,,,,,,0.24,0.457,0.287,,,,,,,,,,0.272,-0.3,83.9,0.242,0.415,0.213,91.0,104.0,102.0,,,,,,,,,
2023-08-21,6:40 PM.,AZ,TEX,away,Roof Closed.,77,573009,LF,3,0,0,0,0,0,0,0,0,1,0,0.231,0.313,0.388,0.701,573009,joemantiply,Mantiply,Left,Joe Mantiply,ARI,4.62,3.93,39.0,103.0,94.0,96.0,0.785,6.46,2.08,8.08,0.92,1.6,0.158,0.442,0.133,0.35,0.415,91.0,106.0,100.0,89.0,90.0,76.0,92.0,103.0,94.0,,,,0.413,0.067,,0.242,-3.59,-0.67,,2.77,90.1,81.9,89.5,,0.308,0.615,0.125,,,,0.178,0.244,0.325,,,,,,,,,,,,,0.167,0.194,0.306,0.5,1.0,0.25,,,,101.0,103.0,100.0,0.278,2.47,80.3,,,,,,,,,,,,,,,,,,
2023-08-20,1:37 PM.,MIL,TEX,home,Roof Closed.,74,605288,DH,4,0,1,0,0,0,0,0,0,2,3,0.233,0.316,0.392,0.708,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,0.471,0.238,0.166,0.04,0.29,0.46,-0.89,-2.07,93.4,84.3,92.1,82.3,0.296,0.396,0.129,0.258,0.484,0.284,0.294,0.471,0.2,,,,,,,,,,,,,0.269,0.538,0.127,0.227,0.34,0.237,,,,67.0,100.0,95.0,0.085,-1.08,79.4,,,,,,,,,,,,,,,,,,
2023-08-19,3:07 PM.,MIL,TEX,home,Roof Closed.,74,642547,PH,1,0,0,0,0,0,0,0,0,0,1,0.233,0.317,0.394,0.711,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,0.512,0.218,0.146,0.89,,0.36,0.15,94.4,88.6,,82.4,,,,0.203,0.392,0.46,0.224,0.388,0.312,,,,,,,,,,,,,0.214,0.381,0.3379999999999999,0.213,0.387,0.292,,,,85.0,103.0,110.0,0.124,0.2,76.9,,,,,,,,,,,,,,,,,,
2023-08-18,7:07 PM.,MIL,TEX,home,Roof Closed.,74,605540,PH,1,1,1,1,0,0,0,0,0,0,0,0.234,0.318,0.396,0.714,605540,brandonwoodruff,Woodruff,Right,Brandon Woodruff,MIL,2.28,2.82,67.0,107.0,114.0,110.0,0.749,9.94,2.01,5.37,1.21,0.81,0.236,0.416,0.168,0.298,0.474,111.0,104.0,118.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.197,0.95,2.76,-0.33,3.2,95.8,85.8,95.0,86.9,0.193,0.281,0.124,0.278,0.611,0.268,0.098,0.118,0.38,,,,,,,,,,,,,0.182,0.455,0.409,0.177,0.385,0.314,,,,89.0,103.0,105.0,0.079,-0.01,82.9,,,,,,,,,,,,,,,,,,
2023-08-16,7:07 PM.,LAA,TEX,home,Roof Closed.,74,672282,DH,2,0,0,0,0,0,0,0,1,1,1,0.231,0.316,0.39,0.706,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,0.432,0.319,0.054,-0.38,,0.91,-2.03,94.3,84.8,,88.7,,,,0.0,0.0,0.267,0.242,0.424,0.246,,,,,,,,,,,,,0.191,0.326,0.286,0.291,0.505,0.212,,,,93.0,94.0,105.0,0.194,0.14,74.7,,,,,,,,,,,,,,,,,,
2023-08-14,7:07 PM.,LAA,TEX,home,Roof Closed.,74,663776,DH,4,2,2,2,0,0,0,0,1,1,3,0.233,0.315,0.393,0.708,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,0.111,0.256,0.285,0.258,-1.22,0.36,0.02,0.3,93.0,83.0,93.2,86.5,0.269,0.327,0.129,0.2,0.5,0.306,0.184,0.33,0.432,,,,,,,,,,,,,0.286,0.286,0.237,0.336,0.507,0.156,,,,99.0,96.0,101.0,0.09,0.27,76.5,,,,,,,,,,,,,,,,,,
2023-08-09,12:36 PM.,OAK,TEX,away,Sunny.,71,643493,DH,4,0,1,0,0,0,0,0,0,0,1,0.229,0.311,0.384,0.695,643493,austinpruitt,Pruitt,Right,Austin Pruitt,OAK,2.98,4.01,48.1,104.0,113.0,104.0,0.831,5.59,2.23,8.19,0.93,0.85,0.261,0.366,0.203,0.261,0.395,60.0,105.0,88.0,73.0,97.0,90.0,89.0,114.0,97.0,149.0,103.0,114.0,0.14,0.26,0.38,0.06,-1.17,3.55,0.34,1.29,91.8,87.1,91.3,87.6,0.216,0.297,0.135,0.238,0.365,0.245,0.308,0.385,0.2,,,,,,,,,,,,,0.143,0.314,0.22,0.344,0.469,0.182,,,,127.0,108.0,112.0,0.16,2.21,81.2,,,,,,,,,,,,,,,,,,
2023-08-08,6:41 PM.,OAK,TEX,away,Clear.,66,676664,LF,3,2,2,2,0,0,0,0,1,1,0,0.228,0.312,0.386,0.698,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,93.0,102.0,96.0,,,,93.0,102.0,106.0,0.001,0.501,0.346,0.151,-0.84,0.63,-0.06,0.36,93.1,84.1,92.1,81.4,,,,0.21,0.395,0.283,0.277,0.438,0.225,,,,,,,,,,,,,,,,0.256,0.478,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,
