date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2023-09-29,7:10 PM.,SEA,TEX,away,Roof Closed.,55,693433,2B,0,0,0,0,0,0,0,0,1,0,0,0.276,0.324,0.443,0.767,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,0.255,0.469,0.24,0.037,0.69,1.34,-0.83,-2.37,95.1,89.7,95.0,86.0,0.213,0.372,0.208,0.257,0.457,0.311,0.4,0.4,0.222,,,,,,,,,,,,,0.207,0.407,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,6:39 PM.,LAA,TEX,away,Clear.,75,672282,2B,2,0,0,0,0,0,0,0,0,1,0,0.276,0.323,0.443,0.766,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,0.432,0.319,0.054,-0.38,,0.91,-2.03,94.3,84.8,,88.7,,,,0.0,0.0,0.267,0.242,0.424,0.246,93.0,94.0,105.0,,,,,0.194,,0.14,,74.7,0.291,0.505,0.212,,,,0.191,0.326,0.286,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,1:08 PM.,BOS,TEX,home,Roof Closed.,74,678394,2B,1,0,1,0,0,0,0,0,0,0,0,0.277,0.324,0.446,0.77,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,0.364,0.207,0.175,0.239,-1.91,0.52,-1.86,1.38,95.5,86.2,95.0,85.3,0.278,0.435,0.16,0.3,0.456,0.259,0.196,0.291,0.387,,,,88.0,100.0,88.0,0.015,,-6.73,,89.1,,0.31,0.646,0.1989999999999999,0.462,1.077,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-17,1:41 PM.,CLE,TEX,away,Sunny.,71,668909,2B,1,0,1,1,0,0,1,0,0,0,0,0.275,0.323,0.444,0.767,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,136.0,95.0,93.0,112.0,101.0,103.0,,,,83.0,107.0,102.0,,0.553,0.221,0.056,0.35,,2.27,-3.24,95.7,88.2,,84.9,,,,0.157,0.241,0.318,0.353,0.588,0.212,84.0,90.0,95.0,,,,,0.17,,-1.23,,76.2,0.25,0.404,0.249,,,,0.174,0.391,0.352,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,7:10 PM.,CLE,TEX,away,Clear.,67,608337,2B,3,0,0,0,0,0,0,0,0,3,0,0.274,0.321,0.44,0.761,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,84.0,100.0,95.0,,,,107.0,105.0,104.0,,0.419,0.282,0.283,-0.85,,-0.25,-0.2,93.1,80.9,,84.0,,,,0.236,0.438,0.345,0.209,0.442,0.352,81.0,76.0,78.0,,,,,0.015,,-3.72,,77.9,0.262,0.546,0.2,,,,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,7:09 PM.,TOR,TEX,away,Clear.,65,592332,LF,5,2,2,1,0,0,0,0,0,0,4,0.276,0.323,0.444,0.767,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,0.509,0.108,,1.13,,-0.97,,94.7,,,83.6,,,,0.348,0.565,0.353,,,,,,,,,,,,,,,,0.243,0.409,0.172,,,,,,,0.384,0.3,86.3,0.201,0.307,0.432,,,,105.0,108.0,109.0,,,,,,,,,,,,
2023-09-13,7:07 PM.,TOR,TEX,away,Partly Cloudy.,65,579328,LF,2,0,0,0,0,0,0,0,0,0,1,0.274,0.322,0.442,0.764,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,0.451,0.259,0.097,0.05,,1.11,-1.83,95.1,88.7,,88.7,,,,0.225,0.396,0.302,0.254,0.508,0.193,98.0,103.0,105.0,,,,,0.193,,0.24,,83.1,0.27,0.412,0.268,,,,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,7:07 PM.,TOR,TEX,away,Roof Closed.,68,547943,LF,2,0,0,0,0,0,0,0,0,0,1,0.276,0.324,0.444,0.768,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,75.0,105.0,91.0,73.0,100.0,94.0,,,,0.095,0.317,,0.228,-0.51,3.34,,-2.1,88.6,78.1,87.7,,0.133,0.133,0.091,,,,0.276,0.448,0.25,88.0,111.0,105.0,92.0,107.0,97.0,0.189,0.171,1.27,-1.45,85.1,68.9,0.265,0.633,0.119,0.238,0.357,0.207,0.286,0.429,0.352,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,6:09 PM.,OAK,TEX,home,Roof Closed.,74,656794,LF,3,0,1,0,0,0,0,0,0,1,2,0.277,0.325,0.446,0.771,656794,seannewcomb,"Newcomb, S",Left,Sean Newcomb,OAK,3.0,3.98,15.0,98.0,85.0,96.0,0.824,10.2,5.4,4.8,0.6,1.08,0.455,0.242,0.212,0.242,0.418,70.0,97.0,104.0,73.0,103.0,96.0,78.0,104.0,101.0,,,,0.068,0.518,,0.029,1.81,9.99,,-2.63,93.4,84.6,92.4,,0.0,0.0,0.1669999999999999,,,,,,,105.0,91.0,96.0,86.0,88.0,93.0,0.011,0.375,2.37,-0.07,89.8,80.6,0.154,0.308,0.216,,,,0.143,0.286,0.273,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,,,
2023-09-08,7:08 PM.,OAK,TEX,home,Roof Closed.,74,621112,LF,4,0,1,0,0,0,0,0,0,2,4,0.276,0.325,0.447,0.772,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,77.0,95.0,87.0,82.0,96.0,87.0,91.0,103.0,108.0,0.24,0.146,0.181,0.112,-2.52,-0.75,0.46,2.14,91.9,86.0,91.8,80.8,0.306,0.435,0.15,0.198,0.308,0.344,0.143,0.286,0.389,89.0,104.0,104.0,106.0,100.0,100.0,0.204,0.117,-2.38,1.69,88.9,79.1,0.383,0.553,0.17,0.435,0.624,0.159,0.14,0.326,0.245,,,,,,,,,,,,,,,,,,,,,,,,
