date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,KC%,wKC/C,vKC,vKN (sc),Stf+ FS,Loc+ FS,Pit+ FS,FS%,KN%,wFS/C,wKN/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2023-07-23,1:07 PM.,OAK,HOU,away,Partly Cloudy.,72,665622,1B,3,1,1,0,0,0,0,0,0,1,2,0.154,0.267,0.192,0.459,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,106.0,97.0,100.0,0.142,0.415,0.238,0.117,0.087,-0.35,-0.8,-0.8,-0.73,1.25,96.1,87.3,95.5,85.3,79.6,0.272,0.494,0.121,0.313,0.406,0.141,0.233,0.456,0.484,0.146,0.366,0.308,0.256,0.282,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-22,6:08 PM.,OAK,HOU,away,Partly Cloudy.,75,621112,PH,0,0,0,0,0,0,0,0,1,0,0,0.13,0.259,0.174,0.433,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,89.0,104.0,104.0,77.0,95.0,87.0,82.0,96.0,87.0,91.0,103.0,108.0,0.24,0.146,0.181,0.117,0.112,-2.52,-0.75,0.46,1.69,2.14,91.9,86.0,91.8,80.8,79.1,0.383,0.553,0.17,0.306,0.435,0.15,0.198,0.308,0.344,0.14,0.326,0.245,0.143,0.286,0.389,106.0,100.0,100.0,0.204,-2.38,88.9,0.435,0.624,0.159,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,6:42 PM.,COL,HOU,away,Partly Cloudy.,88,656234,PH,1,0,0,0,0,0,0,0,0,0,0,0.13,0.231,0.174,0.405,656234,jakebird,Bird,Right,Jake Bird,COL,4.33,4.48,89.1,99.0,108.0,91.0,0.809,7.76,2.72,9.47,0.6,1.99,0.196,0.407,0.133,0.333,0.466,47.0,112.0,34.0,135.0,110.0,114.0,,,,99.0,96.0,80.0,105.0,98.0,103.0,0.595,,0.071,0.2,0.002,,-0.04,0.95,1.82,-46.49,,87.3,94.4,86.3,81.7,,,,0.32,0.402,0.135,0.222,0.278,0.325,0.133,0.265,0.3829999999999999,,,,112.0,99.0,98.0,0.132,-1.98,89.7,0.341,0.614,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-16,4:10 PM.,LAA,HOU,away,Sunny.,83,542881,PH,0,1,0,0,0,0,0,0,1,0,0,0.136,0.24,0.182,0.422,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,105.0,76.0,95.0,0.055,0.374,0.007,0.002,0.338,-1.25,-3.61,-1.06,-0.33,0.08,90.1,80.0,88.5,78.1,72.9,0.301,0.566,0.193,0.36,0.68,0.102,0.2,0.2,0.3329999999999999,,,,0.238,0.381,0.3979999999999999,104.0,103.0,98.0,0.224,0.48,85.1,0.239,0.366,0.268,,,,,,,,0.001,,-4.72,,90.1,,,,,,,,,,,,
2023-07-14,6:37 PM.,LAA,HOU,away,Clear.,85,660271,DH,4,0,1,0,0,0,0,0,0,1,4,0.136,0.208,0.182,0.39,660271,shoheiohtani,Ohtani,Right,Shohei Ohtani,LAA,3.14,3.82,132.0,96.0,121.0,103.0,0.722,11.39,3.75,5.8,1.23,1.25,0.253,0.441,0.185,0.343,0.457,,,,87.0,97.0,105.0,114.0,99.0,100.0,104.0,94.0,95.0,136.0,97.0,112.0,0.06,0.33,0.356,0.036,,1.64,-0.53,1.81,1.15,,96.8,,94.5,83.7,75.7,0.164,0.236,0.27,0.273,0.409,0.225,0.146,0.339,0.365,0.111,0.167,0.417,,,,96.0,89.0,88.0,0.156,-0.82,88.6,0.31,0.606,0.228,,,,,129.0,93.0,108.0,0.062,,-0.25,,88.6,0.179,0.205,0.411,,,,,,,,,
2023-07-07,7:11 PM.,SEA,HOU,home,Roof Closed.,73,622491,P,0,0,0,0,0,0,0,0,0,0,0,0.111,0.2,0.167,0.367,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,88.3,95.9,85.7,,0.165,0.384,0.33,0.239,0.337,0.136,0.234,0.455,0.3779999999999999,,,,0.28,0.42,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,7:10 PM.,SEA,HOU,home,Roof Closed.,73,669923,PH,1,0,0,0,0,0,0,0,0,1,1,0.111,0.2,0.167,0.367,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.35,3.9,190.2,110.0,106.0,109.0,0.799,8.12,0.9,8.45,1.04,1.19,0.298,0.407,0.177,0.327,0.482,94.0,107.0,111.0,,,,97.0,111.0,105.0,106.0,110.0,109.0,126.0,106.0,112.0,0.216,0.394,0.197,,0.018,1.34,0.43,1.03,,-5.31,96.1,86.6,95.8,86.3,,0.234,0.392,0.28,0.261,0.383,0.131,0.264,0.377,0.22,0.265,0.458,0.159,0.5,0.9,0.125,,,,,,,,,,0.115,0.35,81.8,75.1,95.0,103.0,110.0,0.061,0.001,1.07,0.26,84.9,0.143,0.286,0.357,,,,,,,,,
2023-07-05,1:10 PM.,COL,HOU,home,Roof Closed.,72,502624,1B,4,0,0,0,0,0,0,0,0,1,0,0.118,0.211,0.176,0.387,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,70.0,96.0,82.0,104.0,114.0,115.0,0.073,0.312,0.082,0.041,0.229,-2.17,-5.45,0.92,-4.22,2.14,93.3,83.9,92.6,80.6,77.6,0.351,0.619,0.173,0.545,0.955,0.073,0.172,0.172,0.246,0.3,0.9,0.125,0.163,0.25,0.287,108.0,98.0,97.0,0.263,0.63,89.2,0.244,0.444,0.226,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,6:16 PM.,STL,HOU,away,Partly Cloudy.,85,425794,DH,5,0,0,0,0,0,0,0,1,0,6,0.154,0.267,0.231,0.498,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,129.0,102.0,110.0,80.0,94.0,84.0,87.0,99.0,89.0,83.0,78.0,71.0,0.314,0.099,0.003,0.306,0.05,-1.48,-3.36,-13.9,-1.5,-3.6,85.7,81.4,86.9,75.6,71.5,0.326,0.512,0.1169999999999999,0.394,0.746,0.093,,,,0.291,0.475,0.153,0.389,0.611,0.1,107.0,99.0,95.0,0.226,-0.27,82.9,0.344,0.473,0.152,0.002,6.39,65.7,,,,,,,,,,,,,,,,,,,,,
2023-06-28,6:47 PM.,STL,HOU,away,Partly Cloudy.,91,571945,LF,4,2,2,1,0,0,0,0,0,1,3,0.25,0.333,0.375,0.708,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,4.78,5.44,201.1,108.0,88.0,101.0,0.852,6.12,1.74,10.1,1.16,0.99,0.251,0.375,0.128,0.349,0.475,58.0,96.0,93.0,95.0,105.0,102.0,74.0,112.0,99.0,86.0,108.0,99.0,108.0,107.0,108.0,0.243,0.26,0.243,0.198,0.054,-0.19,-1.61,0.62,-0.92,2.68,93.3,84.4,92.7,86.4,75.9,0.29,0.495,0.1889999999999999,0.34,0.54,0.085,0.245,0.375,0.2239999999999999,0.261,0.387,0.198,0.182,0.382,0.085,,,,,,,,,,0.002,-0.89,68.1,,,,,,,,,,,,,,,,,,,,,
