date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,wFA/C,wSI/C,wSL/C,wKC/C,vFA,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,CH%,wFC/C,wCU/C,wCH/C,vFC,vCH,vCU,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-09-29,4:36 PM.,NYY,PIT,away,Rain.,61,657376,RF,2,0,0,0,0,0,0,0,2,1,1,0.216,0.286,0.378,0.664,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,,,,83.0,94.0,85.0,136.0,94.0,102.0,150.0,102.0,113.0,0.21,,0.252,0.182,,-0.75,1.21,0.89,,94.3,85.2,83.8,,,,0.267,0.483,0.203,,,,0.143,0.19,0.33,36.0,89.0,96.0,,,,106.0,102.0,100.0,0.35,,0.006,0.53,,-13.05,92.4,87.1,,0.256,0.38,0.322,0.667,1.0,0.0,0.21,0.323,0.297,,,,,,,,,
2024-09-28,1:08 PM.,NYY,PIT,away,Overcast.,65,661563,2B,4,1,1,0,0,1,2,0,0,2,1,0.229,0.263,0.4,0.663,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,0.488,0.259,,0.06,,1.37,,96.6,,87.5,,0.205,0.395,0.285,,,,0.171,0.312,0.315,,,,80.0,93.0,93.0,,,,,,,,,0.253,,,0.37,,91.6,,,,,0.179,0.282,0.269,,,,,,,,,,,,
2024-09-27,7:09 PM.,NYY,PIT,away,Partly Cloudy.,69,607074,2B,4,0,0,0,0,0,0,0,0,0,3,0.226,0.265,0.323,0.588,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,,0.494,0.26,,0.05,,-0.4,,95.4,,86.8,,0.262,0.514,0.214,,,,0.199,0.361,0.393,0.281,0.531,0.276,129.0,92.0,106.0,103.0,86.0,93.0,100.0,83.0,82.0,0.035,0.083,0.129,-3.11,-1.32,1.44,91.8,85.5,81.0,0.353,0.647,0.255,0.188,0.247,0.495,,,,,,,,,,,,
2024-09-25,6:41 PM.,MIL,PIT,home,Overcast.,76,642547,RF,2,1,0,0,0,0,0,0,1,2,0,0.259,0.3,0.37,0.67,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,0.217,,0.05,,-0.09,,94.3,,81.4,,0.239,0.424,0.252,,,,0.203,0.384,0.41,0.182,0.341,0.372,84.0,92.0,88.0,104.0,106.0,110.0,,,,,0.07,0.175,,0.36,0.84,,87.7,78.1,,,,0.218,0.291,0.369,,,,,,,,,,,,
2024-09-24,6:41 PM.,MIL,PIT,home,Overcast.,73,668964,2B,3,0,1,0,0,0,1,0,0,1,2,0.28,0.296,0.4,0.696,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,87.0,105.0,100.0,71.0,92.0,74.0,92.0,106.0,103.0,,,,0.005,0.401,0.21,,0.58,11.28,1.43,,92.9,91.5,85.5,,0.239,0.436,0.194,0.0,0.0,0.0,0.198,0.255,0.248,0.421,0.579,0.194,109.0,86.0,90.0,73.0,99.0,104.0,96.0,100.0,91.0,0.23,0.041,0.114,-0.75,-3.19,1.18,89.2,81.1,77.8,0.336,0.518,0.123,0.083,0.083,0.444,,,,,,,,,,,,
2024-09-22,1:11 PM.,CIN,PIT,away,Partly Cloudy.,87,668881,2B,3,1,1,0,0,1,1,0,1,1,1,0.273,0.304,0.409,0.713,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,123.0,102.0,104.0,,,,125.0,96.0,103.0,,,,,0.552,0.346,,1.56,,0.62,,97.6,,86.8,,0.184,0.273,0.248,,,,0.161,0.3,0.39,0.4,1.0,0.2,,,,118.0,96.0,101.0,,,,,0.018,,,-2.87,,,,80.9,,,,,,,,,,120.0,89.0,103.0,0.083,-0.79,87.0,0.243,0.405,0.284
2024-09-21,1:11 PM.,CIN,PIT,away,Sunny.,84,695076,2B,4,0,0,0,0,0,0,0,0,2,4,0.263,0.263,0.263,0.526,695076,rhettlowder,Lowder,Right,Rhett Lowder,CIN,1.17,4.34,30.2,101.0,92.0,99.0,0.815,6.46,4.11,7.34,0.0,1.06,0.228,0.446,0.141,0.315,0.43,80.0,90.0,84.0,80.0,105.0,100.0,104.0,100.0,104.0,,,,0.259,0.273,0.273,,-0.25,3.18,0.48,,93.5,92.3,85.0,,0.222,0.222,0.278,0.263,0.263,0.063,0.243,0.297,0.267,,,,108.0,112.0,111.0,,,,,,,,,0.195,,,1.33,,86.2,,,,,0.095,0.095,0.19,,,,,,,,,,,,
2024-09-19,6:16 PM.,STL,PIT,away,Clear.,84,607200,LF,4,0,0,0,0,0,0,0,0,2,0,0.333,0.333,0.333,0.666,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,,,,0.308,0.003,0.202,,-6.18,0.59,1.28,,92.9,93.0,83.5,,0.5,0.5,0.0,0.25,0.358,0.202,,,,,,,86.0,108.0,106.0,,,,78.0,104.0,97.0,0.323,,0.164,0.43,,-0.54,89.9,87.7,,0.262,0.47,0.232,0.228,0.351,0.165,0.165,0.309,0.251,,,,,,,,,
2024-09-18,6:45 PM.,STL,PIT,away,Partly Cloudy.,80,543243,3B,4,1,2,0,0,0,1,1,0,0,2,0.455,0.455,0.455,0.91,543243,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.67,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,107.0,97.0,101.0,93.0,114.0,112.0,152.0,114.0,125.0,,,,0.178,0.239,0.201,0.0,-0.05,1.64,0.94,-2.42,92.4,92.7,84.8,75.4,0.333,0.567,0.182,0.2,0.385,0.208,,,,0.21,0.452,0.331,69.0,91.0,86.0,119.0,96.0,97.0,92.0,98.0,96.0,0.178,0.139,0.064,0.19,0.7,-2.25,87.7,88.3,80.0,0.287,0.494,0.308,0.357,0.714,0.328,0.142,0.205,0.444,,,,,,,,,
2024-09-17,6:45 PM.,STL,PIT,away,Clear.,85,458681,2B,4,0,3,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.858,458681,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.94,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,85.0,102.0,97.0,66.0,93.0,84.0,102.0,101.0,109.0,,,,0.167,0.472,0.013,,0.87,-0.46,-1.62,,92.3,91.2,82.0,,0.199,0.393,0.287,0.284,0.469,0.11,,,,0.211,0.342,0.203,61.0,88.0,82.0,112.0,96.0,99.0,91.0,101.0,94.0,0.223,0.062,0.063,-1.03,-1.98,-2.47,88.1,84.8,80.4,0.317,0.426,0.262,0.292,0.292,0.225,0.25,0.25,0.0,,,,,,,,,
