date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2023-06-14,9:12 PM.,BOS,COL,away,Cloudy.,64,676477,C,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.174,0.304,676477,garrettwhitlock,Whitlock,Right,Garrett Whitlock,BOS,5.15,4.61,71.2,103.0,89.0,106.0,0.747,9.04,1.63,10.3,1.63,1.2,0.25,0.426,0.139,0.375,0.457,101.0,107.0,117.0,,,,67.0,84.0,84.0,93.0,106.0,106.0,73.0,96.0,97.0,0.525,0.004,0.23,,0.241,-2.31,-0.46,0.44,,-2.21,94.6,82.7,94.0,79.6,,,,,,,,0.326,0.538,0.184,0.312,0.559,0.32,0.167,0.333,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04,1:10 PM.,MIL,COL,home,Cloudy.,70,489119,C,2,0,0,0,0,0,0,0,0,1,0,0.13,0.13,0.174,0.304,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,79.0,99.0,98.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,0.046,0.195,0.049,0.022,0.246,0.46,-2.53,0.62,2.01,0.6,90.4,83.7,90.7,79.1,75.8,0.198,0.453,0.134,,,,0.333,0.375,0.125,0.219,0.281,0.239,0.192,0.308,0.349,,,,,,,101.0,103.0,101.0,0.443,,1.07,,87.1,,0.232,0.446,0.172,,,,,,,,,,,,
2023-04-26,1:11 PM.,CLE,COL,away,Sunny.,46,676440,C,3,0,0,0,0,0,0,0,0,3,1,0.143,0.143,0.19,0.333,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,0.471,0.27,0.093,0.166,0.6,,1.35,-1.11,1.07,94.9,83.8,,84.7,78.3,0.243,0.348,0.19,0.271,0.479,0.233,,,,0.213,0.298,0.3779999999999999,0.206,0.355,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-23,12:05 PM.,PHI,COL,away,Sunny.,63,554430,C,4,0,0,0,0,0,0,0,0,1,4,0.167,0.167,0.222,0.389,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,3.61,3.18,192.0,105.0,107.0,110.0,0.74,9.94,1.83,7.88,0.94,1.07,0.279,0.38,0.214,0.313,0.421,48.0,106.0,77.0,116.0,105.0,114.0,112.0,109.0,114.0,105.0,105.0,107.0,107.0,101.0,111.0,0.18,0.435,0.123,0.115,0.004,1.69,1.62,0.36,-1.61,-6.22,95.8,90.8,95.2,84.4,81.4,0.199,0.333,0.314,0.264,0.473,0.33,0.252,0.308,0.192,,,,0.198,0.36,0.392,,,,,,,96.0,102.0,102.0,0.144,,-0.63,,90.9,,0.27,0.426,0.228,,,,,,,,,,,,
2023-04-22,3:10 PM.,PHI,COL,away,Partly Cloudy.,78,650911,C,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.286,0.5,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,71.0,104.0,97.0,123.0,100.0,100.0,0.462,,0.211,,0.327,,0.65,0.2,,1.1,,81.8,92.1,82.7,,,,,,,,0.297,0.523,0.107,0.148,0.274,0.43,0.25,0.456,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-19,1:10 PM.,PIT,COL,home,Cloudy.,55,670912,C,4,0,0,0,0,0,0,0,0,1,3,0.214,0.214,0.286,0.5,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,87.0,97.0,101.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.367,0.149,0.041,-1.25,0.93,0.8,0.82,-0.07,95.8,88.1,95.7,88.2,80.9,0.277,0.477,0.183,0.193,0.352,0.308,0.276,0.345,0.065,0.25,0.3,0.357,0.21,0.349,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,6:40 PM.,PIT,COL,home,Partly Cloudy.,72,448179,PH,1,0,0,0,0,0,0,0,0,0,2,0.3,0.3,0.4,0.7,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,0.04,0.342,0.088,0.354,0.023,-0.32,2.5,-2.52,-1.16,-0.06,88.4,83.0,86.1,71.1,72.0,0.249,0.454,0.218,0.283,0.47,0.174,0.105,0.105,0.226,0.263,0.421,0.037,0.5,0.929,0.125,,,,,,,85.0,97.0,93.0,0.147,0.008,-1.27,-3.65,83.3,67.1,0.39,0.701,0.1989999999999999,,,,,,,,,,,,
2023-04-16,1:10 PM.,SEA,COL,away,Roof Closed.,48,622491,C,2,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.444,0.777,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,0.179,0.444,0.221,,0.156,1.31,0.6,-0.12,,-1.6,96.3,88.3,95.9,85.7,,0.165,0.384,0.33,,,,0.239,0.337,0.136,0.28,0.42,0.325,0.234,0.455,0.3779999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-12,1:11 PM.,STL,COL,home,Partly Cloudy.,85,656427,C,2,0,1,0,0,0,0,0,0,1,0,0.429,0.429,0.571,1.0,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.246,0.459,0.132,0.307,0.398,68.0,89.0,84.0,,,,98.0,99.0,98.0,75.0,82.0,71.0,98.0,101.0,102.0,0.02,0.417,0.246,,0.033,-0.44,-2.28,-1.15,,0.86,93.1,85.3,90.1,84.2,,0.29,0.411,0.208,0.204,0.372,0.402,0.333,0.333,0.1,0.154,0.154,0.083,0.339,0.558,0.265,,,,93.0,102.0,108.0,92.0,98.0,101.0,0.091,0.194,-1.05,0.23,88.7,76.2,0.318,0.545,0.264,,,,,,,,,,,,
2023-04-08,6:10 PM.,WSH,COL,home,Cloudy.,65,592866,C,3,0,1,1,0,0,1,0,0,2,0,0.4,0.4,0.6,1.0,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,0.069,0.171,-0.77,-0.45,-1.7,-1.93,-2.25,89.7,83.3,88.2,80.9,76.7,0.283,0.563,0.1669999999999999,0.314,0.629,0.2,0.325,0.458,0.188,0.315,0.483,0.1989999999999999,0.313,0.5,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
