date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff,KC_ba,KC_slg,KC_whiff
2023-09-24,1:41 PM.,BAL,CLE,home,Overcast.,68,502043,C,2,0,1,1,0,0,0,0,0,1,0,0.238,0.319,0.416,0.735,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,0.261,0.134,0.084,0.17,-0.69,-0.08,0.01,-0.29,92.1,85.5,91.9,79.5,0.279,0.419,0.4039999999999999,0.288,0.453,0.291,0.287,0.55,0.156,0.289,0.459,0.11,90.0,95.0,92.0,0.166,-1.02,89.8,0.345,0.552,0.154,110.0,105.0,107.0,0.184,2.01,81.6,0.147,0.228,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-23,6:10 PM.,BAL,CLE,home,Clear.,70,607644,C,0,0,0,0,0,0,0,0,0,0,0,0.232,0.309,0.404,0.713,607644,johnmeans,Means,Left,John Means,BAL,2.66,4.58,23.2,103.0,104.0,106.0,0.847,3.8,1.52,4.94,1.52,0.51,0.26,0.411,0.151,0.329,0.46,109.0,108.0,114.0,112.0,118.0,126.0,103.0,99.0,102.0,,,,,0.419,0.003,0.333,0.5,,-57.14,4.04,91.7,80.9,,81.6,0.167,0.667,0.077,0.139,0.306,0.221,0.188,0.406,0.141,,,,,,,,,,,,,97.0,101.0,100.0,0.15,3.05,85.4,0.0,0.0,0.091,,,,0.094,-2.18,77.6,,,,,,,,,,,,,,,,,,,,,
2023-09-22,7:10 PM.,BAL,CLE,home,Clear.,72,665152,C,3,0,1,1,0,0,2,0,0,1,2,0.232,0.309,0.404,0.713,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,86.0,91.0,93.0,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,0.145,0.371,0.089,0.123,0.43,1.81,-2.29,-1.4,94.6,85.3,91.9,78.1,0.347,0.592,0.24,0.26,0.377,0.27,0.252,0.409,0.262,0.269,0.38,0.081,104.0,106.0,102.0,0.239,0.02,88.8,0.222,0.416,0.2769999999999999,116.0,98.0,105.0,0.033,-1.43,82.8,0.25,0.417,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,1:11 PM.,KC,CLE,away,Sunny.,79,425844,C,1,0,0,0,0,0,0,0,0,0,1,0.229,0.308,0.396,0.704,425844,zackgreinke,Greinke,Right,Zack Greinke,KCR,5.06,5.06,142.1,104.0,85.0,100.0,0.848,6.13,1.45,9.99,1.58,1.19,0.26,0.39,0.147,0.29,0.425,84.0,109.0,109.0,96.0,97.0,104.0,72.0,103.0,92.0,76.0,106.0,93.0,0.157,0.265,0.141,0.166,0.25,-0.92,-2.99,0.06,89.5,86.5,89.8,72.5,0.386,0.729,0.155,0.241,0.37,0.207,0.276,0.472,0.159,0.333,0.609,0.081,100.0,113.0,103.0,0.07,-0.94,85.2,0.32,0.5,0.186,94.0,103.0,106.0,0.2,1.12,79.2,0.214,0.282,0.231,,,,0.0,-3.64,57.9,,,,,,,,,,,,,,,,,,,,,
2023-09-18,1:10 PM.,KC,CLE,away,Sunny.,80,663903,1B,0,0,0,0,0,0,0,0,0,0,0,0.232,0.311,0.4,0.711,663903,bradysinger,Singer,Right,Brady Singer,KCR,5.52,4.93,159.2,100.0,84.0,95.0,0.789,7.5,2.76,10.26,1.13,1.62,0.23,0.439,0.119,0.387,0.443,53.0,96.0,88.0,,,,89.0,-304.0,-276.0,86.0,99.0,90.0,0.51,0.002,,0.063,-2.24,-1.24,,-0.3,90.9,87.7,92.1,,,,,0.265,0.353,0.104,,,,0.339,0.555,0.113,,,,,,,,,,86.0,101.0,104.0,0.426,0.01,84.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-17,1:41 PM.,TEX,CLE,home,Sunny.,71,674003,1B,0,0,0,0,0,0,0,0,0,0,0,0.232,0.311,0.4,0.711,674003,codybradford,Bradford,Left,Cody Bradford,TEX,5.3,4.42,56.0,106.0,72.0,101.0,0.79,8.2,1.93,9.0,1.77,0.69,0.259,0.406,0.135,0.365,0.441,91.0,100.0,102.0,,,,64.0,109.0,99.0,,,,,0.546,,0.276,0.16,,,0.74,90.4,82.1,,,,,,0.2,0.283,0.3389999999999999,0.26,0.535,0.186,,,,,,,0.134,-1.23,86.6,0.316,0.737,0.17,66.0,104.0,103.0,0.044,-6.76,83.1,0.5,0.9,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,7:10 PM.,TEX,CLE,home,Clear.,67,592351,1B,0,1,0,0,0,0,0,0,0,0,0,0.232,0.311,0.4,0.711,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,,,,,0.424,0.062,0.116,-1.83,,-1.69,1.71,95.7,88.8,,78.2,0.263,0.737,0.27,0.211,0.268,0.213,0.346,0.551,0.179,,,,,,,,,,,,,116.0,103.0,109.0,0.398,2.33,87.2,0.105,0.211,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,6:45 PM.,SF,CLE,away,Clear.,64,640455,C,2,1,0,0,0,0,0,0,1,0,0,0.232,0.311,0.4,0.711,640455,seanmanaea,Manaea,Left,Sean Manaea,SFG,4.44,4.21,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.143,0.305,0.448,90.0,97.0,94.0,,,,90.0,105.0,95.0,121.0,109.0,108.0,0.008,0.562,,0.17,0.91,-6.19,,1.06,93.6,86.6,94.0,,,,,0.224,0.342,0.183,0.235,0.39,0.233,0.4,0.8,0.25,,,,0.0,-5.8,90.3,,,,92.0,95.0,98.0,0.26,-0.93,82.3,0.122,0.143,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-10,1:08 PM.,LAA,CLE,away,Partly Cloudy.,88,670046,1B,3,0,0,0,0,0,0,0,0,2,4,0.237,0.304,0.409,0.713,670046,kennyrosenberg,Rosenberg,Left,Kenny Rosenberg,LAA,3.82,3.58,33.0,93.0,72.0,90.0,0.778,7.91,3.82,9.55,0.82,1.1,0.196,0.529,0.167,0.304,0.405,64.0,92.0,92.0,57.0,95.0,93.0,74.0,96.0,88.0,,,,,0.431,0.066,0.376,1.57,,-1.43,-0.67,90.7,80.6,,77.4,0.286,0.286,0.3,0.258,0.435,0.3,0.234,0.298,0.152,,,,101.0,93.0,87.0,0.114,-3.11,83.6,0.357,0.429,0.25,77.0,92.0,96.0,0.013,-11.22,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,6:07 PM.,LAA,CLE,away,Partly Cloudy.,87,542881,C,1,0,0,0,0,0,0,0,0,0,0,0.244,0.313,0.422,0.735,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,92.0,93.0,81.0,0.055,0.374,0.002,0.338,-1.25,-3.61,-0.33,0.08,90.1,80.0,88.5,72.9,,,,0.238,0.381,0.3979999999999999,0.301,0.566,0.193,0.36,0.68,0.102,104.0,103.0,98.0,0.224,0.48,85.1,0.239,0.366,0.268,105.0,76.0,95.0,0.007,-1.06,78.1,0.2,0.2,0.3329999999999999,,,,,,,,,,0.001,-4.72,90.1,,,,,,,,,,,,,,,
