date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-07-21,1:37 PM.,PHI,PIT,home,Sunny.,83,663969,CF,3,0,0,0,0,0,0,0,0,0,2,0.237,0.356,0.421,0.777,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,107.0,112.0,116.0,68.0,92.0,90.0,121.0,95.0,102.0,0.187,0.292,0.144,0.066,3.13,-2.49,-0.37,-9.69,92.7,85.7,82.5,81.0,0.219,0.313,0.214,,,,0.6,1.1,0.182,0.174,0.304,0.222,80.0,101.0,91.0,0.311,-1.15,93.7,0.35,0.7,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311,0.511,0.329
2024-07-20,6:42 PM.,PHI,PIT,home,Partly Cloudy.,85,650911,RF,3,0,0,0,0,0,0,0,0,0,0,0.257,0.381,0.457,0.838,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,102.0,102.0,103.0,,0.169,,0.357,,0.65,,1.56,,85.1,84.4,,,,,0.219,0.368,0.308,0.177,0.22,0.348,,,,95.0,101.0,98.0,0.473,-0.55,94.5,0.345,0.481,0.131,86.0,52.0,74.0,0.001,2.59,86.5,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-19,6:42 PM.,PHI,PIT,home,Clear.,84,605400,CF,4,0,1,0,0,0,0,0,0,2,0,0.281,0.41,0.5,0.91,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,78.0,102.0,91.0,,,,90.0,103.0,99.0,,,,0.278,,,0.096,0.81,,,-1.67,92.5,85.7,,,0.168,0.318,0.224,,,,0.279,0.426,0.135,0.221,0.381,0.37,100.0,109.0,106.0,0.204,-0.34,91.5,0.313,0.475,0.136,69.0,99.0,92.0,0.092,-2.57,87.5,0.389,0.796,0.178,135.0,106.0,113.0,0.329,0.94,79.1,,,,,,,,,,,,,,,
2024-07-14,1:10 PM.,CWS,PIT,away,Sunny.,83,694363,RF,3,1,2,1,0,0,1,0,1,0,1,0.286,0.429,0.536,0.965,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,,,,71.0,97.0,86.0,85.0,104.0,102.0,0.375,0.284,,0.294,-0.54,0.49,,-0.49,92.5,84.1,86.0,,0.274,0.487,0.162,0.25,0.316,0.288,0.244,0.372,0.312,,,,68.0,101.0,88.0,0.047,-0.83,91.8,0.313,0.5,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13,1:11 PM.,CWS,PIT,away,Partly Cloudy.,85,623167,CF,3,0,1,0,0,0,0,0,1,1,0,0.24,0.387,0.48,0.867,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,2.0,93.0,82.0,148.0,102.0,103.0,0.37,0.087,0.122,0.157,-0.64,-2.65,0.43,-1.32,91.3,81.3,80.0,72.0,0.261,0.473,0.132,0.361,0.475,0.271,0.257,0.436,0.379,0.246,0.393,0.308,74.0,108.0,87.0,0.002,2.01,91.4,,,,47.0,101.0,90.0,0.261,-0.75,87.4,0.319,0.536,0.218,,,,,,,,,,,,,,,,,,,,,
2024-07-11,1:11 PM.,MIL,PIT,away,Cloudy.,77,650644,RF,4,0,0,0,0,0,0,0,0,2,3,0.227,0.37,0.5,0.87,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,0.099,0.163,0.156,,-1.7,-1.03,-1.36,,92.0,,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,,,,0.25,0.479,0.275,71.0,93.0,83.0,0.24,0.06,92.6,0.241,0.421,0.158,91.0,100.0,101.0,0.322,1.08,88.1,0.232,0.394,0.233,,,,,,,57.0,96.0,102.0,0.02,-4.86,85.6,0.375,0.625,0.261,,,,0.267,0.467,0.272
2024-07-10,7:10 PM.,MIL,PIT,away,Clear.,74,668964,RF,3,0,1,0,0,0,0,0,0,0,1,0.278,0.435,0.611,1.046,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,0.401,0.21,0.041,0.114,0.58,1.43,-3.19,1.18,92.9,81.1,85.5,77.8,0.239,0.436,0.194,0.198,0.255,0.248,0.083,0.083,0.444,0.421,0.579,0.194,71.0,92.0,74.0,0.005,11.28,91.5,0.0,0.0,0.0,96.0,100.0,91.0,0.23,-0.75,89.2,0.336,0.518,0.123,,,,,,,,,,,,,,,,,,,,,
2024-07-09,7:10 PM.,MIL,PIT,away,Cloudy.,73,607067,RF,5,1,1,0,0,1,2,0,0,0,1,0.267,0.45,0.667,1.117,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,109.0,106.0,108.0,0.193,0.172,0.042,,0.49,1.41,-3.64,,92.9,,82.0,78.7,0.207,0.314,0.248,,,,,,,0.394,0.636,0.18,82.0,103.0,96.0,0.311,-0.28,92.3,0.298,0.482,0.115,76.0,94.0,88.0,0.194,-1.34,87.6,0.287,0.656,0.168,,,,,,,78.0,98.0,96.0,0.088,-2.02,86.5,0.286,0.492,0.277,,,,0.159,0.234,0.227
2024-07-08,12:37 PM.,NYM,PIT,home,Sunny.,88,681035,RF,4,1,1,0,0,1,2,0,0,0,1,0.3,0.533,0.6,1.133,681035,christianscott,Scott,Right,Christian Scott,NYM,4.56,4.4,47.1,97.0,97.0,101.0,0.794,7.42,2.28,8.56,1.52,0.64,0.273,0.357,0.182,0.322,0.456,,,,,,,84.0,103.0,102.0,115.0,91.0,99.0,0.529,0.367,,,0.28,-0.38,,,94.2,,85.2,,0.265,0.388,0.22,0.273,0.485,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,93.0,101.0,0.104,-0.95,84.8,0.222,0.444,0.156,,,,0.194,0.516,0.235
2024-07-07,1:36 PM.,NYM,PIT,home,Clear.,87,640455,PH,0,0,0,0,0,0,0,0,1,0,0,0.333,0.636,0.333,0.969,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,,,,88.0,103.0,99.0,88.0,88.0,93.0,0.113,0.251,,0.118,1.13,0.37,,-1.19,92.3,85.3,79.5,,0.167,0.295,0.311,0.174,0.435,0.32,0.25,0.438,0.254,,,,95.0,100.0,97.0,0.447,1.36,92.3,0.201,0.333,0.21,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,,,,,,,,,,,,,,,,,,,0.193,0.311,0.388
2024-07-06,4:08 PM.,NYM,PIT,home,Partly Cloudy.,86,656849,RF,3,0,1,0,0,0,0,0,1,0,0,0.333,0.6,0.333,0.933,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,83.0,102.0,100.0,70.0,103.0,94.0,115.0,99.0,104.0,0.265,0.184,0.076,0.164,0.39,-1.81,0.11,0.03,93.1,84.7,85.1,79.1,0.22,0.266,0.287,0.287,0.447,0.339,0.211,0.324,0.271,0.207,0.345,0.259,102.0,98.0,95.0,0.31,1.83,91.9,0.253,0.36,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-05,6:43 PM.,NYM,PIT,home,Cloudy.,84,622663,RF,3,3,1,0,0,0,0,0,2,0,1,0.333,0.667,0.333,1.0,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,,,,101.0,104.0,102.0,143.0,100.0,111.0,0.355,0.242,,0.075,0.15,0.26,,-3.63,96.2,86.1,85.6,,0.243,0.392,0.218,0.263,0.342,0.284,0.358,0.66,0.186,,,,90.0,98.0,94.0,0.248,1.24,95.6,0.278,0.414,0.122,92.0,91.0,89.0,0.081,1.05,92.6,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,,0.139,0.238,0.386
2024-07-04,12:37 PM.,STL,PIT,home,Cloudy.,82,669467,PH,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,,,,87.0,91.0,92.0,111.0,105.0,110.0,0.512,0.172,,,1.34,-0.64,,,94.5,,87.5,,0.23,0.297,0.162,0.294,0.435,0.282,,,,0.157,0.257,0.345,85.0,98.0,89.0,0.19,-0.25,94.8,0.265,0.373,0.132,,,,,,,,,,88.0,102.0,109.0,0.126,0.42,79.5,,,,,,,,,,,,,,,
