date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-04-15,6:40 PM.,DET,TEX,away,Clear.,64,681857,DH,4,0,0,0,0,0,0,0,0,0,3,0.25,0.333,0.5,0.833,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.223,-0.39,1.85,2.08,-0.05,94.2,86.5,94.2,84.8,0.284,0.385,0.076,0.143,0.194,0.455,0.222,0.344,0.429,92.0,91.0,90.0,,,,,0.06,,-3.32,,79.0,0.277,0.386,0.101,,,,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,1:38 PM.,OAK,TEX,home,Roof Closed.,74,676664,PH,1,0,0,0,0,0,0,0,0,0,0,0.333,0.429,0.667,1.096,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,0.192,-0.8,1.37,-0.1,-0.21,91.9,84.0,90.0,78.9,0.276,0.395,0.104,0.23,0.525,0.259,0.297,0.428,0.188,,,,,,,,,,,,,0.23,0.476,0.256,,,,,,,,,,,,,,,,,,,,,,,,,0.239,0.381,0.213,,,
2024-04-10,7:06 PM.,OAK,TEX,home,Roof Closed.,74,548389,DH,4,0,1,0,0,0,0,0,0,0,1,0.364,0.462,0.727,1.189,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,62.0,100.0,87.0,90.0,102.0,90.0,121.0,108.0,112.0,0.142,0.303,0.134,0.176,-0.05,-0.67,-1.89,-1.87,91.7,82.7,90.2,84.7,0.39,0.441,0.078,0.328,0.5,0.157,0.333,0.52,0.241,,,,80.0,107.0,92.0,0.159,,0.67,,87.5,,0.244,0.422,0.175,0.245,0.367,0.156,0.364,0.455,0.179,,,,,,,0.086,-1.1,76.3,89.0,105.0,106.0,,,,,,,,,,,,
2024-04-09,7:09 PM.,OAK,TEX,home,Roof Closed.,74,622072,LF,0,0,0,0,0,0,0,0,0,0,0,0.429,0.556,1.0,1.556,622072,alexwood,Wood,Left,Alex Wood,OAK,5.26,6.66,39.1,98.0,71.0,93.0,0.814,7.55,4.35,11.67,1.37,0.98,0.287,0.318,0.109,0.357,0.44,42.0,103.0,97.0,,,,82.0,99.0,93.0,74.0,94.0,90.0,0.462,,0.315,0.224,,-1.92,-0.4,-2.67,,84.5,90.5,81.4,0.351,0.635,0.199,0.205,0.25,0.288,0.4,0.6,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,6:10 PM.,HOU,TEX,home,Clear.,79,669854,CF,2,0,0,0,0,0,0,0,1,1,0,0.429,0.556,1.0,1.556,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,85.0,95.0,90.0,,,,89.0,103.0,101.0,,0.383,0.302,0.221,-0.42,,2.24,-0.16,93.4,85.2,,86.4,,,,0.18,0.284,0.333,0.188,0.356,0.343,75.0,96.0,100.0,,,,,0.094,,2.55,,80.1,0.232,0.497,0.192,,,,0.071,0.071,0.376,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,7:07 PM.,HOU,TEX,home,Cloudy.,83,686613,RF,1,0,1,0,0,0,0,0,0,0,0,0.6,0.667,1.4,2.067,686613,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,0.182,0.347,0.051,0.126,0.16,0.92,1.7,0.95,96.0,88.4,95.6,89.1,0.275,0.321,0.161,0.2,0.2,0.236,0.221,0.26,0.296,,,,90.0,103.0,101.0,0.17,,0.14,,92.4,,0.244,0.413,0.288,0.23,0.363,0.216,0.237,0.421,0.305,,,,,,,0.125,-0.79,82.9,127.0,100.0,106.0,,,,,,,,,,,,
2024-04-03,1:10 PM.,TB,TEX,away,Dome.,72,650644,LF,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,1.5,2.1,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,0.24,0.099,0.163,,-1.7,0.06,-1.03,,92.0,,92.6,80.5,0.241,0.421,0.158,0.25,0.375,0.438,,,,104.0,104.0,109.0,91.0,100.0,101.0,0.322,0.156,1.08,-1.36,88.1,77.1,0.294,0.49,0.095,0.232,0.394,0.233,0.25,0.479,0.275,0.02,-4.86,85.6,0.375,0.625,0.261,,,,,,,57.0,96.0,102.0,,,,0.267,0.467,0.272,,,
2024-04-01,6:50 PM.,TB,TEX,away,Dome.,72,686752,CF,3,1,1,1,0,0,0,0,1,1,0,0.5,0.6,1.5,2.1,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,115.0,98.0,102.0,,,,119.0,95.0,106.0,,0.506,0.173,0.235,1.07,,0.51,-0.47,94.9,85.8,,89.0,,,,0.267,0.407,0.317,0.216,0.353,0.286,140.0,75.0,84.0,100.0,103.0,100.0,0.06,0.027,-0.88,-1.47,91.6,80.6,0.181,0.33,0.316,0.276,0.586,0.141,0.167,0.167,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,6:06 PM.,CHC,TEX,home,Roof Closed.,74,543294,RF,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,5.0,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,0.355,0.127,,0.387,-1.51,-0.77,,-0.72,87.7,80.9,87.6,,0.333,0.493,0.106,,,,0.267,0.409,0.239,87.0,109.0,108.0,,,,,0.131,,0.52,,74.3,0.237,0.553,0.209,,,,0.22,0.3,0.244,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,6:41 PM.,CHC,TEX,home,Roof Closed.,74,657006,CF,1,1,1,0,0,1,1,0,0,0,0,1.0,1.0,4.0,5.0,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,0.053,0.595,0.297,0.033,0.38,0.43,1.81,0.32,91.6,86.2,91.6,83.3,0.292,0.458,0.182,0.16,0.243,0.282,0.222,0.222,0.172,92.0,120.0,108.0,,,,,0.022,,2.76,,79.9,0.253,0.396,0.223,,,,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
