date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2023-09-29,7:15 PM.,CIN,STL,home,Clear.,80,682227,C,4,0,1,1,0,0,0,0,0,0,2,0.24,0.284,0.425,0.709,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,,0.372,0.102,0.165,-0.15,,-1.33,-0.51,92.8,84.0,,81.7,,,,0.269,0.433,0.171,0.0,0.0,0.273,0.183,0.39,0.3989999999999999,,,,,,,,,,98.0,96.0,103.0,0.064,-1.75,73.1,0.333,0.6,0.143,106.0,102.0,98.0,0.298,1.71,89.3,0.252,0.433,0.185,,,,,,,,,,,,,,,,,,
2023-09-28,3:11 PM.,MIL,STL,away,Roof Closed.,65,669203,C,3,0,1,0,0,0,0,0,1,1,2,0.24,0.284,0.424,0.708,669203,corbinburnes,Burnes,Right,Corbin Burnes,MIL,3.39,3.38,193.2,102.0,127.0,107.0,0.736,9.29,3.07,6.55,1.02,1.3,0.21,0.459,0.19,0.29,0.38,82.0,105.0,112.0,,,,103.0,97.0,90.0,144.0,110.0,127.0,0.077,,0.085,0.112,,-2.42,1.12,1.07,,89.3,95.3,86.0,0.291,0.564,0.129,,,,0.159,0.275,0.4379999999999999,0.204,0.258,0.306,,,,,,,,,,160.0,104.0,113.0,0.171,1.35,79.8,0.133,0.211,0.488,127.0,101.0,103.0,0.554,1.51,94.4,0.209,0.34,0.2269999999999999,,,,,,,,,,,,,,,,,,
2023-09-26,6:41 PM.,MIL,STL,away,Roof Closed.,72,605288,C,3,1,0,0,0,0,0,0,1,2,0,0.238,0.281,0.425,0.706,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,0.471,0.238,0.166,0.04,0.29,0.46,-0.89,-2.07,93.4,84.3,92.1,82.3,0.296,0.396,0.129,0.227,0.34,0.237,0.258,0.484,0.284,0.294,0.471,0.2,,,,,,,,,,67.0,100.0,95.0,0.085,-1.08,79.4,0.269,0.538,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-23,5:41 PM.,SD,STL,away,Clear.,70,607259,C,4,1,1,1,0,0,1,0,0,2,1,0.242,0.281,0.431,0.712,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,SDP,3.43,3.98,110.1,102.0,92.0,101.0,0.728,8.65,3.26,8.08,0.98,1.91,0.206,0.431,0.235,0.251,0.397,97.0,102.0,106.0,92.0,100.0,98.0,87.0,108.0,101.0,,,,0.224,0.13,0.002,0.288,-0.91,1.23,-4.18,2.41,93.3,80.7,92.9,84.5,0.293,0.333,0.088,0.25,0.423,0.225,,,,0.158,0.226,0.465,,,,,,,,,,88.0,97.0,100.0,0.191,0.59,81.8,0.164,0.295,0.347,96.0,102.0,96.0,0.164,-1.99,89.5,0.382,0.632,0.1689999999999999,,,,,,,,,,,,,,,,,,
2023-09-21,12:16 PM.,MIL,STL,home,Partly Cloudy.,77,489119,C,4,0,1,0,0,0,0,0,0,1,3,0.242,0.283,0.43,0.713,489119,wademiley,Miley,Left,Wade Miley,MIL,3.14,4.33,120.1,104.0,92.0,100.0,0.828,5.91,2.84,7.4,1.2,1.23,0.237,0.422,0.166,0.319,0.406,84.0,108.0,104.0,78.0,106.0,99.0,88.0,109.0,96.0,113.0,108.0,103.0,0.046,0.195,0.049,0.246,0.46,-2.53,0.62,0.6,90.4,83.7,90.7,79.1,0.333,0.375,0.125,0.198,0.453,0.134,0.192,0.308,0.349,0.219,0.281,0.239,,,,,,,,,,79.0,99.0,98.0,0.022,2.01,75.8,,,,101.0,103.0,101.0,0.443,1.07,87.1,0.232,0.446,0.172,,,,,,,,,,,,,,,,,,
2023-09-19,6:45 PM.,MIL,STL,home,Partly Cloudy.,81,656730,C,4,0,0,0,0,0,0,0,0,0,1,0.241,0.284,0.433,0.717,656730,trevormegill,Megill,Right,Trevor Megill,MIL,3.63,3.23,34.2,99.0,123.0,111.0,0.704,13.5,3.12,9.09,0.52,0.68,0.386,0.181,0.157,0.313,0.442,,,,126.0,101.0,111.0,,,,,,,,0.721,,,0.32,,,,99.1,,,,,,,0.281,0.406,0.254,,,,,,,,,,,,,,,,,,,,,,0.222,0.333,0.535,,,,,,,,,,,,,123.0,99.0,116.0,0.279,0.13,85.8,,,,,,,,,
2023-09-17,1:16 PM.,PHI,STL,home,Cloudy.,74,592836,C,3,1,2,0,0,0,0,0,0,0,0,0.246,0.289,0.442,0.731,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,4.38,4.36,172.2,99.0,94.0,97.0,0.808,7.19,3.7,8.08,1.04,1.21,0.217,0.43,0.167,0.326,0.382,,,,79.0,98.0,90.0,81.0,100.0,93.0,124.0,109.0,114.0,0.233,0.176,0.026,,-0.82,0.53,-1.43,,92.8,,92.4,82.5,0.273,0.429,0.1,0.257,0.541,0.254,0.158,0.632,0.342,,,,104.0,97.0,100.0,0.332,0.48,87.9,0.205,0.295,0.244,92.0,91.0,94.0,0.057,-1.07,74.8,0.212,0.485,0.36,99.0,103.0,100.0,0.176,-0.44,87.1,0.284,0.441,0.158,,,,,,,,,,,,,,,,,,
2023-09-13,6:36 PM.,BAL,STL,away,Partly Cloudy.,81,502043,C,4,0,1,1,0,0,0,0,0,2,2,0.24,0.284,0.439,0.723,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,0.261,0.134,0.184,0.17,-0.69,-0.08,2.01,-0.29,92.1,85.5,91.9,81.6,0.289,0.459,0.11,0.287,0.55,0.156,0.147,0.228,0.471,0.288,0.453,0.291,,,,,,,,,,90.0,102.0,99.0,0.084,0.01,79.5,0.279,0.419,0.4039999999999999,90.0,95.0,92.0,0.166,-1.02,89.8,0.345,0.552,0.154,,,,,,,,,,,,,,,,,,
2023-09-12,6:37 PM.,BAL,STL,away,Partly Cloudy.,86,607644,C,2,0,0,0,0,0,0,0,0,0,0,0.24,0.284,0.438,0.722,607644,johnmeans,Means,Left,John Means,BAL,2.66,4.58,23.2,103.0,104.0,106.0,0.847,3.8,1.52,4.94,1.52,0.51,0.26,0.411,0.151,0.329,0.46,109.0,108.0,114.0,103.0,99.0,102.0,,,,97.0,101.0,100.0,,0.419,0.15,0.333,0.5,,3.05,4.04,91.7,80.9,,85.4,,,,0.188,0.406,0.141,0.0,0.0,0.091,0.139,0.306,0.221,,,,,,,,,,112.0,118.0,126.0,0.003,-57.14,81.6,0.167,0.667,0.077,,,,,,,,,,,,,,,,0.094,-2.18,77.6,,,,,,,,,
2023-09-10,1:41 PM.,CIN,STL,away,Partly Cloudy.,76,668881,C,3,0,1,0,0,0,1,1,0,0,1,0.242,0.287,0.442,0.729,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,69.0,88.0,90.0,127.0,103.0,105.0,,,,126.0,104.0,112.0,,0.544,0.404,0.053,-0.95,,0.16,-2.39,98.3,91.1,,87.3,,,,0.265,0.518,0.252,0.229,0.416,0.392,0.304,0.478,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
