date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023-09-16,6:08 PM.,DET,LAA,home,Overcast.,69,687830,2B,4,0,0,0,0,0,0,0,0,4,1,0.1,0.2,0.1,0.3,687830,sawyergipsonlong,Gipson-Long,Right,Sawyer Gipson-Long,DET,2.7,2.52,20.0,101.0,108.0,103.0,0.662,11.7,3.6,6.3,0.9,0.74,0.271,0.438,0.125,0.208,0.378,121.0,95.0,102.0,112.0,99.0,99.0,94.0,105.0,110.0,0.188,0.238,0.318,0.244,2.45,4.55,-0.88,-1.53,93.6,85.8,92.4,82.4,0.174,0.304,0.1889999999999999,0.273,0.455,0.409,0.176,0.412,0.5,,,,115.0,104.0,95.0,83.0,103.0,101.0,0.012,,-1.39,,87.6,,0.083,0.167,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,6:38 PM.,DET,LAA,home,Clear.,73,669373,CF,4,0,1,0,0,0,0,0,0,1,1,0.111,0.22,0.111,0.331,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,94.0,112.0,103.0,114.0,104.0,109.0,0.122,0.36,0.207,0.244,2.49,2.7,-0.49,3.25,95.8,84.3,95.9,87.6,0.206,0.299,0.256,0.224,0.448,0.24,0.167,0.205,0.506,,,,98.0,109.0,105.0,,,,,,,,,,0.229,0.286,0.173,,,,0.143,0.214,0.36,,,,,,,,,,81.0,90.0,93.0,0.068,0.54,76.4,,,,,,,,,,,,
2023-09-13,1:11 PM.,SEA,LAA,away,Partly Cloudy.,70,622491,CF,3,0,0,0,0,0,0,0,0,3,2,0.094,0.216,0.094,0.31,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,95.0,104.0,100.0,117.0,100.0,108.0,0.179,0.444,0.221,0.156,1.31,0.6,-0.12,-1.6,96.3,88.3,95.9,85.7,0.165,0.384,0.33,0.234,0.455,0.3779999999999999,0.28,0.42,0.325,,,,82.0,103.0,95.0,,,,,,,,,,0.239,0.337,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,6:42 PM.,SEA,LAA,away,Roof Closed.,63,693433,2B,2,0,0,0,0,0,0,0,0,2,1,0.103,0.235,0.103,0.338,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,101.0,105.0,106.0,110.0,96.0,105.0,0.255,0.469,0.24,0.037,0.69,1.34,-0.83,-2.37,95.1,89.7,95.0,86.0,0.207,0.407,0.303,0.257,0.457,0.311,0.4,0.4,0.222,,,,109.0,102.0,103.0,,,,,,,,,,0.213,0.372,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,6:40 PM.,SEA,LAA,away,Clear.,69,669302,DH,1,1,0,0,0,0,0,0,0,1,0,0.111,0.25,0.111,0.361,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,88.0,103.0,99.0,133.0,101.0,99.0,0.003,0.419,0.297,,0.01,-11.33,1.84,,95.7,,93.7,88.7,0.28,0.491,0.177,0.211,0.349,0.322,,,,,,,55.0,90.0,81.0,,,,,,,,,,0.667,1.0,0.25,,,,0.214,0.371,0.306,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,110.0,95.0,103.0,0.134,0.39,80.3,,,,,,,,,,,,
2023-09-10,1:08 PM.,CLE,LAA,home,Partly Cloudy.,88,676440,SS,3,1,1,0,0,0,0,0,0,0,1,0.115,0.258,0.115,0.373,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,,0.471,0.27,0.166,0.6,,1.35,1.07,94.9,83.8,,84.7,0.243,0.348,0.19,0.206,0.355,0.317,0.213,0.298,0.3779999999999999,88.0,98.0,102.0,,,,,,,,0.093,,-1.11,,78.3,,,,,,,0.271,0.479,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,6:07 PM.,CLE,LAA,home,Partly Cloudy.,87,608337,SS,3,0,0,0,0,0,0,0,0,1,0,0.087,0.25,0.087,0.337,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,84.0,100.0,95.0,107.0,105.0,104.0,,0.419,0.282,0.283,-0.85,,-0.25,-0.2,93.1,80.9,,84.0,0.262,0.546,0.2,0.236,0.438,0.345,0.209,0.442,0.352,81.0,76.0,78.0,,,,,,,,0.015,,-3.72,,77.9,,,,,,,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,6:38 PM.,CLE,LAA,home,Partly Cloudy.,86,671106,SS,4,0,0,0,0,0,0,0,0,1,2,0.1,0.28,0.1,0.38,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,3.81,4.42,125.1,102.0,86.0,100.0,0.773,8.55,3.45,9.12,1.15,1.17,0.247,0.432,0.155,0.337,0.414,60.0,104.0,105.0,82.0,101.0,95.0,108.0,98.0,101.0,,0.451,0.247,0.213,-0.12,,-0.74,1.49,91.4,82.7,,79.3,0.257,0.482,0.177,0.3,0.3,0.368,0.191,0.223,0.33,,,,,,,110.0,97.0,98.0,0.089,,-2.1,,86.3,,,,,0.462,0.692,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,6:38 PM.,CLE,LAA,home,Clear.,79,615698,SS,3,1,1,0,0,0,1,2,1,0,1,0.125,0.333,0.125,0.458,615698,calquantrill,Quantrill,Right,Cal Quantrill,CLE,5.24,5.85,99.2,98.0,95.0,95.0,0.83,5.24,3.16,10.02,0.99,1.12,0.224,0.451,0.186,0.311,0.384,85.0,94.0,91.0,75.0,77.0,73.0,,,,0.416,0.01,,0.101,-2.44,0.18,,-2.42,93.8,86.1,93.7,,0.333,0.667,0.2,,,,0.344,0.625,0.182,103.0,110.0,111.0,86.0,96.0,90.0,103.0,94.0,93.0,0.241,0.109,-0.89,1.28,88.1,82.0,0.277,0.428,0.1689999999999999,0.33,0.495,0.221,0.188,0.313,0.158,113.0,104.0,104.0,0.123,-1.13,86.8,0.241,0.362,0.225,,,,,,,,,,,,,,,,,,
2023-09-06,6:39 PM.,BAL,LAA,home,Clear.,77,502043,PH,1,0,0,0,0,0,0,0,0,1,0,0.077,0.294,0.077,0.371,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,88.0,99.0,96.0,78.0,96.0,89.0,110.0,105.0,107.0,0.261,0.134,0.184,0.17,-0.69,-0.08,2.01,-0.29,92.1,85.5,91.9,81.6,0.287,0.55,0.156,0.147,0.228,0.471,0.288,0.453,0.291,90.0,102.0,99.0,93.0,101.0,97.0,90.0,95.0,92.0,0.166,0.084,-1.02,0.01,89.8,79.5,0.289,0.459,0.11,0.345,0.552,0.154,0.279,0.419,0.4039999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
