date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2023-09-30,6:11 PM.,KC,NYY,away,Clear.,88,674444,3B,5,0,1,0,0,0,0,0,0,3,6,0.195,0.273,0.278,0.551,674444,stevencruz,Cruz,Right,Steven Cruz,KCR,4.97,4.73,12.2,90.0,119.0,93.0,0.778,10.66,7.82,7.82,0.71,0.67,0.343,0.343,0.143,0.257,0.418,,,,109.0,82.0,82.0,128.0,92.0,96.0,129.0,99.0,106.0,119.0,100.0,98.0,0.217,0.439,0.074,0.27,,-1.04,-7.69,-0.41,1.99,,97.7,93.5,,97.3,89.4,0.263,0.421,0.186,,,,0.111,0.278,0.483,0.167,0.333,0.125,0.429,0.714,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,7:10 PM.,KC,NYY,away,Clear.,87,543475,3B,4,1,1,1,0,0,0,0,0,1,3,0.195,0.275,0.28,0.555,543475,jordanlyles,Lyles,Right,Jordan Lyles,KCR,6.28,4.93,177.2,101.0,85.0,97.0,0.817,6.08,2.28,8.92,1.98,0.69,0.217,0.463,0.139,0.332,0.402,73.0,95.0,90.0,75.0,101.0,92.0,76.0,103.0,88.0,99.0,107.0,110.0,96.0,99.0,98.0,0.131,0.306,0.076,0.247,0.109,1.11,-0.94,-0.01,-1.31,-1.66,91.2,86.8,85.5,90.5,80.2,0.227,0.444,0.154,0.26,0.481,0.257,0.28,0.543,0.249,0.248,0.457,0.158,0.314,0.725,0.19,95.0,97.0,99.0,0.131,-1.6,79.4,0.238,0.476,0.2189999999999999,,,,,,,,,,,,,,,,,,
2023-09-27,7:09 PM.,TOR,NYY,away,Clear.,68,621244,3B,3,1,0,0,0,0,0,0,1,2,0,0.194,0.275,0.275,0.55,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.65,4.51,189.2,104.0,100.0,103.0,0.764,8.73,2.47,8.21,1.19,1.12,0.225,0.406,0.151,0.311,0.418,90.0,104.0,101.0,96.0,103.0,99.0,92.0,104.0,99.0,,,,,,,0.315,0.204,,,0.185,0.72,,0.61,,-0.38,94.3,,84.1,93.8,,0.254,0.456,0.276,0.245,0.409,0.33,,,,0.255,0.398,0.131,,,,116.0,104.0,110.0,0.296,0.31,82.6,,,,,,,,,,,,,,,,,,,0.216,0.357,0.305
2023-09-26,7:08 PM.,TOR,NYY,away,Clear.,65,592332,SS,3,0,0,0,0,0,0,0,0,1,2,0.197,0.276,0.28,0.556,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.108,,1.13,,,-0.97,,94.7,,,,83.6,0.243,0.409,0.172,,,,0.348,0.565,0.353,,,,,,,,,,,,,,,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,0.307,0.432,,,,,,,,,
2023-09-25,1:08 PM.,AZ,NYY,home,Drizzle.,59,518876,3B,3,1,1,0,0,1,2,0,1,1,0,0.201,0.281,0.286,0.567,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,99.0,108.0,114.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,87.0,101.0,99.0,0.122,0.301,0.181,0.055,0.231,0.04,0.88,0.83,-0.64,2.43,92.2,90.8,88.7,92.4,85.5,0.224,0.489,0.259,0.18,0.234,0.32,0.217,0.391,0.413,0.261,0.378,0.163,0.22,0.352,0.244,121.0,105.0,111.0,0.11,-0.45,82.1,0.268,0.411,0.256,,,,,,,,,,,,,,,,,,
2023-09-24,2:26 PM.,AZ,NYY,home,Rain.,64,668678,3B,4,0,0,0,0,0,0,0,0,1,2,0.199,0.275,0.265,0.54,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,106.0,99.0,94.0,0.007,0.491,0.092,0.045,0.139,1.59,-2.24,-3.38,0.34,1.05,93.6,90.2,86.8,93.0,87.4,0.238,0.36,0.192,0.21,0.336,0.314,0.25,0.389,0.265,0.286,0.714,0.125,0.352,0.648,0.205,,,,,,,0.21,0.344,0.405,,,,,,,,,,121.0,104.0,112.0,0.227,0.46,82.5,,,
2023-09-22,7:09 PM.,AZ,NYY,home,Cloudy.,66,694297,3B,4,2,2,1,0,0,0,0,0,1,1,0.204,0.282,0.272,0.554,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,119.0,106.0,117.0,,,,0.099,0.454,,0.27,0.122,-1.63,,-0.03,1.21,-3.66,93.6,,86.7,93.1,83.8,0.327,0.654,0.176,0.4,0.711,0.33,0.18,0.323,0.337,0.313,0.563,0.188,,,,106.0,89.0,97.0,0.055,-1.24,78.8,0.294,0.529,0.294,,,,,,,,,,,,,,,,,,
2023-09-20,7:09 PM.,TOR,NYY,home,Clear.,72,592332,3B,4,0,0,0,0,0,0,0,0,4,2,0.196,0.277,0.259,0.536,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,,0.509,,0.108,,1.13,,,-0.97,,94.7,,,,83.6,0.243,0.409,0.172,,,,0.348,0.565,0.353,,,,,,,,,,,,,,,,105.0,108.0,109.0,0.384,0.3,86.3,0.201,0.307,0.432,,,,,,,,,
2023-09-19,7:09 PM.,TOR,NYY,home,Clear.,70,579328,3B,3,0,0,0,0,0,0,0,0,2,1,0.201,0.284,0.266,0.55,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,,,,0.451,,0.259,0.097,0.05,,,1.11,-1.83,95.1,,88.7,,88.7,0.27,0.412,0.268,0.254,0.508,0.193,0.225,0.396,0.302,,,,,,,98.0,103.0,105.0,0.193,0.24,83.1,0.284,0.463,0.307,,,,,,,,,,,,,,,,,,
2023-09-17,1:51 PM.,PIT,NYY,away,Rain.,62,681882,3B,2,0,0,0,0,0,0,0,2,1,1,0.206,0.289,0.272,0.561,681882,colinselby,Selby,Right,Colin Selby,PIT,9.0,5.52,24.0,93.0,114.0,97.0,0.714,11.25,5.63,10.88,1.5,1.74,0.232,0.449,0.188,0.333,0.391,,,,100.0,53.0,53.0,106.0,97.0,95.0,127.0,85.0,94.0,,,,0.462,0.002,,0.364,,-5.8,,-1.24,0.01,,97.4,,,96.6,88.4,,,,,,,0.192,0.423,0.418,0.395,0.535,0.163,,,,109.0,104.0,111.0,0.172,-0.52,82.7,0.241,0.31,0.342,,,,,,,,,,,,,,,,,,
