date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
2024-10-19,8:09 PM.,NYY,CLE,home,Clear.,58,607074,DH,2,0,1,0,0,0,0,0,0,1,0,0.316,0.316,0.526,0.842,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,,0.494,0.26,,0.129,0.05,,-0.4,,1.44,95.4,85.5,,86.8,,0.262,0.514,0.214,0.199,0.361,0.393,0.281,0.531,0.276,0.188,0.247,0.495,,,,103.0,86.0,93.0,100.0,83.0,82.0,,,,0.035,,0.083,-3.11,,-1.32,91.8,,81.0,,,,,,,0.353,0.647,0.255,,,
2024-10-18,8:08 PM.,NYY,CLE,home,Clear.,56,661563,DH,2,0,1,1,0,0,0,0,0,0,1,0.294,0.294,0.529,0.823,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,,,,108.0,94.0,105.0,,,,,0.488,0.259,,0.253,0.06,,1.37,,0.37,96.6,91.6,,87.5,,0.205,0.395,0.285,0.171,0.312,0.315,,,,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-17,5:08 PM.,NYY,CLE,home,Clear.,57,657376,DH,3,1,2,0,0,1,2,0,0,0,0,0.267,0.267,0.467,0.734,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,36.0,89.0,96.0,,,,83.0,94.0,85.0,136.0,94.0,102.0,150.0,102.0,113.0,0.21,,0.252,0.182,0.006,,-0.75,1.21,0.89,-13.05,,87.1,94.3,85.2,83.8,,,,,,,0.143,0.19,0.33,0.667,1.0,0.0,0.267,0.483,0.203,,,,106.0,102.0,100.0,,,,0.35,,,0.53,,,92.4,,,,,,0.21,0.323,0.297,0.256,0.38,0.322,,,
2024-10-15,7:39 PM.,NYY,CLE,away,Partly Cloudy.,52,543037,DH,5,1,1,0,0,0,0,0,0,1,2,0.167,0.167,0.167,0.334,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,73.0,94.0,90.0,116.0,100.0,104.0,,,,128.0,106.0,112.0,102.0,99.0,106.0,0.002,0.462,0.146,0.187,0.04,0.7,17.25,1.25,2.35,-3.6,95.9,88.2,93.7,88.2,82.5,0.189,0.365,0.234,0.222,0.27,0.264,0.209,0.239,0.301,0.333,0.667,0.28,0.0,0.0,0.143,,,,99.0,102.0,102.0,,,,0.163,,,-0.7,,,91.4,,,,,,,,,0.32,0.56,0.22,,,
2024-10-14,7:39 PM.,NYY,CLE,away,Cloudy.,50,607074,PH,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143,0.286,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,,0.494,0.26,,0.129,0.05,,-0.4,,1.44,95.4,85.5,,86.8,,0.262,0.514,0.214,0.199,0.361,0.393,0.281,0.531,0.276,0.188,0.247,0.495,,,,103.0,86.0,93.0,100.0,83.0,82.0,,,,0.035,,0.083,-3.11,,-1.32,91.8,,81.0,,,,,,,0.353,0.647,0.255,,,
2024-10-10,6:08 PM.,DET,CLE,away,Clear.,61,681857,DH,3,0,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,,,,0.205,0.234,0.278,,0.223,-0.39,1.85,2.08,,-0.05,94.2,86.5,94.2,84.8,,0.277,0.386,0.101,0.143,0.194,0.455,0.304,0.652,0.295,0.222,0.344,0.429,0.284,0.385,0.076,92.0,91.0,90.0,,,,,,,,,0.06,,,-3.32,,,79.0,,,,,,,,,,,,
2024-10-09,3:08 PM.,DET,CLE,away,Partly Cloudy.,65,672456,DH,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,92.0,100.0,96.0,90.0,101.0,97.0,110.0,99.0,104.0,95.0,102.0,111.0,0.078,0.421,0.28,0.112,0.109,-0.19,1.09,0.02,-3.94,-2.78,94.8,86.0,94.1,83.5,78.8,0.27,0.486,0.18,0.235,0.391,0.259,0.269,0.615,0.224,0.289,0.474,0.329,0.32,0.32,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07,4:09 PM.,DET,CLE,home,Partly Cloudy.,61,669373,PH,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,95.0,91.0,101.0,0.205,0.332,0.149,0.042,0.271,1.84,1.25,0.78,1.26,1.13,96.8,86.3,96.6,88.7,78.5,0.197,0.286,0.277,0.169,0.364,0.346,0.158,0.316,0.175,0.216,0.322,0.461,0.207,0.305,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05,1:09 PM.,DET,CLE,home,Sunny.,68,663947,DH,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,79.0,100.0,91.0,77.0,105.0,97.0,113.0,97.0,105.0,,,,0.216,0.152,0.155,,0.189,4.5,2.61,1.73,,0.4,92.1,83.6,91.5,80.6,,0.105,0.14,0.257,,,,,,,0.25,0.382,0.289,0.156,0.338,0.094,109.0,94.0,100.0,85.0,105.0,101.0,,,,0.273,,0.015,1.85,,1.83,87.6,,79.2,,,,0.13,0.174,0.379,0.194,0.292,0.253,,,
2024-09-28,6:11 PM.,HOU,CLE,home,Overcast.,73,434378,1B,4,0,0,0,0,0,0,0,0,2,3,0.234,0.282,0.421,0.703,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,,,,0.487,0.193,,0.101,-0.59,,0.66,,-0.58,93.5,84.0,,86.7,,0.299,0.497,0.202,0.195,0.322,0.215,0.34,0.56,0.22,0.235,0.353,0.253,,,,110.0,101.0,97.0,,,,,,,,,0.219,,,-1.46,,,77.6,,,,,,,,,,,,
