date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-09-21,5:44 PM.,SD,CWS,away,Partly Cloudy.,70,527048,SS,4,0,0,0,0,0,0,0,0,4,1,0.213,0.275,0.234,0.509,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,0.358,0.053,0.0,0.227,-8.23,0.57,-51.06,-1.27,91.3,83.4,90.7,82.8,0.275,0.383,0.097,,,,0.458,0.917,0.043,0.28,0.448,0.341,74.0,102.0,98.0,0.141,0.62,77.9,,,,0.246,0.354,0.29,70.0,101.0,93.0,,,,0.221,,-0.61,,87.9,,0.28,0.57,0.212,,,,,,,,,,,,
2024-09-18,1:08 PM.,LAA,CWS,away,Partly Cloudy.,75,686799,SS,1,1,0,0,0,0,0,0,0,1,1,0.233,0.298,0.256,0.554,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.03,-1.87,0.89,,-3.35,96.3,88.3,95.8,,0.286,0.411,0.121,,,,0.167,0.5,0.364,0.333,0.444,0.067,111.0,95.0,106.0,0.184,-1.06,85.0,,,,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,6:39 PM.,LAA,CWS,away,Partly Cloudy.,68,672282,SS,3,1,1,0,0,0,0,0,1,2,0,0.238,0.304,0.262,0.566,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,0.468,0.244,0.142,-0.56,,-0.44,-1.18,93.8,84.7,,86.2,,,,0.22,0.39,0.368,0.278,0.508,0.253,0.351,0.544,0.319,89.0,100.0,103.0,0.146,-3.5,75.0,,,,0.37,0.804,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,1:10 PM.,OAK,CWS,home,Sunny.,90,676664,SS,3,0,0,0,0,0,0,0,0,0,1,0.231,0.286,0.256,0.542,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,0.106,0.363,0.339,0.192,-0.8,1.37,-0.1,-0.21,91.9,84.0,90.0,78.9,0.276,0.395,0.104,0.23,0.525,0.259,0.23,0.476,0.256,0.297,0.428,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,0.381,0.213,,,,,,
2024-09-14,6:11 PM.,OAK,CWS,home,Partly Cloudy.,81,669372,SS,0,0,0,0,0,0,0,0,0,0,0,0.25,0.308,0.278,0.586,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,0.511,0.035,0.309,0.146,1.23,-0.98,2.3,-0.36,92.2,87.0,92.9,85.3,0.319,0.472,0.205,0.158,0.237,0.355,0.0,0.0,0.333,0.389,0.556,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,6:40 PM.,OAK,CWS,home,Partly Cloudy.,78,669620,SS,3,0,1,0,0,0,0,0,0,1,1,0.25,0.308,0.278,0.586,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,0.023,0.469,,0.123,2.37,-1.21,,-3.63,92.2,86.4,92.0,,,,,,,,0.225,0.325,0.165,0.357,0.571,0.227,79.0,112.0,110.0,0.206,1.0,76.4,,,,0.2,0.2,0.385,102.0,107.0,103.0,,,,0.18,,-2.37,,88.1,,0.385,0.615,0.308,,,,,,,,,,,,
2024-09-11,1:11 PM.,CLE,CWS,home,Partly Cloudy.,81,571510,SS,2,0,1,0,0,0,0,1,1,1,2,0.242,0.306,0.273,0.579,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.262,1.47,-2.47,1.14,0.04,92.0,80.9,91.8,79.5,0.32,0.64,0.071,0.148,0.222,0.449,0.15,0.25,0.246,0.261,0.37,0.352,85.0,100.0,98.0,0.081,1.41,74.1,,,,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,6:40 PM.,CLE,CWS,home,Clear.,80,594902,SS,2,0,0,0,0,0,0,0,1,0,1,0.226,0.273,0.258,0.531,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,0.29,0.314,0.218,0.091,-0.21,0.56,-0.01,-0.79,89.9,83.9,90.4,79.4,0.227,0.392,0.133,0.238,0.476,0.419,0.268,0.504,0.166,0.279,0.382,0.185,43.0,106.0,93.0,0.088,-0.11,76.9,,,,0.206,0.365,0.18,,,,,,,,,,,,,,,,,,,0.231,0.413,0.241,,,,,,
2024-09-09,6:39 PM.,CLE,CWS,home,Clear.,79,676282,SS,3,0,0,0,0,0,0,0,0,2,0,0.241,0.267,0.276,0.543,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,94.0,90.0,96.0,96.0,91.0,87.0,,,,112.0,104.0,103.0,,0.488,0.084,0.276,-1.29,,2.07,0.26,92.2,77.8,,82.6,,,,0.188,0.375,0.424,0.292,0.585,0.22,0.216,0.324,0.437,95.0,109.0,105.0,0.152,1.01,76.2,,,,0.172,0.276,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,1:36 PM.,BOS,CWS,away,Sunny.,69,690916,SS,4,1,1,0,0,0,1,0,0,1,2,0.269,0.296,0.308,0.604,690916,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,4.0,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,,,,102.0,98.0,97.0,,,,126.0,113.0,114.0,,0.446,0.446,,1.1,,1.91,,94.5,,,85.2,,,,0.259,0.296,0.149,0.2,0.267,0.162,,,,,,,,,,,,,,,,,,,107.0,103.0,116.0,,0.108,,-3.33,,88.7,,,,0.5,0.5,0.143,0.231,0.231,0.13,,,,,,
2024-09-06,7:11 PM.,BOS,CWS,away,Partly Cloudy.,71,601713,SS,3,0,1,0,0,0,1,0,0,1,1,0.273,0.304,0.318,0.622,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,,,,155.0,103.0,111.0,,0.486,0.291,,0.73,,-0.1,,93.9,,,82.6,,,,0.143,0.393,0.326,0.239,0.399,0.218,,,,118.0,104.0,104.0,0.163,0.61,80.0,,,,0.167,0.4,0.206,104.0,96.0,82.0,,,,0.059,,-4.63,,88.3,,0.394,0.879,0.211,,,,0.224,0.436,0.35,,,,,,
2024-09-04,6:37 PM.,BAL,CWS,away,Partly Cloudy.,77,544150,SS,4,0,1,1,0,0,0,0,0,2,1,0.263,0.3,0.316,0.616,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,90.0,101.0,96.0,,,,,,,,0.5,,0.172,-0.36,,,-0.5,94.8,86.1,,,,,,,,,0.276,0.469,0.228,0.274,0.434,0.228,94.0,99.0,98.0,0.132,0.41,79.0,,,,0.174,0.348,0.252,74.0,99.0,92.0,,,,0.195,,0.73,,86.3,,0.24,0.365,0.308,,,,,,,,,,,,
2024-09-03,6:36 PM.,BAL,CWS,away,Clear.,73,700249,SS,3,0,2,0,0,0,0,0,0,1,0,0.267,0.313,0.267,0.58,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.407,0.13,0.109,0.56,0.86,-0.43,-2.05,92.4,86.1,91.5,82.6,0.2,0.24,0.103,,,,0.223,0.379,0.185,0.25,0.542,0.235,93.0,101.0,104.0,0.196,-2.26,76.3,,,,0.333,0.517,0.269,97.0,94.0,94.0,,,,0.075,,-3.12,,88.3,,0.333,0.81,0.288,,,,0.232,0.411,0.276,,,,,,
2024-09-02,3:07 PM.,BAL,CWS,away,Sunny.,81,669203,SS,3,1,1,0,0,0,0,0,0,1,1,0.167,0.231,0.167,0.398,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,0.078,,0.146,0.11,,-0.5,0.7,0.2,,89.2,97.0,87.2,0.235,0.412,0.157,0.196,0.268,0.463,,,,0.194,0.339,0.377,109.0,101.0,106.0,0.215,0.44,80.3,,,,0.2,0.326,0.378,125.0,105.0,108.0,,,,0.45,,1.37,,95.3,,0.251,0.362,0.19,,,,0.125,0.5,0.457,,,,,,
2024-09-01,1:10 PM.,NYM,CWS,home,Sunny.,73,640455,SS,2,0,0,0,0,0,0,0,0,2,0,0.111,0.2,0.111,0.311,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,0.447,0.113,0.251,0.118,1.13,1.36,0.37,-1.19,92.3,85.3,92.3,79.5,0.201,0.333,0.21,0.174,0.435,0.32,0.167,0.295,0.311,0.25,0.438,0.254,,,,,,,,,,,,,84.0,88.0,85.0,,,,0.071,,0.97,,88.4,,0.222,0.25,0.179,,,,0.193,0.311,0.388,,,,,,
2024-08-31,6:10 PM.,NYM,CWS,home,Clear.,82,500779,SS,3,0,1,0,0,0,0,0,1,0,2,0.143,0.25,0.143,0.393,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,76.0,97.0,91.0,,,,0.304,0.225,,0.193,-0.32,0.82,,0.5,90.7,85.7,90.8,,0.249,0.431,0.131,,,,0.227,0.427,0.169,0.203,0.26,0.367,110.0,100.0,99.0,0.278,-0.04,77.7,0.195,0.366,0.284,0.265,0.444,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,7:10 PM.,NYM,CWS,home,Partly Cloudy.,80,656731,SS,3,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,130.0,94.0,112.0,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,0.098,0.467,0.132,0.015,0.29,3.24,-0.85,-4.39,95.7,87.2,94.6,85.1,0.206,0.206,0.184,0.233,0.302,0.291,0.228,0.35,0.292,0.5,0.5,0.111,91.0,77.0,82.0,0.078,-0.37,78.0,,,,0.188,0.313,0.333,101.0,96.0,93.0,105.0,93.0,107.0,0.136,0.073,-1.19,-1.25,90.1,84.7,0.326,0.565,0.27,0.143,0.393,0.429,0.25,1.0,0.167,,,,,,
2024-05-07,7:07 PM.,NYY,HOU,away,Partly Cloudy.,73,661563,2B,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,0.259,0.253,0.06,,1.37,0.37,96.6,91.6,,87.5,,,,0.171,0.312,0.315,0.205,0.395,0.285,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
