date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/08/30,7:10 PM.,LAD,AZ,away,Clear.,82,686752,2B,2,0,2,1,0,0,0,0,0,0,0,.167,.310,.208,.518,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,LAD,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.274,0.416,0.177,0.301,0.424,87.0,115.0,113.0,,,,100.0,100.0,97.0,,,,115.0,96.0,101.0,,,,,0.506,,0.147,,,0.347,1.83,,,0.98,,,0.55,94.0,,86.3,,88.8,,,,,,0.156,0.344,0.22399999999999998,,,,0.174,0.348,0.326,,,,0.203,0.391,0.326,,,,,,,,,,,,,,,
2023/08/29,7:10 PM.,LAD,AZ,away,Clear.,83,477132,DH,3,0,0,0,0,0,0,0,0,2,1,.091,.259,.091,.350,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,,,,0.002,0.369,,0.434,0.175,,0.017,0.23,,14.84,2.06,0.13,,-0.46,90.7,,84.6,90.9,86.5,73.4,,0.212,0.338,0.33799999999999997,0.281,0.451,0.09699999999999999,,,,0.167,0.338,0.36200000000000004,0.0,0.0,0.0,0.2,0.2,0.6,,,,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0
2023/08/24,6:40 PM.,CIN,AZ,home,Roof Closed.,77,682227,DH,3,0,0,0,0,0,0,0,0,1,5,.105,.292,.105,.397,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,98.0,96.0,103.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,106.0,102.0,98.0,,0.372,0.298,0.102,0.064,,0.165,-0.15,1.71,,-1.33,-1.75,,-0.51,92.8,89.3,84.0,,81.7,73.1,,0.333,0.6,0.14300000000000002,0.269,0.433,0.171,0.252,0.433,0.185,0.0,0.0,0.273,,,,0.183,0.39,0.39899999999999997,,,,,,,,,,,,,,,
2023/08/22,6:40 PM.,TEX,AZ,home,Roof Closed.,76,592351,3B,2,0,0,0,0,0,0,0,0,0,3,.125,.333,.125,.458,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,,,,116.0,103.0,109.0,,,,,0.424,,0.398,0.062,,0.116,-1.83,,,2.33,-1.69,,1.71,95.7,,88.8,,87.2,78.2,,0.263,0.737,0.27,0.346,0.551,0.179,,,,0.105,0.211,0.324,,,,0.211,0.268,0.213,,,,,,,,,,,,,,,
2023/08/21,6:40 PM.,TEX,AZ,home,Roof Closed.,77,656756,3B,3,0,0,0,0,0,0,0,1,1,2,.143,.368,.143,.511,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,,,,101.0,102.0,87.0,0.426,0.106,0.016,,0.222,,0.229,-0.68,-4.4,1.22,,0.84,,0.2,93.4,88.2,83.5,93.3,,80.5,,0.191,0.357,0.371,0.333,0.5,0.195,0.417,0.667,0.31,,,,0.255,0.374,0.141,0.239,0.405,0.392,,,,,,,,,,,,,,,
2023/08/18,6:40 PM.,SD,AZ,away,Clear.,72,607625,PH,1,0,0,0,0,0,0,0,0,1,0,.182,.400,.182,.582,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,,,,0.199,0.318,,0.111,0.313,,0.059,0.36,,1.87,-0.6,0.26,,-2.89,93.4,,86.3,93.2,85.2,79.6,,0.287,0.384,0.265,0.246,0.464,0.214,,,,0.25,0.417,0.28600000000000003,0.208,0.36,0.08900000000000001,0.303,0.576,0.34299999999999997,,,,0.0,0.0,0.226,,,,,,,,,
2023/08/17,6:41 PM.,SD,AZ,away,Clear.,71,448179,3B,2,0,0,0,0,0,0,0,1,0,0,.200,.429,.200,.629,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.088,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,83.0,86.1,71.1,72.0,67.1,0.283,0.47,0.174,0.249,0.454,0.218,0.39,0.701,0.19899999999999998,0.5,0.929,0.125,0.105,0.105,0.226,0.263,0.421,0.037000000000000005,,,,,,,,,,,,,,,
2023/08/16,1:10 PM.,COL,AZ,away,Partly Cloudy.,95,596295,3B,3,1,1,0,0,0,1,0,1,1,0,.250,.455,.250,.705,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,,,,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,,,,0.012,0.439,,0.201,,0.168,0.181,-1.99,,-5.34,0.96,,-0.75,-0.07,90.6,,81.6,90.8,84.8,,77.6,0.226,0.358,0.28,0.344,0.656,0.11800000000000001,,,,0.275,0.383,0.247,0.4,1.0,0.16699999999999998,0.296,0.509,0.19899999999999998,90.0,103.0,104.0,,,,,,,,,,,,
2023/08/15,6:41 PM.,COL,AZ,away,Clear.,90,621389,3B,2,0,1,0,0,0,0,0,0,0,0,.200,.429,.200,.629,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,,,,170.0,99.0,85.0,0.55,,0.165,,0.064,,0.221,,-2.26,-1.22,,-0.44,,-1.35,,83.7,79.9,89.3,,78.9,,0.211,0.211,0.257,,,,0.348,0.652,0.184,,,,0.322,0.561,0.102,0.371,0.486,0.207,,,,,,,,,,,,,,,
2023/08/12,5:12 PM.,SD,AZ,home,Roof Closed.,78,448179,3B,3,0,0,0,0,0,0,0,1,0,3,.000,.250,.000,.250,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,0.04,0.342,0.147,0.088,0.354,0.008,0.023,-0.32,-1.27,2.5,-2.52,-1.16,-3.65,-0.06,88.4,83.3,83.0,86.1,71.1,72.0,67.1,0.283,0.47,0.174,0.249,0.454,0.218,0.39,0.701,0.19899999999999998,0.5,0.929,0.125,0.105,0.105,0.226,0.263,0.421,0.037000000000000005,,,,,,,,,,,,,,,
