date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,CH%,wSI/C,wCU/C,wCH/C,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2023/09/30,7:15 PM.,BAL,BOS,away,Cloudy.,68,502043,2B,2,0,1,0,0,0,0,0,0,0,2,.265,.306,.456,.762,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,78.0,96.0,89.0,110.0,105.0,107.0,,,,0.134,,0.184,-0.69,,2.01,92.1,,81.6,0.287,0.55,0.156,,,,0.147,0.228,0.47100000000000003,88.0,99.0,96.0,90.0,102.0,99.0,93.0,101.0,97.0,0.261,0.084,0.17,-0.08,0.01,-0.29,85.5,91.9,79.5,0.289,0.459,0.11,0.279,0.419,0.40399999999999997,0.288,0.453,0.29100000000000004,90.0,95.0,92.0,0.166,-1.02,89.8,0.345,0.552,0.154,,,,,,,,,,,,
2023/09/29,7:05 PM.,BAL,BOS,away,Overcast.,65,607644,DH,0,0,0,0,0,0,0,0,0,0,0,.261,.303,.455,.758,607644,johnmeans,Means,Left,John Means,BAL,2.66,4.58,23.2,103.0,104.0,106.0,0.847,3.8,1.52,4.94,1.52,0.51,0.26,0.411,0.151,0.329,0.46,103.0,99.0,102.0,97.0,101.0,100.0,,,,0.419,,0.15,0.5,,3.05,91.7,,85.4,0.188,0.406,0.141,,,,0.0,0.0,0.091,109.0,108.0,114.0,112.0,118.0,126.0,,,,,0.003,0.333,,-57.14,4.04,80.9,,81.6,,,,0.167,0.667,0.077,0.139,0.306,0.221,,,,,,,,,,,,,0.094,-2.18,77.6,,,,,,
2023/09/28,6:36 PM.,BAL,BOS,away,Partly Cloudy.,67,665152,2B,3,0,0,0,0,0,0,0,0,2,1,.261,.303,.455,.758,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,106.0,103.0,102.0,116.0,98.0,105.0,,,,0.371,,0.033,0.43,,-1.43,94.6,,82.8,0.252,0.409,0.262,,,,0.25,0.417,0.244,86.0,91.0,93.0,93.0,94.0,98.0,84.0,106.0,99.0,0.145,0.089,0.123,1.81,-2.29,-1.4,85.3,91.9,78.1,0.269,0.38,0.081,0.347,0.592,0.24,0.26,0.377,0.27,104.0,106.0,102.0,0.239,0.02,88.8,0.222,0.416,0.27699999999999997,,,,,,,,,,,,
2023/09/27,6:13 PM.,TB,BOS,home,Partly Cloudy.,61,607192,2B,3,0,0,0,0,0,0,0,0,2,3,.267,.309,.466,.775,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.432,,0.348,0.54,,1.25,96.4,,90.1,0.236,0.41,0.249,,,,0.254,0.373,0.382,78.0,81.0,84.0,152.0,103.0,114.0,,,,0.004,0.213,0.003,-7.7,1.81,2.91,92.3,96.4,83.9,,,,0.095,0.19,0.522,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/26,7:14 PM.,TB,BOS,home,Partly Cloudy.,56,621107,2B,4,1,3,1,0,1,4,0,0,0,1,.273,.316,.477,.793,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,83.0,123.0,112.0,122.0,120.0,127.0,,,,0.062,,0.044,2.53,,0.79,92.9,,80.0,0.104,0.208,0.32,,,,0.6,0.6,0.5,75.0,99.0,94.0,100.0,110.0,107.0,98.0,107.0,105.0,0.319,0.263,0.051,1.09,1.27,-0.61,86.4,92.2,79.1,0.259,0.315,0.129,0.185,0.339,0.349,0.192,0.308,0.28300000000000003,100.0,106.0,102.0,0.261,-0.01,88.5,0.307,0.588,0.16699999999999998,,,,,,,,,,,,
2023/09/24,1:38 PM.,CWS,BOS,home,Drizzle.,63,605182,2B,2,0,1,1,0,0,0,0,0,0,0,.258,.303,.435,.738,605182,mikeclevinger,Clevinger,Right,Mike Clevinger,CHW,3.77,4.1,131.1,100.0,100.0,100.0,0.8,7.54,2.74,8.29,1.1,0.62,0.259,0.433,0.179,0.269,0.437,101.0,103.0,100.0,113.0,97.0,104.0,,,,0.479,,0.271,-0.21,,0.5,94.3,,79.4,0.283,0.494,0.174,,,,0.203,0.366,0.306,80.0,96.0,95.0,80.0,96.0,97.0,91.0,100.0,90.0,0.024,0.016,0.128,1.47,0.55,1.69,86.1,93.1,76.0,0.2,0.2,0.2,0.167,0.167,0.2,0.175,0.206,0.293,90.0,100.0,100.0,0.082,-0.07,84.9,0.256,0.395,0.264,,,,,,,,,,,,
2023/09/23,4:11 PM.,CWS,BOS,home,Drizzle.,61,656302,2B,4,0,2,1,0,0,0,0,0,0,1,.254,.300,.426,.726,656302,dylancease,Cease,Right,Dylan Cease,CHW,4.58,4.13,177.0,97.0,115.0,104.0,0.705,10.88,4.02,8.75,0.97,0.92,0.243,0.432,0.173,0.341,0.376,125.0,95.0,103.0,120.0,101.0,108.0,,,,0.432,,0.386,-0.15,,0.4,95.6,,86.3,0.273,0.436,0.205,,,,0.216,0.339,0.433,60.0,90.0,78.0,,,,,,,,,0.03,,,1.0,74.6,,,,,,0.298,0.538,0.249,0.111,0.111,0.5379999999999999,,,,,,,,,,83.0,94.0,99.0,0.152,-1.83,80.2,,,,,,
2023/09/12,1:36 PM.,NYY,BOS,home,Cloudy.,74,681190,2B,3,0,0,0,0,0,0,0,1,0,0,.246,.294,.415,.709,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,NYY,2.87,5.37,37.2,99.0,100.0,96.0,0.85,7.88,4.3,7.17,1.19,0.87,0.227,0.427,0.255,0.273,0.405,100.0,101.0,96.0,133.0,103.0,112.0,,,,0.262,,0.127,1.16,,-1.01,94.4,,80.9,0.176,0.206,0.16699999999999998,,,,0.235,0.294,0.27,83.0,101.0,94.0,84.0,101.0,98.0,89.0,102.0,98.0,0.223,0.105,0.118,0.44,-1.21,1.32,87.8,94.2,79.7,0.235,0.441,0.08,0.235,0.353,0.276,0.1,0.3,0.171,107.0,85.0,79.0,0.166,-1.61,87.7,0.3,0.65,0.22899999999999998,,,,,,,,,,,,
2023/09/09,5:42 PM.,BAL,BOS,home,Cloudy.,72,656427,2B,6,1,2,1,0,0,0,0,0,2,6,.252,.295,.426,.721,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,4.99,5.06,144.1,99.0,95.0,100.0,0.755,9.23,4.12,10.1,1.06,1.34,0.246,0.459,0.132,0.307,0.398,98.0,99.0,98.0,98.0,101.0,102.0,,,,0.417,,0.246,-0.44,,-1.15,93.1,,84.2,0.29,0.411,0.20800000000000002,,,,0.339,0.558,0.265,68.0,89.0,84.0,,,,75.0,82.0,71.0,0.02,,0.033,-2.28,,0.86,85.3,90.1,,0.333,0.333,0.1,0.204,0.372,0.402,0.154,0.154,0.083,92.0,98.0,101.0,0.091,-1.05,88.7,0.318,0.545,0.264,93.0,102.0,108.0,0.194,0.23,76.2,,,,,,
2023/09/08,7:12 PM.,BAL,BOS,home,Cloudy.,82,680694,2B,2,0,0,0,0,0,0,0,0,1,0,.248,.293,.422,.715,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,101.0,96.0,96.0,171.0,105.0,116.0,,,,0.224,,0.313,-1.0,,1.77,94.5,,88.1,0.366,0.602,0.15,,,,0.168,0.272,0.364,97.0,100.0,98.0,135.0,105.0,109.0,88.0,104.0,98.0,0.207,0.173,0.083,1.53,3.99,-0.36,90.8,95.0,84.8,0.23,0.367,0.15,0.142,0.165,0.35600000000000004,0.259,0.37,0.114,,,,,,,,,,,,,,,,,,,,,
