date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
2023/09/30,7:15 PM.,NYM,PHI,away,Cloudy.,63,500779,2B,4,0,0,0,0,0,0,0,0,3,4,.286,.500,.500,1.000,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,96.0,106.0,102.0,81.0,101.0,95.0,,,,0.242,,0.253,0.181,-2.28,,1.45,-1.18,90.2,85.8,,77.2,0.391,0.594,0.217,0.214,0.268,0.26899999999999996,,,,0.276,0.379,0.29600000000000004,78.0,99.0,91.0,0.323,3.29,90.4,0.196,0.25,0.135,,,,,,,,,,0.211,0.368,0.207,,,,,,
2023/09/30,4:12 PM.,NYM,PHI,away,Partly Cloudy.,65,656731,3B,4,1,2,0,0,0,1,2,0,1,0,.400,.625,.700,1.325,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,0.557,0.206,0.086,0.149,-0.4,-1.04,-0.05,-0.09,94.9,87.9,84.4,77.2,0.314,0.494,0.184,0.167,0.167,0.354,0.264,0.445,0.311,0.264,0.396,0.24100000000000002,,,,,,,,,,,,,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1
2023/09/05,6:40 PM.,SD,PHI,away,Cloudy.,71,658648,PH,0,0,0,0,0,0,0,0,1,0,0,.333,.667,.833,1.500,658648,pedroavila,Avila,Right,Pedro Avila,SDP,3.22,4.04,50.1,96.0,77.0,95.0,0.732,9.66,4.47,7.69,0.54,2.57,0.206,0.434,0.147,0.301,0.41,52.0,93.0,99.0,86.0,102.0,102.0,82.0,96.0,91.0,,,,0.327,0.007,0.203,0.256,-0.67,1.31,-0.11,2.16,94.0,83.8,80.7,77.4,0.235,0.412,0.19,0.207,0.276,0.40299999999999997,,,,0.148,0.246,0.434,91.0,96.0,89.0,0.207,0.13,93.3,0.356,0.422,0.122,,,,,,,,,,,,,,,,,,
2023/08/19,4:06 PM.,WSH,PHI,away,Sunny.,80,663623,LF,1,0,0,0,0,0,0,0,0,0,1,.333,.636,.833,1.469,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,,,,0.356,,0.306,0.051,-0.01,,0.08,1.21,94.5,87.8,,80.9,0.208,0.376,0.192,0.197,0.362,0.257,,,,0.25,0.5,0.156,101.0,101.0,98.0,0.287,-0.75,93.9,0.348,0.525,0.09300000000000001,,,,,,,,,,,,,,,,,,
2023/08/11,7:08 PM.,MIN,PHI,home,Partly Cloudy.,84,572971,LF,3,0,1,0,0,0,0,0,2,1,0,.400,.700,1.000,1.700,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIN,5.97,5.59,37.2,98.0,74.0,94.0,0.799,5.97,4.3,10.75,0.72,2.23,0.213,0.504,0.189,0.315,0.333,74.0,110.0,108.0,,,,,,,64.0,94.0,95.0,,0.129,,0.271,,0.06,,-0.58,,80.3,78.3,,,,,,,,0.222,0.278,0.441,0.327,0.473,0.196,64.0,92.0,86.0,0.347,0.39,87.4,0.245,0.367,0.084,92.0,94.0,90.0,0.254,-2.63,84.8,0.379,0.69,0.24600000000000002,,,,,,,,,
2023/08/10,6:42 PM.,WSH,PHI,home,Cloudy.,74,571578,RF,1,0,0,0,0,0,0,0,1,0,2,.500,.800,2.000,2.800,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,,,,65.0,103.0,88.0,84.0,99.0,100.0,0.169,0.35,,0.064,-0.69,-0.51,,-2.07,91.8,81.2,80.5,,0.327,0.541,0.121,,,,0.233,0.461,0.397,0.29,0.645,0.4,86.0,102.0,93.0,0.417,-0.89,92.1,0.32,0.463,0.07400000000000001,,,,,,,,,,,,,,,,,,
2023/08/09,6:41 PM.,WSH,PHI,home,Partly Cloudy.,86,669022,LF,1,3,1,0,0,1,1,1,2,0,0,1.000,1.000,4.000,5.000,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,101.0,97.0,102.0,0.595,0.188,0.188,0.029,-0.27,0.77,-0.85,1.1,95.0,86.5,88.5,83.2,0.279,0.503,0.21600000000000003,0.257,0.416,0.379,0.213,0.415,0.375,0.188,0.25,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,
