date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2023/09/07,7:20 PM.,ATL,STL,away,Clear.,84,608331,C,2,0,0,0,0,0,1,0,0,1,1,.241,.286,.444,.730,608331,maxfried,Fried,Left,Max Fried,ATL,2.55,2.73,77.2,98.0,96.0,101.0,0.748,9.27,2.09,8.11,0.81,2.26,0.218,0.393,0.147,0.242,0.379,89.0,101.0,106.0,90.0,98.0,99.0,79.0,98.0,88.0,105.0,98.0,105.0,0.117,0.332,0.11,0.165,0.71,-0.71,-0.19,1.75,94.0,86.2,93.5,83.6,0.302,0.395,0.23199999999999998,0.291,0.418,0.177,0.4,0.9,0.275,0.232,0.286,0.377,,,,,,,,,,114.0,98.0,106.0,0.231,2.64,74.2,0.109,0.109,0.391,,,,0.044,1.44,87.5,0.091,0.364,0.19,,,,,,,,,,,,
2023/09/03,1:16 PM.,PIT,STL,home,Partly Cloudy.,89,670912,C,4,0,0,0,0,0,0,0,0,1,2,.243,.286,.449,.735,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.367,0.041,-1.25,0.93,0.8,-0.07,95.8,88.1,95.7,88.2,0.276,0.345,0.065,0.277,0.477,0.183,0.21,0.349,0.326,0.25,0.3,0.35700000000000004,,,,,,,,,,87.0,97.0,101.0,0.149,0.82,80.9,0.193,0.352,0.308,,,,,,,,,,,,,,,,,,,,,
2023/08/30,1:17 PM.,SD,STL,home,Partly Cloudy.,79,448179,C,4,0,0,0,0,0,0,0,0,3,3,.249,.292,.459,.751,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,80.0,81.0,80.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,0.04,0.342,0.088,0.023,-0.32,2.5,-2.52,-0.06,88.4,83.0,86.1,71.1,0.105,0.105,0.226,0.249,0.454,0.218,0.5,0.929,0.125,0.263,0.421,0.037000000000000005,,,,,,,,,,116.0,94.0,103.0,0.354,-1.16,72.0,0.283,0.47,0.174,85.0,97.0,93.0,0.147,-1.27,83.3,0.39,0.701,0.19899999999999998,,,,,,,0.008,-3.65,67.1,,,
2023/08/28,6:47 PM.,SD,STL,home,Clear.,79,605483,C,4,0,0,0,0,0,0,0,0,3,3,.254,.298,.469,.767,605483,blakesnell,Snell,Left,Blake Snell,SDP,2.25,3.77,180.0,95.0,107.0,100.0,0.642,11.7,4.95,5.75,0.75,1.3,0.262,0.388,0.168,0.309,0.326,72.0,103.0,106.0,120.0,91.0,96.0,,,,107.0,91.0,94.0,,0.486,0.131,0.184,0.07,,0.68,2.65,95.5,86.7,,88.4,,,,0.255,0.389,0.195,0.123,0.26,0.536,0.185,0.266,0.46799999999999997,,,,,,,,,,106.0,102.0,110.0,0.198,2.55,81.0,0.079,0.14,0.563,,,,,,,,,,,,,,,,,,,,,
2023/08/25,7:08 PM.,PHI,STL,away,Partly Cloudy.,85,650911,C,3,0,0,0,0,0,0,0,0,1,1,.260,.304,.480,.784,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,71.0,104.0,97.0,123.0,100.0,100.0,0.462,,0.211,0.327,,0.65,0.2,1.1,,81.8,92.1,82.7,0.297,0.523,0.107,,,,0.25,0.456,0.297,0.148,0.274,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/23,12:36 PM.,PIT,STL,away,Cloudy.,76,682847,C,5,1,1,0,0,0,0,0,0,1,7,.265,.309,.488,.797,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294,0.343,0.135,0.383,0.704,0.156,0.246,0.449,0.312,0.209,0.209,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/22,7:08 PM.,PIT,STL,away,Partly Cloudy.,76,670912,C,0,0,0,0,0,0,0,0,0,0,0,.267,.313,.497,.810,670912,johanoviedo,Oviedo,Right,Johan Oviedo,PIT,4.31,4.61,177.2,95.0,91.0,95.0,0.759,8.0,4.2,8.16,0.96,1.24,0.234,0.408,0.164,0.316,0.411,75.0,84.0,82.0,83.0,93.0,87.0,100.0,93.0,92.0,103.0,98.0,104.0,0.05,0.392,0.367,0.041,-1.25,0.93,0.8,-0.07,95.8,88.1,95.7,88.2,0.276,0.345,0.065,0.277,0.477,0.183,0.21,0.349,0.326,0.25,0.3,0.35700000000000004,,,,,,,,,,87.0,97.0,101.0,0.149,0.82,80.9,0.193,0.352,0.308,,,,,,,,,,,,,,,,,,,,,
2023/08/21,7:07 PM.,PIT,STL,away,Partly Cloudy.,86,641672,C,3,1,1,0,0,1,1,0,1,1,2,.267,.313,.497,.810,641672,thomashatch,Hatch,Right,Thomas Hatch,- - -,4.08,4.21,28.2,97.0,91.0,90.0,0.711,8.16,3.77,10.36,0.63,1.59,0.18,0.494,0.045,0.393,0.373,52.0,90.0,78.0,112.0,102.0,92.0,98.0,100.0,92.0,,,,0.243,0.133,0.002,0.272,-4.69,0.69,-3.64,-2.77,94.7,85.5,94.8,83.8,0.28,0.36,0.184,0.385,0.846,0.21899999999999997,,,,0.351,0.514,0.34700000000000003,,,,,,,,,,,,,,,,,,,109.0,98.0,96.0,0.35,2.36,87.9,0.216,0.243,0.35100000000000003,,,,,,,,,,,,
2023/08/19,6:16 PM.,NYM,STL,home,Clear.,87,673540,C,3,1,0,0,0,0,0,0,0,0,3,.265,.308,.481,.789,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,109.0,97.0,97.0,,,,100.0,93.0,102.0,,0.37,0.116,,0.17,,-0.96,,95.7,,,82.7,,,,0.244,0.399,0.17300000000000001,0.333,0.952,0.245,,,,,,,,,,0.11,0.147,0.595,91.0,90.0,87.0,0.027,-0.23,72.8,0.125,0.5,0.444,93.0,95.0,93.0,0.25,2.52,90.8,0.244,0.339,0.182,,,,,,,,,,0.237,0.95,83.2
2023/08/17,6:16 PM.,NYM,STL,home,Partly Cloudy.,84,500779,C,4,0,2,0,0,0,0,0,0,1,0,.270,.310,.491,.801,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,81.0,101.0,95.0,78.0,99.0,91.0,,,,0.323,0.242,,0.181,-2.28,3.29,,-1.18,90.2,85.8,90.4,,0.196,0.25,0.135,0.391,0.594,0.217,,,,0.276,0.379,0.29600000000000004,,,,,,,,,,96.0,106.0,102.0,0.253,1.45,77.2,0.214,0.268,0.26899999999999996,,,,,,,,,,0.211,0.368,0.207,,,,,,,,,
2023/08/16,5:45 PM.,OAK,STL,home,Clear.,83,621112,C,2,0,1,1,0,0,0,0,2,0,0,.265,.305,.490,.795,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,77.0,95.0,87.0,82.0,96.0,87.0,91.0,103.0,108.0,0.24,0.146,0.181,0.112,-2.52,-0.75,0.46,2.14,91.9,86.0,91.8,80.8,0.306,0.435,0.15,0.383,0.553,0.17,0.198,0.308,0.344,0.143,0.286,0.389,,,,,,,,,,89.0,104.0,104.0,0.117,1.69,79.1,0.14,0.326,0.245,106.0,100.0,100.0,0.204,-2.38,88.9,0.435,0.624,0.159,,,,,,,,,,,,
2023/08/15,6:46 PM.,OAK,STL,home,Cloudy.,74,657093,C,3,0,2,1,0,0,1,0,1,0,0,.261,.294,.484,.778,657093,spenserwatkins,Watkins,Right,Spenser Watkins,OAK,10.38,6.99,4.1,111.0,88.0,102.0,0.864,8.31,4.15,14.54,4.15,0.5,0.333,0.6,0.0,0.533,0.378,,,,75.0,101.0,99.0,84.0,111.0,95.0,130.0,81.0,106.0,0.3,0.256,0.167,,-4.3,-2.02,-7.54,,90.4,,90.0,76.9,0.4,0.6,0.0,0.5,0.75,0.2,0.333,1.333,0.375,,,,46.0,118.0,133.0,0.022,-2.3,84.2,,,,76.0,120.0,107.0,0.044,-31.12,74.6,,,,101.0,110.0,98.0,0.211,1.79,86.1,0.2,0.4,0.182,,,,,,,,,,,,
2023/08/14,6:47 PM.,OAK,STL,home,Cloudy.,79,676664,C,2,1,1,0,0,0,0,0,1,0,0,.253,.282,.473,.755,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,93.0,102.0,96.0,,,,93.0,102.0,106.0,0.001,0.501,0.346,0.151,-0.84,0.63,-0.06,0.36,93.1,84.1,92.1,81.4,,,,0.256,0.478,0.217,0.21,0.395,0.28300000000000003,0.277,0.438,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/12,6:11 PM.,KC,STL,away,Partly Cloudy.,90,666142,C,3,1,0,0,0,0,0,0,1,1,3,.250,.275,.473,.748,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,90.0,97.0,103.0,108.0,100.0,100.0,,,,126.0,114.0,125.0,,0.401,0.104,0.237,0.24,,2.79,2.84,96.5,86.6,,86.6,,,,0.234,0.411,0.27899999999999997,0.18,0.2,0.4,0.152,0.192,0.344,,,,,,,,,,,,,,,,0.194,0.306,0.295,89.0,92.0,87.0,0.134,1.47,91.8,0.27,0.378,0.23800000000000002,,,,,,,0.124,-0.05,81.8,,,
2023/08/10,6:40 PM.,TB,STL,away,Dome.,72,641793,C,4,1,2,0,0,1,2,0,0,1,1,.255,.275,.483,.758,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,73.0,109.0,100.0,74.0,108.0,98.0,103.0,100.0,105.0,0.099,0.312,0.397,,0.57,0.28,0.34,,94.1,,92.9,87.1,0.237,0.342,0.063,0.26,0.44,0.22,0.25,0.417,0.3,,,,115.0,107.0,118.0,0.192,-1.3,84.3,0.268,0.415,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/06,1:16 PM.,COL,STL,home,Partly Cloudy.,83,596295,C,3,0,1,0,0,0,0,0,0,0,1,.248,.269,.461,.730,596295,austingomber,Gomber,Left,Austin Gomber,COL,5.5,5.74,139.0,99.0,78.0,94.0,0.829,5.63,2.78,10.62,1.68,1.1,0.213,0.443,0.151,0.389,0.463,73.0,100.0,98.0,68.0,97.0,85.0,66.0,7.0,2.0,93.0,98.0,102.0,0.012,0.439,0.201,0.181,-1.99,-5.34,0.96,-0.07,90.6,81.6,90.8,84.8,0.4,1.0,0.16699999999999998,0.344,0.656,0.11800000000000001,0.275,0.383,0.247,0.296,0.509,0.19899999999999998,,,,,,,,,,,,,,,,0.226,0.358,0.28,,,,,,,,,,,,,90.0,103.0,104.0,0.168,-0.75,77.6,,,
2023/08/03,6:46 PM.,MIN,STL,home,Cloudy.,83,543243,C,4,0,1,0,0,0,0,0,0,0,1,.246,.268,.464,.732,543243,sonnygray,"Gray, So",Right,Sonny Gray,MIN,2.79,3.66,184.0,101.0,103.0,104.0,0.759,8.95,2.69,7.63,0.39,1.55,0.255,0.424,0.143,0.3,0.422,84.0,95.0,89.0,105.0,99.0,100.0,82.0,99.0,94.0,122.0,108.0,121.0,0.157,0.271,0.205,0.067,0.61,-0.46,3.25,-0.63,92.9,87.9,92.8,84.3,0.275,0.413,0.177,0.301,0.422,0.16399999999999998,0.096,0.117,0.413,0.27,0.405,0.174,,,,,,,,,,91.0,98.0,101.0,0.168,0.87,79.6,0.257,0.371,0.282,118.0,102.0,102.0,0.131,1.3,87.6,0.265,0.368,0.278,,,,,,,0.001,-0.41,72.9,,,
2023/07/30,1:16 PM.,CHC,STL,home,Partly Cloudy.,86,543294,C,3,0,2,0,0,0,1,0,0,0,1,.246,.268,.470,.738,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,3.74,4.13,137.0,105.0,60.0,93.0,0.801,6.11,1.77,9.07,0.85,1.36,0.196,0.438,0.233,0.249,0.383,43.0,107.0,90.0,67.0,100.0,93.0,72.0,110.0,99.0,,,,0.349,0.205,,0.411,-1.61,0.04,,1.43,87.8,80.7,87.5,,0.318,0.46,0.08,0.38,0.658,0.11199999999999999,,,,0.18,0.279,0.324,,,,,,,,,,97.0,79.0,84.0,0.035,0.0,73.3,0.25,0.25,0.43799999999999994,,,,,,,,,,,,,,,,,,,,,
2023/07/28,7:16 PM.,CHC,STL,home,Clear.,96,669713,C,3,0,1,0,0,0,0,0,0,2,1,.237,.259,.466,.725,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,4.63,5.23,89.1,101.0,101.0,102.0,0.796,8.36,3.22,8.26,2.01,1.07,0.242,0.431,0.142,0.369,0.444,77.0,102.0,103.0,80.0,105.0,94.0,92.0,96.0,91.0,123.0,98.0,110.0,0.189,0.296,0.366,0.049,-1.9,-0.38,1.49,0.65,94.3,84.5,92.9,82.0,0.273,0.545,0.145,0.327,0.636,0.165,0.14,0.231,0.376,0.188,0.188,0.133,,,,,,,,,,,,,,,,,,,100.0,98.0,104.0,0.1,-0.42,88.8,0.308,0.654,0.2,,,,,,,,,,,,
2023/07/27,6:46 PM.,CHC,STL,home,Clear.,99,657006,C,4,2,2,0,0,2,3,0,0,0,1,.234,.258,.469,.727,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,0.018,0.626,0.339,0.01,0.67,0.89,0.54,-1.94,91.8,87.5,92.2,83.3,0.25,0.333,0.16699999999999998,0.275,0.393,0.203,0.217,0.346,0.311,0.4,0.4,0.1,,,,,,,,,,87.0,98.0,109.0,0.006,2.44,80.7,0.0,0.0,0.33299999999999996,,,,,,,,,,,,,,,,,,,,,
2023/07/26,12:41 PM.,AZ,STL,away,Roof Closed.,78,668678,C,4,2,2,0,0,1,3,0,0,1,1,.226,.250,.419,.669,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,86.0,107.0,114.0,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,0.007,0.491,0.045,0.139,1.59,-3.38,0.34,1.05,93.6,86.8,93.0,87.4,0.286,0.714,0.125,0.238,0.36,0.192,0.25,0.389,0.265,0.21,0.336,0.314,,,,,,,,,,,,,,,,0.21,0.344,0.405,106.0,99.0,94.0,0.092,-2.24,90.2,0.352,0.648,0.205,,,,121.0,104.0,112.0,0.227,0.46,82.5,,,
2023/07/24,6:40 PM.,AZ,STL,away,Roof Closed.,78,669194,C,3,0,0,0,0,0,0,0,0,0,3,.217,.242,.392,.634,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,96.0,96.0,98.0,102.0,104.0,103.0,,,,106.0,105.0,113.0,,0.546,0.134,0.133,-0.72,,0.52,-0.16,94.4,83.3,,81.7,,,,0.308,0.553,0.16699999999999998,0.174,0.565,0.257,0.203,0.407,0.312,,,,,,,,,,99.0,94.0,98.0,0.052,-2.44,76.4,0.429,0.714,0.182,101.0,111.0,105.0,0.135,-1.72,85.6,0.326,0.539,0.218,,,,,,,,,,,,
2023/07/21,1:20 PM.,CHC,STL,away,Sunny.,74,657006,C,3,0,0,0,0,0,1,0,0,2,2,.222,.248,.402,.650,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,45.0,95.0,88.0,123.0,104.0,111.0,0.018,0.626,0.339,0.01,0.67,0.89,0.54,-1.94,91.8,87.5,92.2,83.3,0.25,0.333,0.16699999999999998,0.275,0.393,0.203,0.217,0.346,0.311,0.4,0.4,0.1,,,,,,,,,,87.0,98.0,109.0,0.006,2.44,80.7,0.0,0.0,0.33299999999999996,,,,,,,,,,,,,,,,,,,,,
