date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/09/30,6:11 PM.,MIN,COL,home,Cloudy.,82,641941,RF,3,2,2,1,0,1,1,0,0,1,1,.297,.357,.595,.952,641941,emiliopagan,Pagán,Right,Emilio Pagán,MIN,2.99,3.66,69.1,104.0,111.0,107.0,0.775,8.44,2.73,5.84,0.65,0.62,0.317,0.371,0.124,0.392,0.469,,,,90.0,91.0,95.0,125.0,107.0,113.0,,,,92.0,103.0,103.0,,0.55,0.301,0.025,,2.0,2.52,,-1.88,,95.8,87.7,,,81.4,,,,0.188,0.326,0.24600000000000002,0.286,0.429,0.16699999999999998,0.143,0.214,0.188,,,,,,,,,,,,,95.0,96.0,94.0,0.123,-2.07,85.9,0.263,0.526,0.414,,,
2023/09/29,6:11 PM.,MIN,COL,home,Partly Cloudy.,82,657746,RF,3,1,2,0,0,0,0,0,1,1,0,.265,.333,.471,.804,657746,joeryan,Ryan,Right,Joe Ryan,MIN,4.51,3.53,161.2,107.0,99.0,105.0,0.749,10.97,1.89,8.63,1.78,0.63,0.232,0.423,0.147,0.326,0.455,,,,,,,102.0,112.0,108.0,,,,,,,,0.569,,,,0.89,,,,,92.3,,,,,,,,0.24,0.457,0.287,,,,,,,,,,102.0,88.0,94.0,0.159,-2.12,80.3,0.32,0.56,0.24100000000000002,91.0,104.0,102.0,0.272,-0.3,83.9,0.242,0.415,0.213,,,
2023/09/28,6:40 PM.,LAD,COL,home,Partly Cloudy.,81,642232,RF,5,2,2,1,0,1,1,0,0,1,3,.226,.286,.452,.738,642232,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,4.52,4.39,89.2,105.0,79.0,97.0,0.794,6.72,1.41,9.64,1.3,0.95,0.267,0.358,0.219,0.285,0.444,61.0,105.0,94.0,102.0,98.0,108.0,,,,76.0,108.0,89.0,77.0,106.0,93.0,0.002,0.308,0.248,0.26,0.182,0.59,1.48,1.21,-0.24,-2.4,87.0,84.2,78.5,88.2,71.9,0.329,0.6,0.27699999999999997,0.283,0.37,0.127,0.208,0.386,0.382,0.289,0.378,0.121,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/27,6:41 PM.,LAD,COL,home,Clear.,82,686218,RF,3,1,1,0,0,1,1,0,0,0,0,.192,.267,.308,.575,686218,emmetsheehan,Sheehan,Right,Emmet Sheehan,LAD,4.92,3.5,60.1,95.0,101.0,97.0,0.732,9.55,3.88,6.86,1.64,0.62,0.21,0.433,0.121,0.287,0.395,74.0,99.0,100.0,,,,104.0,96.0,95.0,,,,,,,,0.6,,,0.172,0.04,,,,0.51,95.4,,82.9,,,0.178,0.333,0.47600000000000003,0.24,0.504,0.20199999999999999,,,,,,,,,,112.0,98.0,103.0,0.228,1.57,85.8,0.091,0.182,0.41200000000000003,,,,,,,,,,,,
2023/09/26,6:42 PM.,LAD,COL,home,Clear.,78,676272,RF,0,0,0,0,0,0,0,0,0,0,0,.174,.259,.174,.433,676272,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,3.76,3.4,124.1,102.0,123.0,110.0,0.764,8.61,2.32,7.6,0.87,1.46,0.256,0.428,0.147,0.299,0.426,105.0,100.0,117.0,115.0,100.0,110.0,130.0,102.0,105.0,107.0,99.0,100.0,,,,0.192,0.289,,0.185,0.16,1.2,,1.75,1.25,0.6,99.0,,88.2,98.8,80.6,0.133,0.307,0.39899999999999997,0.258,0.367,0.20600000000000002,0.184,0.303,0.36,,,,0.258,0.382,0.17800000000000002,153.0,110.0,121.0,0.174,-1.0,89.7,0.5,0.75,0.25,,,,,,,,,,,,
2023/09/26,1:12 PM.,LAD,COL,home,Sunny.,72,657571,RF,4,0,1,0,0,0,0,0,0,1,2,.174,.259,.174,.433,657571,calebferguson,Ferguson,Left,Caleb Ferguson,LAD,3.43,3.85,60.1,101.0,108.0,100.0,0.767,10.44,3.43,9.55,0.6,1.84,0.296,0.361,0.166,0.32,0.451,,,,,,,108.0,102.0,101.0,,,,107.0,101.0,99.0,,0.665,0.307,,,0.19,-0.37,,,,95.8,86.6,,,,,,,0.277,0.34,0.26,,,,0.253,0.427,0.271,,,,120.0,87.0,98.0,0.028,0.92,80.0,0.25,0.25,0.125,,,,,,,,,,,,
2023/09/24,1:20 PM.,CHC,COL,away,Sunny.,73,696136,PR,0,0,0,0,0,0,0,0,0,0,0,.158,.261,.158,.419,696136,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.41,4.07,34.2,101.0,77.0,96.0,0.785,6.23,2.86,8.57,1.3,1.65,0.223,0.438,0.134,0.259,0.334,71.0,106.0,104.0,82.0,97.0,97.0,78.0,102.0,96.0,75.0,99.0,90.0,85.0,94.0,82.0,0.196,0.285,0.098,0.084,0.297,-1.88,-2.26,2.74,-0.96,1.83,92.1,89.0,81.3,91.3,78.2,0.171,0.317,0.3,0.368,0.711,0.145,0.143,0.143,0.429,0.444,0.667,0.261,0.174,0.174,0.163,105.0,87.0,95.0,0.041,-6.67,82.0,0.333,0.833,0.2,,,,,,,,,,,,
2023/09/20,1:11 PM.,SD,COL,away,Partly Cloudy.,72,607625,RF,3,0,0,0,0,0,0,0,0,2,5,.158,.261,.158,.419,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,,,,0.199,0.318,,0.313,0.059,0.36,,1.87,0.26,-2.89,93.4,,86.3,93.2,79.6,0.303,0.576,0.34299999999999997,0.246,0.464,0.214,0.287,0.384,0.265,,,,0.208,0.36,0.08900000000000001,114.0,96.0,108.0,0.111,-0.6,85.2,0.25,0.417,0.28600000000000003,,,,,,,,,,0.0,0.0,0.226
2023/09/17,1:11 PM.,SF,COL,home,Sunny.,75,640455,PR,0,1,0,0,0,0,0,0,0,0,0,.188,.300,.188,.488,640455,seanmanaea,Manaea,Left,Sean Manaea,SFG,4.44,4.21,117.2,101.0,91.0,96.0,0.777,9.79,3.21,7.95,1.07,1.1,0.255,0.371,0.143,0.305,0.448,90.0,97.0,94.0,,,,90.0,105.0,95.0,121.0,109.0,108.0,,,,0.008,0.562,0.0,,0.17,0.91,-5.8,-6.19,,1.06,93.6,90.3,86.6,94.0,,0.224,0.342,0.183,0.235,0.39,0.233,,,,,,,0.4,0.8,0.25,92.0,95.0,98.0,0.26,-0.93,82.3,0.122,0.143,0.36700000000000005,,,,,,,,,,,,
2023/09/13,1:10 PM.,CHC,COL,home,Partly Cloudy.,76,592791,RF,0,0,0,0,0,0,0,0,0,0,0,.188,.300,.188,.488,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,4.84,4.7,154.1,106.0,99.0,104.0,0.804,8.16,2.39,9.1,1.57,0.88,0.22,0.418,0.177,0.311,0.437,82.0,94.0,98.0,109.0,111.0,113.0,87.0,104.0,97.0,97.0,107.0,97.0,101.0,102.0,99.0,0.102,0.342,0.222,0.149,0.031,-0.69,-0.32,0.9,-0.12,-0.22,93.7,88.6,86.5,93.9,80.5,0.28,0.44,0.106,0.261,0.553,0.204,0.198,0.349,0.2,0.311,0.521,0.27399999999999997,0.296,0.394,0.133,117.0,113.0,122.0,0.154,0.75,80.9,0.233,0.333,0.27399999999999997,,,,,,,,,,,,
