date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/08/23,7:21 PM.,NYM,ATL,home,Partly Cloudy.,91,500779,2B,4,0,1,0,1,0,2,0,0,1,1,.280,.313,.347,.660,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.57,4.55,75.2,101.0,80.0,94.0,0.802,7.14,2.85,8.92,0.59,1.17,0.231,0.406,0.162,0.286,0.349,65.0,102.0,91.0,81.0,101.0,95.0,78.0,99.0,91.0,,,,0.323,0.242,,0.181,-2.28,3.29,,-1.18,90.2,85.8,90.4,,0.196,0.25,0.135,,,,0.276,0.379,0.29600000000000004,96.0,106.0,102.0,0.253,1.45,77.2,0.391,0.594,0.217,0.214,0.268,0.26899999999999996,,,,,,,,,,,,,,,,,,,,,,,,,0.211,0.368,0.207
2023/08/21,7:20 PM.,NYM,ATL,home,Partly Cloudy.,92,656849,2B,4,0,2,1,0,0,0,0,0,0,2,.282,.316,.324,.640,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,76.0,95.0,87.0,97.0,97.0,95.0,105.0,99.0,102.0,0.253,0.273,0.197,0.189,-0.83,0.66,-2.58,-1.35,92.7,85.3,91.5,85.3,0.314,0.486,0.165,0.268,0.472,0.39399999999999996,0.325,0.55,0.309,89.0,97.0,99.0,0.088,2.63,78.6,0.287,0.425,0.281,0.2,0.2,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/20,1:35 PM.,SF,ATL,home,Sunny.,89,596001,2B,1,0,0,0,0,0,0,0,0,1,0,.269,.306,.299,.605,596001,jakobjunis,Junis,Right,Jakob Junis,SFG,3.87,3.71,86.0,100.0,112.0,105.0,0.754,10.05,2.2,9.42,1.26,1.17,0.255,0.494,0.169,0.337,0.428,85.0,97.0,99.0,69.0,95.0,90.0,85.0,99.0,92.0,129.0,102.0,112.0,0.265,0.011,0.625,0.099,2.6,-2.68,0.75,-0.76,93.9,87.1,93.7,84.2,0.418,0.696,0.14,0.216,0.369,0.325,0.273,0.424,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/19,7:22 PM.,SF,ATL,home,Clear.,87,657277,2B,1,0,0,0,0,0,0,0,0,0,0,.273,.310,.303,.613,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,112.0,106.0,103.0,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,0.336,0.037,0.212,0.416,-1.37,0.31,0.11,2.18,92.6,87.5,92.3,84.3,0.313,0.481,0.10400000000000001,0.208,0.369,0.28600000000000003,0.225,0.309,0.228,,,,,,,0.226,0.452,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/06,7:15 PM.,BAL,ATL,home,Overcast.,73,680694,SS,3,1,2,1,0,0,0,0,0,1,1,.277,.314,.308,.622,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,97.0,100.0,98.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,0.207,0.224,0.313,0.083,-1.0,1.53,1.77,-0.36,94.5,90.8,95.0,88.1,0.23,0.367,0.15,0.168,0.272,0.364,0.259,0.37,0.114,135.0,105.0,109.0,0.173,3.99,84.8,0.366,0.602,0.15,0.142,0.165,0.35600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/04,4:10 PM.,MIA,ATL,away,Roof Closed.,72,666200,SS,4,0,0,0,0,0,1,0,0,4,3,.258,.299,.274,.573,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,3.58,3.96,178.2,100.0,104.0,102.0,0.708,10.48,2.77,8.16,1.11,0.98,0.286,0.383,0.163,0.373,0.402,93.0,99.0,100.0,106.0,103.0,100.0,82.0,100.0,97.0,111.0,97.0,105.0,0.04,0.457,0.289,0.21,0.93,-0.81,-0.26,-0.09,96.7,88.3,96.5,85.1,0.314,0.686,0.102,0.233,0.389,0.518,0.248,0.429,0.361,,,,,,,0.232,0.384,0.19399999999999998,,,,68.0,87.0,76.0,0.004,,0.74,,91.4,,,,,,,,,,,,,,,,,,,
2023/05/03,6:41 PM.,MIA,ATL,away,Roof Closed.,72,666129,SS,5,1,1,0,0,0,0,0,0,1,5,.276,.323,.293,.616,666129,braxtongarrett,"Garrett, B",Left,Braxton Garrett,MIA,3.66,4.58,159.2,101.0,91.0,97.0,0.762,8.79,1.63,8.68,1.13,1.72,0.184,0.501,0.13,0.413,0.434,85.0,95.0,86.0,79.0,101.0,93.0,91.0,102.0,97.0,100.0,102.0,102.0,0.317,0.075,0.258,0.088,-1.84,1.06,0.45,0.73,90.8,84.1,90.5,82.8,0.256,0.377,0.107,0.169,0.302,0.408,0.286,0.327,0.327,80.0,97.0,95.0,0.084,-4.44,77.7,0.325,0.575,0.159,0.5,1.059,0.2,95.0,100.0,97.0,0.177,,1.53,,87.5,,0.243,0.477,0.247,,,,,,,,,,,,,,,
2023/05/02,6:42 PM.,MIA,ATL,away,Roof Closed.,72,645261,SS,2,1,0,0,0,0,0,0,1,0,1,.283,.333,.302,.635,645261,sandyalcantara,"Alcantara, S",Right,Sandy Alcantara,MIA,4.14,4.33,184.2,105.0,113.0,108.0,0.771,7.36,2.34,8.58,1.07,1.69,0.23,0.4,0.149,0.343,0.452,108.0,104.0,107.0,111.0,111.0,107.0,115.0,106.0,108.0,116.0,103.0,110.0,0.29,0.213,0.201,0.273,-0.27,1.72,0.72,-0.43,98.0,91.1,97.6,89.9,0.237,0.366,0.124,0.227,0.364,0.35200000000000004,0.282,0.401,0.299,134.0,99.0,105.0,0.022,-0.52,86.1,0.253,0.448,0.267,0.308,0.308,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/01,1:10 PM.,NYM,ATL,away,Partly Cloudy.,59,660593,SS,4,0,1,0,0,0,0,0,0,1,1,.294,.321,.314,.635,660593,denyireyes,Reyes,Right,Denyi Reyes,NYM,7.78,5.23,19.2,104.0,88.0,98.0,0.801,7.78,3.66,11.44,1.37,1.14,0.141,0.516,0.203,0.25,0.376,69.0,112.0,104.0,83.0,105.0,96.0,84.0,106.0,97.0,103.0,100.0,103.0,0.11,0.31,0.225,0.151,1.38,-0.35,0.48,-6.96,91.8,84.8,91.0,78.5,0.333,0.5,0.071,0.222,0.389,0.4,0.556,0.667,0.324,,,,,,,0.143,0.286,0.212,,,,98.0,109.0,95.0,0.203,,-1.74,,86.6,,0.333,0.667,0.163,,,,,,,,,,,,,,,
2023/05/01,4:47 PM.,NYM,ATL,away,Partly Cloudy.,62,656731,SS,0,0,0,0,0,0,0,0,0,0,0,.294,.321,.314,.635,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,86.0,95.0,89.0,,,,96.0,103.0,106.0,,0.557,0.206,0.149,-0.4,,-1.04,-0.09,94.9,87.9,,84.4,,,,0.264,0.445,0.311,0.264,0.396,0.24100000000000002,101.0,91.0,96.0,0.086,-0.05,77.2,0.314,0.494,0.184,0.167,0.167,0.354,,,,,,,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,
