date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023/09/30,4:16 PM.,SEA,TEX,away,Roof Closed.,63,622491,LF,2,1,0,0,0,0,0,0,2,1,2,.288,.403,.627,1.030,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,82.0,103.0,95.0,117.0,100.0,108.0,,,,0.179,0.444,,0.221,,0.156,1.31,,0.6,-0.12,,-1.6,96.3,,88.3,95.9,85.7,,0.239,0.337,0.136,0.234,0.455,0.37799999999999995,,,,0.165,0.384,0.33,,,,0.28,0.42,0.325,,,,,,,,,,,,,,,,,,
2023/09/29,7:10 PM.,SEA,TEX,away,Roof Closed.,55,693433,CF,4,0,0,0,0,0,0,0,0,3,2,.298,.397,.649,1.046,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,,,,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,,,,0.255,0.469,,0.24,,0.037,0.69,,1.34,-0.83,,-2.37,95.1,,89.7,95.0,86.0,,0.213,0.372,0.20800000000000002,0.257,0.457,0.311,,,,0.207,0.407,0.303,,,,0.4,0.4,0.222,,,,,,,,,,,,,,,,,,
2023/09/28,6:40 PM.,SEA,TEX,away,Roof Closed.,54,669302,LF,3,0,0,0,0,0,0,0,0,1,0,.321,.422,.698,1.120,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,0.003,0.419,,0.297,,,0.01,,-11.33,1.84,,,95.7,,,93.7,88.7,,0.667,1.0,0.25,0.211,0.349,0.322,,,,0.28,0.491,0.177,0.214,0.371,0.306,,,,,,,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,110.0,95.0,103.0,0.134,0.39,80.3
2023/09/27,6:39 PM.,LAA,TEX,away,Partly Cloudy.,75,656288,LF,3,1,1,0,0,1,2,0,1,0,0,.340,.443,.740,1.183,656288,griffincanning,Canning,Right,Griffin Canning,LAA,4.32,4.01,127.0,102.0,96.0,101.0,0.734,9.85,2.55,8.57,1.56,1.1,0.239,0.41,0.129,0.382,0.442,89.0,101.0,101.0,91.0,98.0,103.0,78.0,101.0,93.0,81.0,95.0,86.0,124.0,105.0,110.0,,,,0.006,0.348,,0.299,0.134,0.213,-0.21,,-8.61,0.1,-0.53,1.6,94.7,,90.2,95.0,88.4,81.8,0.333,1.333,0.0,0.261,0.344,0.34,,,,0.235,0.5,0.28300000000000003,0.271,0.667,0.252,0.213,0.339,0.248,,,,,,,,,,,,,,,,,,
2023/09/26,6:39 PM.,LAA,TEX,away,Clear.,75,672282,LF,1,0,0,0,0,0,0,0,0,1,1,.340,.439,.702,1.141,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,,,,124.0,100.0,102.0,,,,,0.432,,0.319,0.194,0.054,-0.38,,,0.91,0.14,-2.03,94.3,,84.8,,88.7,74.7,,,,0.0,0.0,0.267,,,,0.291,0.505,0.212,0.191,0.326,0.28600000000000003,0.242,0.424,0.24600000000000002,,,,,,,,,,,,,,,,,,
2023/09/25,6:39 PM.,LAA,TEX,away,Clear.,73,663776,LF,2,0,1,0,0,0,0,0,0,1,0,.348,.446,.717,1.163,663776,patricksandoval,Sandoval,Left,Patrick Sandoval,LAA,4.11,4.7,144.2,97.0,92.0,97.0,0.741,7.96,4.6,9.02,0.75,1.55,0.196,0.427,0.166,0.297,0.414,99.0,98.0,100.0,99.0,96.0,101.0,63.0,94.0,89.0,69.0,97.0,86.0,123.0,100.0,107.0,,,,0.111,0.256,,0.285,0.09,0.258,-1.22,,0.36,0.02,0.27,0.3,93.0,,83.0,93.2,86.5,76.5,0.269,0.327,0.129,0.2,0.5,0.306,,,,0.336,0.507,0.156,0.286,0.286,0.237,0.184,0.33,0.43200000000000005,,,,,,,,,,,,,,,,,,
2023/09/24,1:37 PM.,SEA,TEX,home,Roof Closed.,74,693433,LF,4,1,1,0,0,1,2,0,0,3,2,.341,.444,.727,1.171,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,4.21,3.45,87.2,102.0,103.0,103.0,0.754,9.55,3.18,7.7,1.33,0.99,0.296,0.363,0.175,0.271,0.453,85.0,91.0,93.0,,,,101.0,105.0,106.0,109.0,102.0,103.0,110.0,96.0,105.0,,,,0.255,0.469,,0.24,,0.037,0.69,,1.34,-0.83,,-2.37,95.1,,89.7,95.0,86.0,,0.213,0.372,0.20800000000000002,0.257,0.457,0.311,,,,0.207,0.407,0.303,,,,0.4,0.4,0.222,,,,,,,,,,,,,,,,,,
2023/09/23,6:07 PM.,SEA,TEX,home,Roof Closed.,74,669302,LF,3,0,1,1,0,0,0,0,0,0,2,.350,.460,.700,1.160,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.73,3.69,190.2,102.0,106.0,102.0,0.767,8.92,1.7,7.98,1.37,1.02,0.238,0.427,0.125,0.333,0.47,,,,,,,88.0,103.0,99.0,55.0,90.0,81.0,133.0,101.0,99.0,,,,0.003,0.419,,0.297,,,0.01,,-11.33,1.84,,,95.7,,,93.7,88.7,,0.667,1.0,0.25,0.211,0.349,0.322,,,,0.28,0.491,0.177,0.214,0.371,0.306,,,,,,,98.0,103.0,117.0,0.148,0.25,85.6,0.174,0.34,0.35,110.0,95.0,103.0,0.134,0.39,80.3
2023/09/22,7:08 PM.,SEA,TEX,home,Roof Closed.,74,682243,LF,2,2,1,0,0,1,3,1,1,0,0,.351,.468,.703,1.171,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,4.32,4.86,131.1,104.0,117.0,109.0,0.783,8.15,1.78,8.5,1.23,0.76,0.242,0.379,0.13,0.356,0.464,90.0,101.0,107.0,113.0,102.0,102.0,121.0,105.0,110.0,104.0,101.0,99.0,112.0,100.0,107.0,,,,0.076,0.585,,0.274,0.009,0.056,0.3,,1.22,0.14,-8.41,0.66,95.1,,85.0,95.1,85.0,78.2,0.26,0.36,0.096,0.3,0.475,0.174,,,,0.256,0.45,0.271,0.667,1.333,0.125,0.167,0.433,0.179,,,,,,,,,,,,,,,,,,
2023/09/20,1:08 PM.,BOS,TEX,home,Roof Closed.,74,678394,LF,4,2,3,1,0,1,2,0,0,0,2,.343,.455,.629,1.084,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.24,4.16,157.0,100.0,90.0,98.0,0.778,7.57,2.58,9.46,1.38,1.94,0.194,0.48,0.144,0.351,0.408,80.0,103.0,99.0,,,,83.0,102.0,93.0,93.0,101.0,98.0,103.0,94.0,103.0,88.0,100.0,88.0,0.364,0.207,0.015,0.175,,0.239,-1.91,-6.73,0.52,-1.86,,1.38,95.5,89.1,86.2,95.0,85.3,,0.278,0.435,0.16,0.3,0.456,0.259,0.462,1.077,0.20800000000000002,0.31,0.646,0.19899999999999998,,,,0.196,0.291,0.387,,,,,,,,,,,,,,,,,,
