,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff
0,2024-10-07,775325,Flyout,field_out,True,669234,571510,Justyn-Henry Malloy,Matthew Boyd,0,9dcd5945-955e-490b-86cf-40f18f6bb774,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-10-07,775325,Walk,walk,False,663837,571510,Matt Vierling,Matthew Boyd,0,10414767-02e6-4d47-8ab6-1579c6cc5b78,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-10-07,775325,Strikeout,strikeout,True,628451,571510,Andy Ibáñez,Matthew Boyd,0,6ba2ea6a-33a4-4800-9abf-a69a917dbd1b,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-10-07,775325,Flyout,field_out,True,682985,571510,Riley Greene,Matthew Boyd,0,748bbcca-4ab9-441b-a83f-f70b71ef254d,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-10-07,775325,Strikeout,strikeout,True,680757,669373,Steven Kwan,Tarik Skubal,0,69a24c58-0fd6-4b74-9d7e-b4dbac0e3f69,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,0.149,,0.271,1.84,1.25,0.78,,1.13,96.8,86.3,96.6,88.7,,0.216,0.322,0.461,0.197,0.286,0.277,0.169,0.364,0.346,0.207,0.305,0.16,0.158,0.316,0.175,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,,,,,,,,,,,,,
5,2024-10-07,775325,Groundout,field_out,True,681807,669373,David Fry,Tarik Skubal,0,ffab5279-a8f8-4aee-9c36-580012098b69,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,0.149,,0.271,1.84,1.25,0.78,,1.13,96.8,86.3,96.6,88.7,,0.216,0.322,0.461,0.197,0.286,0.277,0.169,0.364,0.346,0.207,0.305,0.16,0.158,0.316,0.175,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,,,,,,,,,,,,,
6,2024-10-07,775325,Strikeout,strikeout,True,608070,669373,José Ramírez,Tarik Skubal,0,1e16dda0-ada0-4e6a-bf45-79486717d8fc,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,97.0,104.0,114.0,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,0.205,0.332,0.149,,0.271,1.84,1.25,0.78,,1.13,96.8,86.3,96.6,88.7,,0.216,0.322,0.461,0.197,0.286,0.277,0.169,0.364,0.346,0.207,0.305,0.16,0.158,0.316,0.175,95.0,91.0,101.0,0.042,1.26,78.5,,,,,,,,,,,,,,,,,,,,,
7,2024-10-07,775325,Flyout,field_out,True,672761,571510,Wenceel Pérez,Matthew Boyd,0,a72f215a-a648-459c-b5f2-b7efe87e8286,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-10-07,775325,Strikeout,strikeout,True,679529,571510,Spencer Torkelson,Matthew Boyd,0,429d04d8-b370-4e1e-bb11-a2894067ab92,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-10-07,775325,Single,single,False,678009,571510,Parker Meadows,Matthew Boyd,0,1aa450f3-4df5-474d-bc5a-a79e0196588c,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-10-07,775325,Flyout,field_out,True,668670,571510,Jake Rogers,Matthew Boyd,0,c65b814b-bc06-4deb-9af9-f63b5fb8c52a,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.261,0.37,0.352,0.15,0.25,0.246,0.148,0.222,0.449,0.32,0.64,0.071,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
