,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff
0,2024-04-10,744950,Groundout,field_out,True,641487,579328,J.P. Crawford,Yusei Kikuchi,0,59333872-bf41-40e2-97fd-901690ad0154,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-10,744950,Strikeout,strikeout,True,677594,579328,Julio Rodríguez,Yusei Kikuchi,0,5614687c-0d99-49f9-be2e-0b0fc7897cff,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-10,744950,Strikeout,strikeout,True,664034,579328,Ty France,Yusei Kikuchi,0,b5a9bb82-9566-49a3-b013-1417853279cc,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-10,744950,Groundout,field_out,True,543807,669302,George Springer,Logan Gilbert,0,c50c377e-16dd-4593-804c-c4792336d57b,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
4,2024-04-10,744950,Lineout,field_out,True,665489,669302,Vladimir Guerrero Jr.,Logan Gilbert,0,7d44a065-e334-4381-8fcc-89cbe7f28689,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
5,2024-04-10,744950,Flyout,field_out,True,666182,669302,Bo Bichette,Logan Gilbert,0,36215f59-bfd6-40a3-ab3f-7c181a8de8fb,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
6,2024-04-10,744950,Walk,walk,False,571745,579328,Mitch Haniger,Yusei Kikuchi,0,b15d5d1a-5998-4c8e-b1a5-bd95bc37c05f,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-04-10,744950,Forceout,force_out,True,593871,579328,Jorge Polanco,Yusei Kikuchi,1,4c287e19-b7a2-4c9e-a7a7-4a95a011fd1f,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-10,744950,Strikeout,strikeout,True,641598,579328,Mitch Garver,Yusei Kikuchi,0,35ff0a37-89ab-4815-9818-e5b9da9ecdf8,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-10,744950,Strikeout,strikeout,True,663728,579328,Cal Raleigh,Yusei Kikuchi,0,ed88e6b5-4ba4-4f3a-84a4-c4605a93e0ea,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-04-10,744950,Strikeout,strikeout,True,457759,669302,Justin Turner,Logan Gilbert,0,c8ea43d5-2b01-439b-a35e-376674c7b380,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
11,2024-04-10,744950,Single,single,False,624415,669302,Cavan Biggio,Logan Gilbert,0,4a936a9b-9956-4a66-a670-b5fa591b86ba,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
12,2024-04-10,744950,Grounded Into DP,grounded_into_double_play,True,672386,669302,Alejandro Kirk,Logan Gilbert,1,26522ed6-9701-462b-9f30-e226dbade324,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
13,2024-04-10,744950,Walk,walk,False,664238,579328,Dylan Moore,Yusei Kikuchi,0,25ff1a9b-4ae6-4f0e-9006-b9386dc2cdc4,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-04-10,744950,Strikeout,strikeout,True,649966,579328,Luis Urías,Yusei Kikuchi,1,a966558c-3867-443b-98bc-1885ada4d3dd,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-04-10,744950,Single,single,False,641487,579328,J.P. Crawford,Yusei Kikuchi,1,58e9a819-a4e2-47c1-92c1-cd1c1a035000,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-04-10,744950,Strikeout,strikeout,True,677594,579328,Julio Rodríguez,Yusei Kikuchi,0,754607af-5896-49b1-ae74-ce193dc6c053,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-04-10,744950,Strikeout,strikeout,True,664034,579328,Ty France,Yusei Kikuchi,0,abd75bfc-b251-4cc2-85d1-861e738f892b,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-04-10,744950,Strikeout,strikeout,True,595281,669302,Kevin Kiermaier,Logan Gilbert,0,8d6f7057-f4e0-4dc8-936f-1de918e00fec,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
19,2024-04-10,744950,Groundout,field_out,True,676391,669302,Ernie Clement,Logan Gilbert,0,4d27d537-ee1a-42c9-b8fa-29c72645afad,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
20,2024-04-10,744950,Groundout,field_out,True,662139,669302,Daulton Varsho,Logan Gilbert,0,598ebcbf-8e50-4650-bc32-179796ae8470,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
21,2024-04-10,744950,Strikeout,strikeout,True,571745,579328,Mitch Haniger,Yusei Kikuchi,0,823be123-8627-49b4-9c00-bc61d228c382,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-04-10,744950,Groundout,field_out,True,593871,579328,Jorge Polanco,Yusei Kikuchi,0,310ee049-5b4c-4a88-89ea-a21d8a25fc01,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-04-10,744950,Single,single,False,641598,579328,Mitch Garver,Yusei Kikuchi,0,c42f4748-122a-48e9-9100-63112685fde3,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-04-10,744950,Pop Out,field_out,True,663728,579328,Cal Raleigh,Yusei Kikuchi,0,80574c22-5cf0-4229-8045-aea424f10e9b,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-04-10,744950,Strikeout,strikeout,True,543807,669302,George Springer,Logan Gilbert,0,d562da5f-ca0a-4580-aa84-7f766183fb17,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
26,2024-04-10,744950,Lineout,field_out,True,665489,669302,Vladimir Guerrero Jr.,Logan Gilbert,0,d29e83b6-8491-498f-8457-4f32600ca0b9,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
27,2024-04-10,744950,Single,single,False,666182,669302,Bo Bichette,Logan Gilbert,0,c1c71648-8e16-4188-9630-b485d7fb2292,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
28,2024-04-10,744950,Flyout,field_out,True,457759,669302,Justin Turner,Logan Gilbert,0,37aa81e6-558d-4068-9f0e-46f770c227fc,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,2.79,3.12,132.1,102.0,118.0,104.0,0.722,8.43,1.7,6.12,1.02,1.09,0.252,0.41,0.138,0.327,0.433,,,,111.0,101.0,105.0,95.0,103.0,96.0,147.0,103.0,116.0,0.313,0.308,0.085,,1.7,1.89,1.7,,96.2,,88.2,83.0,0.208,0.369,0.19,0.154,0.282,0.324,0.205,0.358,0.35,,,,67.0,103.0,86.0,119.0,102.0,101.0,109.0,96.0,100.0,0.009,0.149,0.136,0.97,1.26,-0.93,92.2,84.1,94.9,0.232,0.435,0.255,0.082,0.164,0.468,,,
29,2024-04-10,744950,Flyout,field_out,True,664238,579328,Dylan Moore,Yusei Kikuchi,0,f092be24-70f1-4008-8b0e-c8718216ac2a,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-04-10,744950,Groundout,field_out,True,649966,579328,Luis Urías,Yusei Kikuchi,0,fe89c297-595d-4609-bae0-acca3f305ecc,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,4.42,4.07,106.0,102.0,110.0,105.0,0.743,9.93,2.21,9.51,1.36,1.05,0.271,0.405,0.114,0.343,0.452,102.0,99.0,95.0,98.0,105.0,105.0,118.0,102.0,107.0,110.0,100.0,107.0,0.491,0.158,0.244,0.107,-0.31,-0.05,-0.17,0.45,95.6,87.2,89.2,82.9,0.302,0.55,0.269,0.278,0.435,0.271,0.241,0.31,0.297,0.189,0.264,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
